Title,Abstract,Authors,Publication Date
Liver Characterization of a Cohort of Alpha-1 Antitrypsin Deficiency Patients with and without Lung Disease.,"Alpha-1 antitrypsin deficiency (AATD) is a genetic disorder characterized by the misfolding and accumulation of the mutant variant of alpha-1 antitrypsin (AAT) within hepatocytes, which limits its access to the circulation and exposes the lungs to protease-mediated tissue damage. This results in progressive liver disease secondary to AAT polymerization and accumulation, and chronic obstructive pulmonary disease (COPD) due to deficient levels of AAT within the lungs. Our goal was to characterize the unique effects of COPD secondary to AATD on liver disease and gene expression.","Naweed Mohammad, Regina Oshins, Tongjun Gu, Virginia Clark, Jorge Lascano, Naziheh Assarzadegan, George Marek, Mark Brantly, Nazli Khodayari",2024
"A High-Intensity versus Moderate-Intensity exercise training program in Alpha-1 antitrypsin deficiency-related COPD (IMAC): a randomized, controlled trial.","Training-induced adaptations of the oxidative capacity have been shown to be blunted in alpha-1 antitrypsin deficiency (AATD)-related chronic obstructive pulmonary disease (COPD). To improve training outcomes in AATD, this study was aimed to compare the effects of two exercise training programs with different training intensities.","Inga Jarosch, Tessa Schneeberger, Rainer Glöckl, Daniela Kroll, Clancy Dennis, Wolfgang Hitzl, Klaus Kenn, Andreas Rembert Koczulla",2024
Longitudinal evaluation of individuals with severe alpha-1 antitrypsin deficiency (Pi*ZZ genotype).,"Homozygous Pi*Z mutation in alpha-1 antitrypsin (Pi*ZZ genotype) predisposes to pulmonary loss-of-function and hepatic gain-of-function injury. To facilitate selection into clinical trials typically targeting only one organ, we systematically evaluated an international, multicenter, longitudinal, Pi*ZZ cohort to uncover natural disease course and surrogates for future liver- and lung-related endpoints.","Malin Fromme, Audrey Payancé, Mattias Mandorfer, Katrine H Thorhauge, Monica Pons, Marc Miravitlles, Jan Stolk, Bart van Hoek, Guido Stirnimann, Sona Frankova, Jan Sperl, Andreas E Kremer, Barbara Burbaum, Christina Schrader, Amine Kadioglu, Michelle Walkenhaus, Carolin V Schneider, Fabienne Klebingat, Lorenz Balcar, Naomi N Kappe, Benedikt Schaefer, Joanna Chorostowska-Wynimko, Elmar Aigner, Sophie Gensluckner, Philipp Striedl, Pauline Roger, John Ryan, Suzanne Roche, Marius Vögelin, Aftab Ala, Heike Bantel, Jef Verbeek, Zoe Mariño, Michael Praktiknjo, Tom J G Gevers, Philipp A Reuken, Thomas Berg, Jacob George, Münevver Demir, Tony Bruns, Christian Trautwein, Heinz Zoller, Michael Trauner, Joan Genesca, William J Griffiths, Virginia Clark, Aleksander Krag, Alice M Turner, Noel G McElvaney, Pavel Strnad",2024
Physical and mental health trajectories: A longitudinal SF-36 analysis in Alpha-1 antitrypsin deficiency-associated COPD.,"The Short Form 36-Item Health Survey (SF-36) is a health-related quality of life (HRQoL) measure validated in people with chronic obstructive pulmonary disease (COPD). While physical health is often more impaired than mental health in people with COPD, research on alpha-1 antitrypsin deficiency (AATD)-associated COPD is limited. This longitudinal study examines changes in physical and mental health in individuals with AATD and associated factors.","Radmila Choate, Kristen E Holm, Robert A Sandhaus, David M Mannino, Charlie Strange",2024
Alpha 1 antitrypsin augmentation for alpha 1 antitrypsin deficiency associated lung disease.,This is a protocol for a Cochrane Review (intervention). The objectives are as follows: To assess the effects of alpha 1 antitrypsin augmentation therapy on respiratory disease in people with alpha 1 antitrypsin deficiency.,"Patrick Glaister, Nichola Hindle Robinson, Amy Ward, Chloe Bentham, Iain Crossingham",2024
Editing approaches to treat Alpha-1 Antitrypsin Deficiency (AATD).,"Alpha-1 antitrypsin (AAT) deficiency (AATD) is a genetic disorder most commonly due to a single G to A point mutation, leading to debilitating lung and/or liver disorders and is associated with increased mortality. The E342K point mutation causes a conformational change of the AAT protein resulting in its retention in liver hepatocytes. This reduces AAT secretion into the serum resulting in higher protease activities due to the lack of inhibition from AAT, causing damage to healthy lung tissue. The current standard of care for lung manifestations involves weekly intravenous augmentation therapy and is considered sub-optimal for these patients. Furthermore, there is currently no approved treatment for liver manifestations. The unmet medical need for AATD patients remains high and new treatment options are needed to treat the underlying disease etiology.","Derek M Erion, Liu Leah Y, Christopher R Brown, Stephen Rennard, Humam Farah",2024
[Reappraisal on the clinical diagnosis and treatment of hereditary liver diseases].,"Hereditary liver diseases are rare conditions characterized by a wide variety of types and very low incidence rate for each one. Their clinical manifestations are diverse, and diagnosis often requires specialized testing, posing a high likelihood of missed or misdiagnosis. Systemic learning the basic knowledge and classification of hereditary liver diseases, as well as an understanding of the clinical features, laboratory findings, imaging, and pathological features of the relatively common hereditary liver diseases in adults, such as Wilson's disease, hemochromatosis, and alpha-1 antitrypsin deficiency, is essential. Targeted genetic testing can aid in the timely identification and correct diagnosis of these diseases. Once the etiology is revealed, appropriate treatment can often improve the clinical outcomes and quality of life. Cell therapy and gene therapy represent future directions and may offer the chance of cure for certain conditions. Currently, for patients who have progressed to end-stage liver disease, liver transplantation remains the ultimate treatment option and mostly yield excellent long-term prognosis if the indication and timing are appropriate.",J D Jia,2024
A Multimodal Intervention to Improve Guideline-Based Screening for Alpha-1 Antitrypsin Deficiency in a Community Health Setting.,"Evidence-based guidelines recommend screening all individuals with chronic obstructive pulmonary disease (COPD) for the genetic disorder alpha-1 antitrypsin deficiency (AATD). However, it is estimated that only 5% of people with COPD have been tested for AATD, and a large fraction of the estimated 70,000 to 100,000 Americans with AATD have not yet been diagnosed. Low familiarity with AATD and limited knowledge about diagnostic tests and available treatments contribute to suboptimal screening rates.","Andrew A Wilson, Celia Bora, Catherine Silva, Julie L White, Natalie Sanfratello, Jaime Symowicz, Cristen Querey, Donna Gabriel",2024
Alpha-1 Antitrypsin Deficiency in a Young Never Smoker With Novel Pi*Null Homozygous Mutation: a Case Report.,"Alpha-1 antitrypsin deficiency is an autosomal codominant disorder caused by <i>SERPINA1</i> gene mutations. PI*Z and PI*S mutations commonly underlie this deficiency, but rarer homozygous PI*null (Q0) mutations may result in a complete loss of alpha-1 antitrypsin (AAT). Such rare mutations lead to severe AAT deficiency and early onset of lung disease. We present a case of 35-year-old female never-smoker born to consanguineous parents who developed severe panlobular emphysema and end-stage respiratory insufficiency requiring lung transplantation. Subsequent genetic testing identified her as homozygous for a novel <i>c.82del</i> mutation - here named Q0<sub>Bani-Yas</sub> based on the region of the primary carrier's origin - which resulted in undetectable levels of alpha-1 antitrypsin protein.","Igor Z Barjaktarevic, Andrew W Hong, Alyssa Hoover, Stanley Nelson, Said Isse, Se Yoon, Mark Brantley",2024
"Alpha-1 antitrypsin deficiency associated with increased risks of skin cancer, leukemia, and hepatic cancer: A nationwide cohort study.","α<sub>1</sub>-Antitrypsin deficiency is characterized by elevated elastase activity and excessive elastin degradation, which may impact cancer development and progression. We tested the hypothesis that individuals with α<sub>1</sub>-antitrypsin deficiency have increased susceptibility to cancer in the Danish population.","Nanna J Korsbæk, Eskild M Landt, Sarah C W Marott, Børge G Nordestgaard, Gabrielle R Vinding, Gregor B E Jemec, Morten Dahl",2024
