Title,Abstract,Authors,Publication Date
Dyspnea and nocturnal cough due to esophageal diffuse leiomyomatosis in a girl with hematuria.,"A 7-year-old girl with hematuria and clinical suspicion of Alport syndrome (AS) presented with dyspnea and nocturnal cough, initially diagnosed and treated as asthma. Despite inhaled corticosteroid therapy, her symptoms persisted, and spirometry indicated obstructive lung function without bronchodilator response. Chest CT revealed diffuse thickening of the esophageal wall, tracheal compression, with involvement of the gastric cardia, suggestive of diffuse leiomyomatosis. Subsequent genetic reanalysis confirmed the presence of a contiguous deletion of COL4A5 and COL4A6 genes, solidifying the diagnosis of AS. Diffuse leiomyomatosis, a rare benign neoplasm associated with AS, typically manifests as dysphagia, but in this case, it presented initially with asthma-like symptoms. This case emphasizes the importance of imaging when asthma treatment fails, particularly in patients with coexisting conditions of another system.","Sun Woo Park, Minjeong Lee, Hee Gyung Kang, Jin Soo Moon, Hyun-Young Kim, Ji Soo Park",2024
[Genetics in nephrology - any news?].,"While genetic kidney diseases were long regarded as a rare cause of kidney failure, it has been shown in recent years that they account for a relevant proportion of cases. In cohorts of kidney transplant recipients, a monogenic cause is found in up to 30% of cases. Identifying the genetic cause of kidney disease has become much easier thanks to technological advances in DNA sequencing. The focus has now shifted to understanding the significance of the findings and identifying diagnostic gaps. It is still not possible to clarify all CKD cases of unclear aetiology. Besides very effective generic treatments for monogenic kidney disease (e.g., ACE-inhibitor use in Alport Syndrome), increasing knowledge of the pathophysiology of genetic kidney diseases has led to a growing number of targeted therapies. These include the treatment of ADPKD with Tolvaptan, which has now been in use for 10 years. Recently, exciting, and completely new approaches have been added, such as the first siRNA therapies in nephrology for primary hyperoxaluria type 1, the targeted treatment of hyperphagia in Bardet-Biedl syndrome, the therapy of APOL1-associated kidney disease or the use of the HIF-2 antagonist Belzutifan for renal cell carcinoma associated with Von-Hippel-Lindau syndrome. The new possibilities in the treatment of patients with genetic kidney diseases have also clearly revealed deficits in current patient care. Centers of excellence with extensive experience in this area therefore play an important role in improving care. This also applies to the further training of colleagues in the field. In Germany, the National Action Alliance for People with Rare Diseases (NAMSE) and the nationwide establishment of - to date - 36 centers for rare diseases play an important role in this regard.","Malte P Bartram, Bodo B Beck, Roman-Ulrich Müller",2024
Investigation of exon skipping therapy in kidney organoids from Alport syndrome patients derived iPSCs.,"Alport syndrome (AS) is a hereditary disease caused by mutations in the COL4A5 gene and leads to chronic kidney disease. Currently, no specific treatment has been developed. However, a recent study using AS-model mice demonstrated that the exon skipping method could partially rescue the symptoms. In this study, we evaluated the effects of the exon skipping method using kidney organoids generated from AS-patient-derived induced pluripotent stem cells (AS-iPSCs). We generated kidney organoids from AS-iPSCs, which exhibited nephron structures. As expected, the C-terminus of COL4A5 was not expressed in AS-organoids. Interestingly, anti-sense oligonucleotides restored the expression of the C-terminus of COL4A5 in vitro. Next, we transplanted AS-organoids into mice and evaluated glomerular basement membrane formation in vivo. We found that AS-organoids formed a lower slit diaphragm ratio compared to control organoids. Finally, we assessed the effects of exon skipping on transplanted organoids but observed minimum effects. These studies suggest that AS-iPSCs can generate kidney organoids lacking the C-terminus of COL4A5, and that exon skipping can induce its expression in vitro.","Kensuke Yabuuchi, Tomoko Horinouchi, Tomohiko Yamamura, Kandai Nozu, Minoru Takasato",2024
Clinical and Genetic characteristics of patients with Peripheral Retinal Fleck in Koreans.,To describe the clinical and genetic features of Korean patients with peripheral retinal flecks unrelated to aging.,"Hun Young Lim, Kwangsic Joo",2024
A Pilot Study on Protective Effect of Ambrisentan on Proteinuria in Patients With Alport Syndrome.,,"Zhuo-Ran Song, Yang Li, Hong Zhang, Xu-Jie Zhou",2024
A novel deep learning approach for analyzing glomerular basement membrane lesions in a mouse model of X-linked Alport syndrome.,"Alport syndrome is a rare kidney disease typically more severe in males due to its X-linked inheritance. However, female patients with heterozygous X-linked Alport syndrome (XLAS) can develop renal failure over time, necessitating accurate pathological assessment for effective therapy. A key pathological finding in female XLAS patients is the mosaic pattern of partial loss of α5 chains of type IV collagen. This study, using a mouse model of XLAS with a nonsense mutation (R471*) in the Col4a5 gene, analogous to human XLAS, aimed to examine the consistency of this pattern with the glomerular basement membrane (GBM) structure. A modified periodic acid-methenamine silver (PAMS) staining method was developed for clearer GBM visualization. The integrated images from COL4α5-stained fluorescence, PAMS, and low-vacuum scanning electron microscopy (LVSEM) into a single-slide section and applied supervised deep learning to predict GBM lesions. Results showed significant individual variability in urinary protein levels and histological lesions. Pathological parameters, including crescent formation, focal segmental glomerulosclerosis, and the COL4α5/α2 ratio, correlated with clinical parameters like urinary protein and plasma creatinine levels. Integrated LVSEM analysis revealed dense GBM regions corresponded to areas where COL4α5 was preserved, while coarse GBM (basket-weave lesions) occurred in COL4α5-deficient regions. These advanced techniques can enhance biopsy-based diagnosis of Alport syndrome and aid in developing AI diagnostic tools for diseases involving basement membrane lesions.","Kunio Kawanishi, Masaki Baba, Ryosuke Kobayashi, Ryotaro Hori, Kentaro Hashikami, Kenta Danbayashi, Takako Iwachido, Mitsuyasu Kato",2024
Slowly progressive autosomal dominant Alport Syndrome due to COL4A3 splicing variant.,"Alport syndrome is a rare genetic kidney disease caused by variants in the COL4A3/A4/A5 genes. It's characterised by progressive kidney failure, though therapies targeting Renin-Angiotensin System can delay its progression. Additionally, extrarenal manifestations may sometimes coexist. Recent advances in genetic analysis and the necessity to better clarify genotype-phenotype correlations in affected patients raises the importance of detecting even cryptic splicing variants, lying in both canonical and non-canonical splice sites variants such as last exonic nucleotide variants. These variants, often, do not cause an amino acid change but alter the snRNP proteins binding. We studied a big Italian family with Alport syndrome showing a clear dominant pattern of transmission with younger family members having only haematuria and older individuals presenting with End-Stage Kidney Failure (ESKF). Kidney biopsy showed the typical disease hallmarks. We deeply mined the data for SNV and CNV through exome sequencing on DNA from both peripheral blood samples and patients' podocytes-lineage cells. We identified an already reported synonymous variant, c.765G>A (p.(Thr255Thr)), in the last exonic nucleotide of exon 13 of the COL4A3 gene. Employing the patient's podocytes we demonstrated that this variant results in exon skipping leading to an in-frame deletion of 28 amino acids without leaky effect. According to the pattern of transmission, to the kidney biopsy and to the exome data analysis we provided further evidence that autosomal dominant Alport syndrome is a well-defined clinical entity. We also confirmed the pathogenicity of the synonymous COL4A3 variant for the first time demonstrating its role in a dominant pattern of transmission.","Sergio Daga, Lorenzo Loberti, Giulia Rollo, Loredaria Adamo, Olga Lorenza Colavecchio, Giulia Brunelli, Kristina Zguro, Sergio Antonio Tripodi, Andrea Guarnieri, Guido Garosi, Romina D'Aurizio, Francesca Ariani, Rossella Tita, Alessandra Renieri, Anna Maria Pinto",2024
Alport Syndrome With a Rare Collagen Type IV Alpha-4 (COL4A4) Gene Mutation: A Case Report.,"Alport syndrome (AS) is a rare, progressive hereditary kidney disease characterized by sensorineural hearing loss and visual abnormalities. It is caused by a mutation in the collagen type IV alpha-4 (COL4A4) gene, which produces type IV collagen, and often manifests in individuals with hematuria, proteinuria, edema, and hypertension. Here, we present a case of AS in a 15-year-old boy with a COL4A4 gene mutation, with renal and extrarenal findings. The patient presented with subnephrotic proteinuria and microscopic hematuria, autoimmune hypothyroidism, and keratoconus. Light microscopy examination of renal biopsy revealed three globally sclerosed renal cortical parenchyma areas with periglomerular fibrosis, and electron microscopy showed variable thickness of glomerular basement membrane with festooned appearance, as well as splitting of lamina densa giving basket weave and criss-cross pattern.","Akshaya Rana, Surekha Tayade",2024
Investigation of current clinical practices and perceptions of patients and caregivers regarding Alport syndrome in South Korea.,Alport syndrome (AS) is a highly prevalent inherited kidney disease. Early diagnosis and intervention are crucial for improved kidney outcomes. This study evaluated awareness among Korean clinicians about AS and assessed the understanding of AS patients and caregivers.,"Dabin Kim, Yo Han Ahn, Eunjeong Kang, Hajeong Lee, Min Hyun Cho, Hee Gyung Kang, Ji Hyun Kim",2024
Pathological diagnosis of Alport syndrome.,"Alport syndrome (AS) is a hereditary nephritis characterized by structural abnormalities in the glomerular basement membrane resulting from pathogenic variants in the COL4A3, COL4A4, and COL4A5 genes. Conventional pathological evaluations reveal nonspecific light microscopic changes and diagnostic clues can be obtained through electron microscopy. Type IV collagen staining elucidates distinct patterns based on AS inheritance, aiding in subtype classification. However, limitations arise, particularly in autosomal dominant cases. Genetic testing, particularly next-generation sequencing, gains prominence due to its ability to identify diverse mutations within COL4A3, COL4A4, and COL4A5.","Kyoung Bun Lee, Minsun Jung, Beom Jin Lim",2024
