Title,Abstract,Authors,Publication Date
Incidence and risk factors of venous thromboembolism in patients with amyotrophic lateral sclerosis: a systematic review and meta-analysis.,This systematic review and meta-analysis aimed to determine the annual incidence rate of venous thromboembolism (VTE) and identify risk factors of VTE in amyotrophic lateral sclerosis (ALS) patients.,"Abdullah Ashraf Hamad, Ibraheem M Alkhawaldeh, Abdallah Abbas, Ahmed Elaraby, Mostafa Meshref",2024
Oxidative Stress-mediated Lipid Peroxidation-derived Lipid Aldehydes in the Pathophysiology of Neurodegenerative Diseases.,"Neurodegenerative diseases such as Alzheimer's, Parkinson's, and amyotrophic lateral sclerosis cause damage and gradual loss of neurons affecting the central nervous system. Neurodegenerative diseases are most commonly seen in the ageing process. Ageing causes increased reactive oxygen species and decreased mitochondrial ATP generation, resulting in redox imbalance and oxidative stress. Oxidative stress-generated free radicals cause damage to membrane lipids containing polyunsaturated fatty acids, leading to the formation of toxic lipid aldehyde products such as 4- hydroxynonenal and malondialdehyde. Several studies have shown that lipid peroxidation-derived aldehyde products form adducts with cellular proteins, altering their structure and function. Thus, these lipid aldehydes could act as secondary signaling intermediates, modifying important metabolic pathways, and contributing to the pathophysiology of several human diseases, including neurodegenerative disorders. Additionally, they could serve as biomarkers for disease progression. This narrative review article discusses the biological and clinical significance of oxidative stress-mediated lipid peroxidation-derived lipid aldehydes in the pathophysiology of various neurodegenerative diseases.","Kieran Allowitz, Justin Taylor, Kyra Harames, John Yoo, Omar Baloch, Kota V Ramana",2024
Dynactin-1 mediates rescue of impaired axonal transport due to reduced mitochondrial bioenergetics in amyotrophic lateral sclerosis motor neurons.,"Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease of the motor system with complex determinants, including genetic and non-genetic factors. A key pathological signature of ALS is the cytoplasmic mislocalization and aggregation of TDP-43 in affected motor neurons, which is found in 97% of cases. Recent reports have shown that mitochondrial dysfunction plays a significant role in motor neuron degeneration in ALS, and TDP-43 modulates several mitochondrial transcripts. In this study, we used induced pluripotent stem cell-derived motor neurons from ALS patients with TDP-43 mutations and a transgenic TDP-43<sup>M337V</sup> mouse model to determine how TDP-43 mutations alter mitochondrial function and axonal transport. We detected significantly reduced mitochondrial respiration and ATP production in patient induced pluripotent stem cell-derived motor neurons, linked to an interaction between TDP-43<sup>M337V</sup> with ATPB and COX5A. A downstream reduction in speed of retrograde axonal transport in patient induced pluripotent stem cell-derived motor neurons was detected, which correlated with downregulation of the motor protein complex, DCTN1/dynein. Overexpression of DCTN1 in patient induced pluripotent stem cell-derived motor neurons significantly increased the percentage of retrograde travelling mitochondria and reduced the percentage of stationary mitochondria. This study shows that ALS induced pluripotent stem cell-derived motor neurons with mutations in TDP-43 have deficiencies in essential mitochondrial functions with downstream effects on retrograde axonal transport, which can be partially rescued by DCTN1 overexpression.","Ruxandra Dafinca, Carlota Tosat-Bitrian, Emily Carroll, Björn F Vahsen, Javier Gilbert-Jaramillo, Jakub Scaber, Emily Feneberg, Errin Johnson, Kevin Talbot",2024
A review of proposed mechanisms for neurodegenerative disease.,"Neurodegenerative diseases, such as Alzheimer's, Parkinson's, and amyotrophic lateral sclerosis (ALS) affect millions and present significant challenges in healthcare and treatment costs. The debate in the field pivots around two hypotheses: synaptic spread and selective vulnerability. Pioneers like Virginia Lee and John Trojanowski have been instrumental in identifying key proteins (tau, alpha-synuclein, TDP-43) central to these diseases. The synaptic spread hypothesis suggests a cell-to-cell propagation of pathogenic proteins across neuronal synapses, influencing disease progression, with studies highlighting the role of proteins like alpha-synuclein and amyloid-beta in this process. In contrast, the selective vulnerability hypothesis proposes inherent susceptibility of certain neurons to degeneration due to factors like metabolic stress, leading to protein aggregation. Recent advancements in neuroimaging, especially PET/MRI hybrid imaging, offer new insights into these mechanisms. While both hypotheses offer substantial evidence, their relative contributions to neurodegenerative processes remain to be fully elucidated. This uncertainty underscores the necessity for continued research, with a focus on these hypotheses, to develop effective treatments for these devastating diseases.","Benjamin M Kelser, Eric M Teichner, Robert C Subtirelu, Kevin N Hoss",2024
Mechanism-free repurposing of drugs for C9orf72-related ALS/FTD using large-scale genomic data.,"Repeat expansions in the C9orf72 gene are the most common genetic cause of (ALS) and frontotemporal dementia (FTD). Like other genetic forms of neurodegeneration, pinpointing the precise mechanism(s) by which this mutation leads to neuronal death remains elusive, and this lack of knowledge hampers the development of therapy for C9orf72-related disease. We used an agnostic approach based on genomic data (n = 41,273 ALS and healthy samples, and n = 1,516 C9orf72 carriers) to overcome these bottlenecks. Our drug-repurposing screen, based on gene- and expression-pattern matching and information about the genetic variants influencing onset age among C9orf72 carriers, identified acamprosate, a γ-aminobutyric acid analog, as a potentially repurposable treatment for patients carrying C9orf72 repeat expansions. We validated its neuroprotective effect in cell models and showed comparable efficacy to riluzole, the current standard of care. Our work highlights the potential value of genomics in repurposing drugs in situations where the underlying pathomechanisms are inherently complex. VIDEO ABSTRACT.","Sara Saez-Atienzar, Cleide Dos Santos Souza, Ruth Chia, Selina N Beal, Ileana Lorenzini, Ruili Huang, Jennifer Levy, Camelia Burciu, Jinhui Ding, J Raphael Gibbs, Ashley Jones, Ramita Dewan, Viviana Pensato, Silvia Peverelli, Lucia Corrado, Joke J F A van Vugt, Wouter van Rheenen, Ceren Tunca, Elif Bayraktar, Menghang Xia, Alfredo Iacoangeli, Aleksey Shatunov, Cinzia Tiloca, Nicola Ticozzi, Federico Verde, Letizia Mazzini, Kevin Kenna, Ahmad Al Khleifat, Sarah Opie-Martin, Flavia Raggi, Massimiliano Filosto, Stefano Cotti Piccinelli, Alessandro Padovani, Stella Gagliardi, Maurizio Inghilleri, Alessandra Ferlini, Rosario Vasta, Andrea Calvo, Cristina Moglia, Antonio Canosa, Umberto Manera, Maurizio Grassano, Jessica Mandrioli, Gabriele Mora, Christian Lunetta, Raffaella Tanel, Francesca Trojsi, Patrizio Cardinali, Salvatore Gallone, Maura Brunetti, Daniela Galimberti, Maria Serpente, Chiara Fenoglio, Elio Scarpini, Giacomo P Comi, Stefania Corti, Roberto Del Bo, Mauro Ceroni, Giuseppe Lauria Pinter, Franco Taroni, Eleonora Dalla Bella, Enrica Bersano, Charles J Curtis, Sang Hyuck Lee, Raymond Chung, Hamel Patel, Karen E Morrison, Johnathan Cooper-Knock, Pamela J Shaw, Gerome Breen, Richard J B Dobson, Clifton L Dalgard, Sonja W Scholz, Ammar Al-Chalabi, Leonard H van den Berg, Russell McLaughlin, Orla Hardiman, Cristina Cereda, Gianni Sorarù, Sandra D'Alfonso, Siddharthan Chandran, Suvankar Pal, Antonia Ratti, Cinzia Gellera, Kory Johnson, Tara Doucet-O'Hare, Nicholas Pasternack, Tongguang Wang, Avindra Nath, Gabriele Siciliano, Vincenzo Silani, Ayşe Nazlı Başak, Jan H Veldink, William Camu, Jonathan D Glass, John E Landers, Adriano Chiò, Rita Sattler, Christopher E Shaw, Laura Ferraiuolo, Isabella Fogh, Bryan J Traynor",2024
The neuropharmacological and clinical effects of lutein: a systematic review.,"Neurodegenerative diseases are defined by specific protein accumulation and anatomic vulnerability leading to neuronal loss. Some studies have shown that lutein may have an effect on neurodegenerative diseases. As most of the neurodegenerative diseases don't have certain cure and therapies focus on symptom control, Lutein may be a complementary treatment. Due to controversies in studies investigating lutein effect on neurodegenerative diseases, we decided to perform a systematic review on these studies.","Atefeh Arab Firozjae, Mohammad Reza Shiran, Mohsen Rashidi",2024
Correction to: Fasciculation score: a sensitive biomarker in amyotrophic lateral sclerosis.,,"Jing Ma, Qi Wen, Xiaomin Pang, Shan Huang, Jing Zhang, Juan Wang, Xueli Chang, Junhong Guo, Wei Zhang",2024
[Lower motor neuron disease with MRI «snake eyes» pattern].,"Motor neuron disease with isolated or predominant lesion of the lower motor neuron at one level of the pyramidal tract is a rare diagnostic finding. In the article, we analyze the case of a patient with asymmetric lesion of the inferior motor neuron at the cervical level: clinical manifestations, results of additional studies and dynamic observation of the patient. Special attention is paid to the MRI picture of changes in the pyramidal tracts in the cervical region, which have been called the «snake eyes» in the literature, and the impact of this finding on the diagnosis and prognosis of the disease.","L V Brylev, V V Bryukhov, E S Druzhinina, M O Kovalchuk",2024
Targeting capabilities of engineered extracellular vesicles for the treatment of neurological diseases.,"Recent advances in research on extracellular vesicles have significantly enhanced their potential as therapeutic agents for neurological diseases. Owing to their therapeutic properties and ability to cross the blood-brain barrier, extracellular vesicles are recognized as promising drug delivery vehicles for various neurological conditions, including ischemic stroke, traumatic brain injury, neurodegenerative diseases, glioma, and psychosis.However, the clinical application of natural extracellular vesicles is hindered by their limited targeting ability and short clearance from the body. To address these limitations, multiple engineering strategies have been developed to enhance the targeting capabilities of extracellular vesicles, thereby enabling the delivery of therapeutic contents to specific tissues or cells. Therefore, this review aims to highlight the latest advancements in natural and targeting-engineered extracellular vesicles, exploring their applications in treating traumatic brain injury, ischemic stroke, Parkinson's disease, Alzheimer's disease, amyotrophic lateral sclerosis, glioma, and psychosis. Additionally, we summarized recent clinical trials involving extracellular vesicles and discussed the challenges and future prospects of using targeting-engineered extracellular vesicles for drug delivery in treating neurological diseases. This review offers new insights for developing highly targeted therapies in this field.","Xinyu Yang, Xiangyu Gao, Xiaofan Jiang, Kangyi Yue, Peng Luo",2024
"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.","Recent literature suggests that markers of neuroaxonal damage, such as neurofilaments and tau protein, might serve as potential biomarkers for ALS. We conducted this systematic review and meta-analysis study to compare cerebrospinal fluid (CSF) and blood levels of total tau (t-tau), phosphorylated tau (p-tau), amyloid beta peptide 42 (Abeta-42), and neurofilaments in ALS patients and controls. A systematic search of Cochrane Library, PubMed, Embase, and ISI Web of Science was conducted on March 18, 2022, and updated on January 26, 2023. Observational studies that compared the concentrations of neurofilament light chain (NfL), neurofilament heavy chain (NFH), t-tau, p-tau, or Abeta-42 in CSF or peripheral blood of ALS patients and controls were included. Data from relevant studies were independently extracted and screened for quality using a standard tool, by at least two authors. Meta-analysis was conducted when a minimum of 3 studies reported the same biomarker within the same biofluid. A total of 100 studies were eligible for at least one meta-analysis. CSF and blood levels of NfL (standardized mean difference (SMD) [95% CI]; CSF: 1.46 [1.25-1.68]; blood: 1.35 [1.09-1.60]) and NFH (CSF: 1.32 [1.13-1.50], blood: 0.90 [0.58-1.22]) were significantly higher in ALS patients compared with controls. The pooled differences between ALS patients and controls were not significant for CSF t-tau, blood t-tau, and CSF Abeta-42, but CSF p-tau was lower in ALS patients (-0.27 [-0.47- -0.07]). Significantly decreased p-tau/t-tau ratios were found in ALS patients compared with controls (-0.84 [-1.16- -0.53]). Heterogeneity was considerable in most of our meta-analyses. CSF and blood neurofilament levels, as well as the CSF p-tau/t-tau ratio, might be potential candidates for improving ALS diagnosis. Further research is warranted to better understand the underlying mechanisms and the clinical implications of these biomarker alterations.","Elmira Agah, Helia Mojtabavi, Atefeh Behkar, Arash Heidari, Atra Ajdari, Zoha Shaka, Seyed Vahid Mousavi, Negar Firoozeh, Abbas Tafakhori, Nima Rezaei",2024
