Title,Abstract,Authors,Publication Date
Loss of CLN3 in microglia leads to impaired lipid metabolism and myelin turnover.,"Loss-of-function mutations in CLN3 cause juvenile Batten disease, featuring neurodegeneration and early-stage neuroinflammation. How loss of CLN3 function leads to early neuroinflammation is not yet understood. Here, we have comprehensively studied microglia from Cln3<sup>∆ex7/8</sup> mice, a genetically accurate disease model. Loss of CLN3 function in microglia leads to lysosomal storage material accumulation and abnormal morphology of subcellular organelles. Moreover, pathological proteomic signatures are indicative of defects in lysosomal function and abnormal lipid metabolism. Consistent with these findings, CLN3-deficient microglia are unable to efficiently turnover myelin and metabolize the associated lipids, showing defects in lipid droplet formation and cholesterol accumulation. Accordingly, we also observe impaired myelin integrity in aged Cln3<sup>∆ex7/8</sup> mouse brain. Autophagy inducers and cholesterol-lowering drugs correct the observed microglial phenotypes. Taken together, these data implicate a cell-autonomous defect in CLN3-deficient microglia that impacts their ability to support neuronal cell health, suggesting microglial targeted therapies should be considered for CLN3 disease.","Seda Yasa, Elisabeth S Butz, Alessio Colombo, Uma Chandrachud, Luca Montore, Sarah Tschirner, Matthias Prestel, Steven D Sheridan, Stephan A Müller, Janos Groh, Stefan F Lichtenthaler, Sabina Tahirovic, Susan L Cotman",2024
CLN3 transcript complexity revealed by long-read RNA sequencing analysis.,"Batten disease is a group of rare inherited neurodegenerative diseases. Juvenile CLN3 disease is the most prevalent type, and the most common pathogenic variant shared by most patients is the ""1-kb"" deletion which removes two internal coding exons (7 and 8) in CLN3. Previously, we identified two transcripts in patient fibroblasts homozygous for the 1-kb deletion: the 'major' and 'minor' transcripts. To understand the full variety of disease transcripts and their role in disease pathogenesis, it is necessary to first investigate CLN3 transcription in ""healthy"" samples without juvenile CLN3 disease.","Hao-Yu Zhang, Christopher Minnis, Emil Gustavsson, Mina Ryten, Sara E Mole",2024
Wide-field OCT angiography for non-human primate retinal imaging.,"Optical coherence tomography (OCT) is a well-established research tool for vision research in animal models capable of providing <i>in vivo</i> imaging of the retina. Structural OCT can be enhanced using OCT angiography (OCTA) processing in order to provide simultaneously acquired, automatically co-registered vascular information. Currently available OCT. Currently available OCTA lack either large field of view or high resolution. In this study we developed a wide-field (60-degree), high-resolution (10.5-µm optical transverse) and high-sensitivity (104-dB) OCTA-enabled system for non-human primate imaging and with it imaged multiple disease models, including models of age-related macular degeneration (AMD), Bardet-Biedl Syndrome (BBS), and the <i>CLN7</i> variant of Batten disease. We demonstrate clear visualization of features including drusen, ellipsoid zone loss, vascular retinopathy, and retinal thinning in these eyes.","Xiang Wei, Tristan T Hormel, Laurie Renner, Martha Neuringer, Yali Jia",2024
Behaviours and psychological symptoms of childhood dementia: two cases of psychosocial interventions.,"Childhood dementias are a group of rare, fatal neurodegenerative disorders, characterised by global cognitive decline, loss of previously acquired developmental skills and behaviours and psychological symptoms of dementia (BPSD). Batten disease, or neuronal ceroid lipofuscinosis, and Sanfilippo syndrome, or mucopolysaccharidosis type III, are two of the more common forms of childhood dementia disorders worldwide. While psychosocial interventions are the best available therapeutic approach for BPSD management in adult-onset dementia, there is very limited literature or clinical experience in the context of childhood dementia. To address this gap, we conducted a descriptive case analysis of BPSD profiles, associated contributing factors and targeted psychosocial interventions in two cases with childhood dementia disorders (Sanfilippo syndrome and CLN3 (juvenile onset) Batten disease) who were referred to Dementia Support Australia, a national dementia behaviour support service in Australia. Primary BPSD identified in these disorders included physical and verbal aggression and irritability/lability. In these cases, contributing factors to the development of BPSD were not monolithic, encompassing pain, caregiver's approach and over or under-stimulation. Improvement in BPSD were observed using the Neuropsychiatric Inventory-Quesionnaire and globally noted as per the qualitative feedback reported by family and caregivers. Person-centred, multimodal psychosocial interventions were recognised as effective therapies in resolving BPSD in these cases. In conclusion, the case studies described the nature and presentation of BPSD in two common forms of childhood dementia and demonstrated the potential benefits of person-centred psychosocial interventions (delivered through national dementia-specific support programs) in alleviating BPSD such as irritability and aggression in these disorders.","Mustafa Atee, Ineka Whiteman, Rebecca Lloyd, Thomas Morris",2024
"Reduction of neuroinflammation and seizures in a mouse model of CLN1 batten disease using the small molecule enzyme mimetic, N-Tert-butyl hydroxylamine.","Infantile neuronal ceroid lipofuscinosis (CLN1 Batten Disease) is a devastating pediatric lysosomal storage disease caused by pathogenic variants in the CLN1 gene, which encodes the depalmitoylation enzyme, palmitoyl-protein thioesterase 1 (PPT1). CLN1 patients present with visual deterioration, psychomotor dysfunction, and recurrent seizures until neurodegeneration results in death, typically before fifteen years of age. Histopathological features of CLN1 include aggregation of lysosomal autofluorescent storage material (AFSM), as well as profound gliosis. The current management of CLN1 is relegated to palliative care. Here, we examine the therapeutic potential of a small molecule PPT1 mimetic, N-tert-butyl hydroxylamine (NtBuHA), in a Cln1<sup>-/-</sup> mouse model. Treatment with NtBuHA reduced AFSM accumulation both in vitro and in vivo. Importantly, NtBuHA treatment in Cln1<sup>-/-</sup> mice reduced neuroinflammation, mitigated epileptic episodes, and normalized motor function. Live cell imaging of Cln1<sup>-/-</sup> primary cortical neurons treated with NtBuHA partially rescued aberrant synaptic calcium dynamics, suggesting a potential mechanism contributing to the therapeutic effects of NtBuHA in vivo. Taken together, our findings provide supporting evidence for NtBuHA as a potential treatment for CLN1 Batten Disease.","Zach Fyke, Rachel Johansson, Anna I Scott, Devin Wiley, Daniel Chelsky, Joseph D Zak, Nader Al Nakouzi, Kevin P Koster, Akira Yoshii",2024
Editorial: Neuronal ceroid lipofuscinosis: molecular genetics and epigenetics.,,Paschalis Nicolaou,2024
"Neuronal Ceroid Lipofuscinoses Type 7 (CLN7)- A Case Series Reporting Cross Sectional and Retrospective Clinical Data to Evaluate Validity of Standardized Tools to Assess Disease Progression, Quality of Life, and Adaptive Skills.","This study evaluated the clinical characteristics of neuronal ceroid lipofuscinosis type 7 or CLN7 disease spectrum to characterize the clinical, electrophysiologic and neuroimaging phenotypes.","Saima Kayani, Veronica Bordes Edgar, Andrea Lowden, Emily R Nettesheim, Hamza Dahshi, Souad Messahel, Berge A Minassian, Benjamin M Greenberg",2024
Evolution of Movement Disorders in Patients With CLN2-Batten Disease Treated With Enzyme Replacement Therapy.,"Neuronal ceroid lipofuscinosis type 2 (CLN2-disease) is an inherited childhood-onset neurodegenerative condition, with classical early features of speech delay, epilepsy, myoclonus, ataxia, and motor regression. This study aimed to better characterize the spectrum of movement disorders in CLN2-disease in a cohort of children receiving enzyme replacement therapy (ERT).","Robert Spaull, Audrey K Soo, Spyros Batzios, Emma Footitt, Rebecca Whiteley, Jonathan W Mink, Lucinda Carr, Paul Gissen, Manju A Kurian",2024
High Prevalence of Movement Disorder in Treated CLN2-Batten Disease: Rare Disease Therapy Development Must Not Stop With Approved Treatment.,,Raymond Y Wang,2024
Mechanisms of Action of the US Food and Drug Administration-Approved Antisense Oligonucleotide Drugs.,"Antisense oligonucleotides (ASOs) are single stranded nucleic acids that target RNA. The US Food and Drug Administration has approved ASOs for several diseases. ASOs utilize three principal modes of action (MOA). The first MOA is initiated by base-pairing between the ASO and its target mRNA, followed by RNase H-dependent mRNA degradation. The second MOA is triggered by ASOs that occlude splice acceptor sites in pre-mRNAs leading to skipping of a mutation-bearing exon. The third MOA involves ASOs that sterically hinder mRNA function, often inhibiting translation. ASOs contain a variety of modifications to the sugar-phosphate backbone and bases that stabilize the ASO or render them resistant to RNase activity. RNase H-dependent ASOs include inotersen and eplontersen (for hereditary transthyretin amyloidosis), fomiversen (for opportunistic cytomegalovirus infection), mipomersen (for familial hypercholesterolemia), and tofersen [for amyotrophic lateral sclerosis (ALS)]. Splice modulating ASOs include nursinersen (for spinal muscular atrophy) and eteplirsen, golodirsen, viltolarsen, and casimersen (all for the treatment of Duchenne muscular dystrophy). In addition, a designer ASO, milasen, was used to treat a single individual afflicted with Batten disease. Since ASO design relies principally upon knowledge of mRNA sequence, the bench to bedside pipeline for ASOs is expedient compared with protein-directed drugs. [Graphical abstract available.].","Angela Sang, Selena Zhuo, Adara Bochanis, José E Manautou, Raman Bahal, Xiao-Bo Zhong, Theodore P Rasmussen",2024
