Title,Abstract,Authors,Publication Date
Improving implementation and team communication by integrating a cystic fibrosis transition readiness (CF R.I.S.E.) program into electronic health records.,"The cystic fibrosis (CF) Responsibility. Independence. Self-care. Education. (R.I.S.E.) program was developed to provide assessment and education, supporting transition readiness for people with cystic fibrosis (pwCF). Lack of integration within electronic health records (EHR) was a barrier to implementation of CF R.I.S.E. University of Michigan was able to integrate CF R.I.S.E. into EHR.","Catherine Enochs, Amy G Filbrun, Michelle Hjelm, Julie Lehrmann, Lisa Mullen, Rebeca Packard, Jessica Roach, Anna K Saulitis, Samya Z Nasr",2024
Rapid Drug Desensitization Protocol in Delayed Hypersensitivity Reactions to CFTR Modulator Drugs: When Every Day Counts.,,"N Rodríguez-Otero, C Fernández-Lozano, S Vicente-Santamaría, L Díaz-Montalvo, C Pérez Menéndez-Conde, F J Sola-Martínez",2024
High rate of macrolide resistance and closely genetically related <i>Mycobacterium abscessus</i> complex strains identified among both cystic fibrosis and non-cystic fibrosis patients within two countries.,"<i>Mycobacterium abscessus</i> is an emerging opportunistic pathogen affecting patients with chronic lung diseases, primarily cystic fibrosis (CF), or those under immunosuppression. Hence, investigations into the epidemiology and transmission of <i>M. abscessus</i> and accurate antibiotic susceptibility data are essential for the effective treatment of infections caused by this pathogen. This retrospective nationwide study included all clinical <i>M. abscessus</i> isolates (<i>n</i> = 59) from 29 patients diagnosed in the Czech Republic and Slovakia between 2018 and 2023. Whole genome sequencing (WGS) was performed to identify clusters and classify isolates into predominant circulating clones (DCC). Subspecies identification of unique isolates showed subspecies <i>abscessus</i> as the most prevalent (69.0%). The results of drug-susceptibility testing showed that 65.5% of all isolates were resistant to at least three antibiotics tested. CF patients under 24 years of age were the most at-risk group for <i>M. abscessus</i> infection. WGS identified seven clusters (including two cross-border) comprising CF and non-CF patients with a total clustering rate of 48.3%. One cluster involved patients infected with subspecies <i>massiliense</i> strains differing by 0 single nucleotide polymorphisms hospitalized in the same center. Furthermore, we identified representatives of all major DCCs. This study revealed predominant <i>Mycobacterium abscessus</i> complex clones circulating in the Czech Republic and Slovakia. The results show the high discriminatory power of WGS in the molecular epidemiology of <i>M. abscessus</i> and provide supporting evidence of direct or indirect cross-transmission of subspecies <i>massiliense</i> among both CF and non-CF patients.","Matúš Dohál, Věra Dvořáková, Michaela Hromádková, Martina Pinková, Jana Amlerová, Marek Schwarz, Andrea Spitaleri, Federico di Marco, Jarmila Hnilicová, Eduard Gondáš, Michael E Rasmussen, Igor Porvazník, Ivan Solovič, Daniela M Cirillo, Juraj Mokrý",2024
Genomic and phenotypic characterization of <i>Pseudomonas aeruginosa</i> isolates from two Mexican cystic fibrosis attention centers.,"Thirty-nine clinical isolates of <i>Pseudomonas aeruginosa</i> collected from 11 cystic fibrosis (CF) patients at two CF attention centers over 10 years were subjected to whole genome sequencing (WGS). Phenotypic tests (i.e., elastase, motility, biofilm, growth rate, and antibiotic susceptibility) were performed to correlate results. A single strain of <i>P. aeruginosa</i> was found to persist over time in longitudinal isolates. No transmission between patients or centers was observed. A tendency to lack genes related to pyoverdine, flagellum, pili, and O-antigen was observed, whereas those related to biofilm, phenazine, and pyochelin were conserved among isolates. In a patient with a 10-year follow-up, a single strain of <i>P. aeruginosa</i> persisted and showed a gradual decrease in elastase activity and growth rate, demonstrating an adaptive phenotype.<b>IMPORTANCE</b>This study investigates the genomic and phenotypic characteristics of <i>Pseudomonas aeruginosa</i> isolates from Mexican cystic fibrosis (CF) patients, an underrepresented group in CF research. To our knowledge, it is the first to use whole genome sequencing (WGS) to study longitudinally collected <i>P. aeruginosa</i> isolates from this population, evaluating both genomic features and clonal relationships. Remarkably, the study includes samples from one patient over 10 years, offering an extended observation time compared to existing literature. Unlike similar studies, which often lack phenotypic testing, this research incorporates various virulence-related phenotypic assays, enhancing our understanding of gene-to-phenotype correlations. Two potential mechanisms for the loss of elastolytic activity were identified. Furthermore, we conduct an in-depth mobilome analysis, an area that remains largely unexplored in CF contexts. Whole genome sequencing data are publicly available through the NCBI SRA database, facilitating further re-analysis for studies on <i>P. aeruginosa</i> in CF, as well as epidemiological and population structure research.","Luis Ángel Núñez-García, José Manuel Feliciano-Guzmán, Christian Daniel Mireles-Davalos, José Raúl López-Sántiz, Jesús Elías Ovando-Fonseca, Eduardo Becerril-Vargas, María Elena Jiménez-Martínez, Nadia Rodríguez-Medina, Ulises Garza-Ramos, Carlos Córdova-Fletes, Elvira Garza-González",2024
Effectiveness of Telemedicine in Managing Health-Related Issues in the Pediatric Population: A Systematic Review.,"Healthcare delivery is made more convenient and effective via telemedicine, which enables physicians to conduct virtual consultations and evaluations with pediatric patients. The purpose of this systematic review was to evaluate the efficacy of telemedicine as compared to physical appointments in the pediatric population. We used Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines to search for the available literature using pre-specified inclusion and exclusion criteria. These databases provided 968 relevant research articles, which Endnote software screened for duplicates. Fourteen studies were considered relevant for full-text evaluation. After complete text evaluation, only 11 of these articles were found to be relevant. The Newcastle-Ottawa Scale (NOS) was used for the risk of bias assessment of all included studies. Eleven articles in all satisfied the requirements for inclusion and were added to the review. Every study was classified as either a cluster randomized trial (27%) or a randomized controlled trial (RCT) (73%). There were between 22 and 400 participants in each trial. Medical conditions evaluated included obesity (27%), mental health disorders (9%), asthma (18%), otitis media (9%), skin disorders (9%), type 1 diabetes (9%), attention deficit hyperactivity disorder (ADHD) (9%), and pancreatic insufficiency associated with cystic fibrosis (1/11). Telemedicine strategies employed included telemedicine-based screening visits (9%), smartphone-based therapies (27%), phone counseling (18%), and videoconferencing visits between patients and doctors (45%). The outcomes of the telemedicine procedures in every included study were on par with or superior to those of the control groups. Medication adherence, appointment completion rates, life satisfaction, symptom management, and disease progression were all outcomes associated with these findings. Although more research is needed, the evidence from this review suggests that telemedicine services for the general public and pediatric care are comparable to or better than in-person services. Patients, healthcare professionals, and caregivers may benefit from using both telemedicine services and traditional in-person healthcare services. To maximize the potential of telemedicine, future research should focus on improving patients' access to care, increasing the cost-effectiveness of telemedicine services, and eliminating barriers to telemedicine use.","Iman Mohammed Taher Do Alfuqhar, Alaa Eldirdiri Ali Khalafalla, Salma Hassan Mahmoud Ali, Elwaleed Idrees Aydaross Adam, Hanady M Osman, Rwabi Safar Alrabie",2024
Current landscape of cystic fibrosis gene therapy.,"Cystic fibrosis is a life-threatening disease that is caused by mutations in <i>CFTR</i>, a gene which encodes an ion channel that supports proper function of several epithelial tissues, most critically the lung. Without CFTR, airway barrier mechanisms are impaired, allowing for chronic, recurrent infections that result in airway remodeling and deterioration of lung structure and function. Small molecule modulators can rescue existing, defective CFTR protein; however, they still leave a subset of people with CF with no current disease modifying treatments, aside from lung transplantation. Gene therapy directed to the lung is a promising strategy to modify CF disease in the organ most associated with morbidity and mortality. It is accomplished through delivery of a CFTR transgene with an airway permissive vector. Despite more than three decades of research in this area, a lung directed gene therapy has yet to be realized. There is hope that with improved delivery vectors, sufficient transduction of airway cells can achieve therapeutic levels of functional CFTR. In order to do this, preclinical programs need to meet a certain level of CFTR protein expression <i>in vitro</i> and <i>in vivo</i> through improved transduction, particularly in relevant airway cell types. Furthermore, clinical programs must be designed with sensitive methods to detect CFTR expression and function as well as methods to measure meaningful endpoints for lung structure, function and disease. Here, we discuss the current understanding of how much and where <i>CFTR</i> needs to be expressed, the most advanced vectors for <i>CFTR</i> delivery and clinical considerations for detecting CFTR protein and function in different patient subsets.","Lindsey W Plasschaert, Kelvin D MacDonald, Jeffrey S Moffit",2024
Assessing effectiveness of cleaning and disinfection of equipment and environmental surfaces in cystic fibrosis clinics using an ATP assay.,Infection control guidelines for cystic fibrosis (CF) stress cleaning of environmental surfaces and patientcare equipment in CF clinics. This multicenter study measured cleanliness of frequently touched surfaces in CF clinics using an ATP bioluminescence assay to assess the effectiveness of cleaning/disinfection and the impact of feedback.,"Marianne S Muhlebach, Thomas Shields, Kushal K Shah, Maria Ansar, Isabel Virella-Lowell, Juyan J Zhou, John J LiPuma, Lisa Saiman",2024
Gene expression responses of CF airway epithelial cells exposed to elexacaftor/tezacaftor/ivacaftor (ETI) suggest benefits beyond improved CFTR channel function.,"The combination of elexacaftor/tezacaftor/ivacaftor (ETI, Trikafta) reverses the primary defect in Cystic Fibrosis (CF) by improving CFTR mediated Cl<sup>-</sup> and HCO<sub>3</sub><sup>-</sup> secretion by airway epithelial cells (AEC), leading to improved lung function and less frequent exacerbations and hospitalizations. However, studies have shown that CFTR modulators like ivacaftor, a component of ETI, has numerous effects on CF cells beyond improved CFTR channel function. Because little is known about the effect of ETI on CF AEC gene expression we exposed primary human AEC to ETI for 48 hours and interrogated the transcriptome by RNA-seq and qPCR. ETI increased CFTR Cl<sup>-</sup> secretion, and defensin gene expression (<i>DEFB1</i>) an observation consistent with reports of decreased bacterial burden in the lungs of people with CF (pwCF). ETI decreased <i>MMP10</i> and <i>MMP12</i> gene expression, suggesting that ETI may reduce proteolytic induced lung destruction in CF. ETI also reduced the expression of the stress response gene heme oxygenase (<i>HMOX1</i>). qPCR analysis confirmed <i>DEFB1</i>, <i>HMOX1</i>, <i>MMP10</i> and <i>MMP12</i> gene expression results observed by RNA-seq. Gene pathway analysis revealed that ETI decreased inflammatory signaling, cellular proliferation and MHC Class II antigen presentation. Collectively, these findings suggest that the clinical observation that ETI reduces lung infections in pwCF is related in part to drug induced increases in <i>DEFB1</i>, and that ETI may reduce lung damage by reducing <i>MMP10</i> and <i>MMP12</i> gene expression. Moreover, pathway analysis also identified several other genes responsible for the ETI induced reduction in inflammation observed in pwCF.","Thomas H Hampton, Roxanna Barnaby, Carolyn Roche, Amanda B Nymon, Kiyoshi Ferreira Fukutani, Todd A MacKenzie, Lily A Charpentier, Bruce A Stanton",2024
Multi-year comparison of VITEK MS performance for identification of rarely encountered pathogenic Gram-negative organisms (GNOs) in a large integrated Canadian healthcare region.,"This multi-year study (2014-2019) compared identification of rare and unusual Gram-negative organisms (GNOs) by matrix-assisted laser desorption ionization-time of flight mass spectrometry (MALDI-TOF MS) (VITEK MS, bioMérieux, Laval Que.) to 16S rRNA gene sequencing (16S) according to our laboratories routine workflow; 16S is done if initial MALDI-TOF MS gave discordant, wrong, or no results. GNB isolates were first analyzed by standard phenotypic methods and MALDI-TOF MS using direct deposit-full formic acid extraction; proteomics was repeated if no result occurred. Medically approved 16S analyses were done using fast protocols. Isolate sequences were analyzed using the Integrated Database Network System (IDNS3) bacterial database (SmartGene, Lausanne, Switzerland). Three hundred thirty-one GNOs including 251 (76%) aerobic Gram-negative bacilli (GNB), 63 (19%) fastidious Gram-negative coccobacilli (fGNCBs), and 17 (5%) <i>Campylobacterales</i> (CAMPB) isolates were recovered from 304 specimens; >1 isolate was recovered from 19 (6%). GNOs were mainly recovered from blood cultures (31.6%) and lower respiratory specimens (43%) (one-half were isolated from cystic fibrosis patients). Accurate genus vs species identities were obtained for 67.7% and 32.5% aerobic GNBs, 73% and 60% fGNCBs, and 23.5% CAMPB (with no discrepant species), respectively. Wrong or no results were obtained for 81 (32.3%) aerobic GNBs, 17 (27%) fGNCBs, and 13 (72.2%) CAMPB. No results or misidentifications occurred for 33% of aerobic GNBs, 26% of fGNCBs, and 76.5% of CAMPB due to absence of species in the instrument's database. VITEK MS performance remained stable for aerobic GNBs and fGNCBs but improved for CAMPB with addition of <i>Campylobacter rectus</i> and <i>Campylobacter curvus</i> to the database. 16S remains important for identification of GNOs when proteomics fails.IMPORTANCEMatrix-assisted laser desorption ionization-time of flight mass spectrometry (MALDI-TOF MS) has transformed the identification of commonly encountered Gram-negative organisms (GNOs) in the clinical laboratory, but rare and unusual organisms continue to challenge the technology. This study verified performance of VITEK MS for identification of a broad range of rare and unusual clinical GNO isolates by our large reference laboratory workflow over a multi-year period. Although most GNOs were accurately identified by MALDI-TOF MS, a small number of clinical isolates (~1%-6%) required 16S sequencing for identification depending on the GNO category. Approximately one-third of aerobic Gram-negative bacilli (GNBs) and two-thirds of <i>Campylobacterales</i> could not be accurately identified by proteomics due to lack of an organism in the instrument's database. MALDI-TOF MS databases should be continuously updated and validated, and laboratories should have a workflow for identification of unusual or rarely encountered aerobic, fastidious, and <i>Campylobacterales</i> GNOs that includes 16S rRNA gene sequencing whenever proteomics cannot give a definitive identification.","D L Church, T Griener, D Gregson",2024
"EF-hand calcium sensor, EfhP, controls transcriptional regulation of iron uptake by calcium in <i>Pseudomonas aeruginosa</i>.","The human pathogen <i>Pseudomonas aeruginosa</i> (<i>Pa</i>) poses a major risk for a range of severe infections, particularly lung infections in patients suffering from cystic fibrosis (CF). As previously reported, the virulent behavior of this pathogen is enhanced by elevated levels of Ca<sup>2+</sup> that are commonly present in CF nasal and lung fluids. In addition, a Ca<sup>2+</sup>-binding EF-hand protein, EfhP (PA4107), was partially characterized and shown to be critical for the Ca<sup>2+</sup>-regulated virulence in <i>P. aeruginosa</i>. Here, we describe the rapid (10 min, 60 min), and adaptive (12 h) transcriptional responses of PAO1 to elevated Ca<sup>2+</sup> detected by genome-wide RNA sequencing and show that <i>efhP</i> deletion significantly hindered both rapid and adaptive Ca<sup>2+</sup> regulation. The most differentially regulated genes included multiple Fe sequestering mechanisms, a large number of extracytoplasmic function sigma factors (ECFσ), and several virulence factors, such as the production of pyocins. The Ca<sup>2+</sup> regulation of Fe uptake was also observed in CF clinical isolates and appeared to involve the global regulator Fur. In addition, we showed that the <i>efhP</i> transcription is controlled by Ca<sup>2+</sup> and Fe, and this regulation required a Ca<sup>2+</sup>-dependent two-component regulatory system CarSR. Furthermore, the <i>efhP</i> expression is significantly increased in CF clinical isolates and upon pathogen internalization into epithelial cells. Overall, the results established for the first time that Ca<sup>2+</sup> controls Fe sequestering mechanisms in <i>P. aeruginosa</i> and that EfhP plays a key role in the regulatory interconnectedness between Ca<sup>2+</sup> and Fe signaling pathways, the two distinct and important signaling pathways that guide the pathogen's adaptation to the host.IMPORTANCE<i>Pseudomonas aeruginosa</i> (<i>Pa</i>) poses a major risk for severe infections, particularly in patients suffering from cystic fibrosis (CF). For the first time, kinetic RNA sequencing analysis identified <i>Pa</i> rapid and adaptive transcriptional responses to Ca<sup>2+</sup> levels consistent with those present in CF respiratory fluids. The most highly upregulated processes include iron sequestering, iron starvation sigma factors, and self-lysis factors pyocins. An EF-hand Ca<sup>2+</sup> sensor, EfhP, is required for at least 1/3 of the Ca<sup>2+</sup> response, including the majority of the iron uptake mechanisms and the production of pyocins. Transcription of <i>efhP</i> itself is regulated by Ca<sup>2+</sup> and Fe, and increases during interactions with host epithelial cells, suggesting the protein's important role in <i>Pa</i> infections. The findings establish the regulatory interconnectedness between Ca<sup>2+</sup> and iron signaling pathways that shape <i>Pa</i> transcriptional responses. Therefore, understanding Pa's transcriptional response to Ca<sup>2+</sup> and associated regulatory mechanisms will serve in the development of future therapeutics targeting <i>Pa</i>'s dangerous infections.","Jacob Burch-Konda, Biraj B Kayastha, Myriam Achour, Aya Kubo, Mackenzie Hull, Reygan Braga, Lorelei Winton, Rendi R Rogers, Erika I Lutter, Marianna A Patrauchan",2024
Diabetes remission in adults with cystic fibrosis commenced on Elexacaftor/Tezacaftor/Ivacaftor: A single center case-series.,,"Shanal Kumar, Angela G Matson",2024
Are school settings restricting access to daily physical activity for children with cystic fibrosis? Parents' perspectives and recommendations for practice.,"Cystic Fibrosis (CF) is a genetic life limiting disease that impacts upon quality of life. An aim of CF care is to preserve lung function, with physical activity (PA) being an important part of daily airway clearance. Ensuring children have opportunities to engage in PA at school should be an important part of their daily routine. It is important to gain parental perspectives on this, as they manage the daily care for their children. This study aims to explore parents' perceptions of school-based PA for their children with CF.","Emma Powell, Lorayne A Woodfield, Alexander J Powell, Tony D Myers, Miranda Barker",2024
Quantifying Spatial Distribution of Ventilation Defects in Multiple Pulmonary Diseases With Hyperpolarized <sup>129</sup>Xenon MRI.,"Hyperpolarized <sup>129</sup>Xe MRI assesses lung ventilation, often using the ventilation defect percentage (VDP). Unlike VDP, defect distribution index (DDI) quantifies spatial clustering of defects.","Abdullah S Bdaiwi, Matthew M Willmering, Jason C Woods, Laura L Walkup, Zackary I Cleveland",2024
Family caregivers of children with cystic fibrosis: supportive care needs - scoping review.,"Cystic fibrosis (CF) in children requires complex and time-consuming daily care, presenting significant challenges for families and caregivers. Family caregivers caring for children with CF report diverse and complex needs.","Danial Shadi, Mahnaz Jabraeili, Hadi Hassankhani, Fatemeh Alhani, Mohammad Arshadi Bostanabad",2024
Gallbladder sludge and microlithiasis disappearance in a cystic fibrosis patient 1 year after triple combination therapy initiation.,"Gallstones, microlithiasis, gallbladder sludge, and micro-gallbladder are frequently reported in cystic fibrosis patients, and modulators could modify gallbladder disease, probably reducing biliary secretions viscosity.","Corrado Tagliati, Daniele Veri, Andrea Pietra, Giuseppe Lanni, Davide Battista, Marco Fogante, Giulio Argalia, Cecilia Lanza, Stefano Pantano, Francesca Collini, Maria Di Sabatino, Pietro Ripani",2024
Quorum sensing and antibiotic resistance in polymicrobial infections.,"Quorum sensing (QS) is a critical bacterial communication system regulating behaviors like biofilm formation, virulence, and antibiotic resistance. This review highlights QS's role in polymicrobial infections, where bacterial species interactions enhance antibiotic resistance. We examine QS mechanisms, such as acyl-homoserine lactones (AHLs) in Gram-negative bacteria and autoinducing peptides (AIPs) in Gram-positive bacteria, and their impact on biofilm-associated antibiotic resistance. The challenges uniquely associated with polymicrobial infections, such as those found in cystic fibrosis lung infections, chronic wound infections, and medical device infections, are also summarized. Furthermore, we explore various laboratory models, including flow cells and dual-species culture models, used to study QS interactions in polymicrobial environments. The review also discusses promising quorum sensing inhibitors (QSIs), such as furanones and AHL analogs, which have demonstrated efficacy in reducing biofilm formation and virulence in laboratory and clinical studies. By addressing the interplay between QS and antibiotic resistance, this paper aims to advance therapeutic strategies that disrupt bacterial communication and improve antibiotic efficacy, ultimately mitigating the global challenge of antibiotic resistance in polymicrobial infections.","Sunny Cui, Esther Kim",2024
Genomic characterization of MRSA recovered from people with cystic fibrosis during two Spanish multicentre studies (2013 and 2021).,"Chronic bronchopulmonary infection due to MRSA in people with cystic fibrosis (pwCF) has been associated with accelerated decline in lung function, increased hospitalizations and increased mortality.","Ainhize Maruri-Aransolo, Marta Hernandez-García, Raquel Barbero, Malkoa Michelena, María Dolores Pastor-Vivero, Pedro Mondejar-Lopez, Amparo Solé, Rafael Cantón, Juan de Dios Caballero-Pérez",2024
