Title,Abstract,Authors,Publication Date
"Cultural adaptation, validity and reliability of the Turkish version of north star ambulatory assessment.",The North Star Ambulatory Assessment (NSAA) is a functional motor outcome measure originally developed for patients with Duchenne muscular dystrophy (DMD). The aim of this study was to perform the cultural adaptation and investigate the validity and reliability of the Turkish version of the NSAA (T-NSAA) in DMD.,"Güllü Aydın-Yağcıoğlu, Numan Bulut, Fatma Uğur, Öznur Yılmaz, İpek Alemdaroğlu-Gürbüz",2024
Adrenal Insufficiency with Hypoglycemia in a Medically Complex Pediatric Patient.,"Medically complex children present a low frequency but often high acuity patient population for Emergency Medical Services (EMS) personnel. We present a case of a 12-year-old male with Duchenne muscular dystrophy and adrenal agenesis found unresponsive. Detailed history-taking was crucial for diagnostic accuracy and this patient's favorable outcome. This case highlights the importance of recognizing adrenal insufficiency-induced hypoglycemia in patients presenting with altered mental status. Emergency Medical Services personnel should be trained to identify and manage adrenal insufficiency, using detailed histories and on-scene medical oversight to improve outcomes.","Kevin T Argentieri, Christine M Brent, Stacey K Noel",2024
Genetic Panel Reveals Coexisting Neuromuscular Disorders in Patients With Duchenne Muscular Dystrophy.,"Duchenne muscular dystrophy is a genetically based neuromuscular disorder characterized by progressive physical impairment and cardiomyopathy in children, leading to fatal cardiac or respiratory failure. Duchenne muscular dystrophy shares some overlapping clinical features with other disorders, complicating clinical differentiation. We hypothesized that some Duchenne muscular dystrophy patients may have a secondary neuromuscular disorders that could negatively skew data during pharmaceutical clinical trials and lead to incomplete treatment plans. Consecutive genetic panels on 353 patients were reviewed. Thirty-two (32; 9.1%) patients with Duchenne muscular dystrophy were identified. Three (3; 9.4%) were found to have at least 1 genetically confirmed secondary neuromuscular disorder. Overlooking these coexisting disorders could lead to unexpected treatment failures, potentially affecting medication efficacy in trials or commercial use. Secondary neuromuscular disorders should be considered in Duchenne muscular dystrophy patients before clinical trial enrollment or treatment planning, with expanded genetic testing, such as whole exome sequencing or whole genome sequencing, likely to reveal even more secondary disorders.","Carter Butson, Nedeke Ntekim, Stephanie Acord, Warren Marks",2024
[Deflazacort-induced Steven-Johnson syndrome: a case report and literature review].,"<b>Objective:</b> To summarize the clinical features and outcomes of deflazacort-induced Steven Johnson syndrome (SJS)-toxic epidermal necrolysis (TEN) to raise awareness among patients with Duchenne muscular dystrophy (DMD), neurologists as well as other deflazacort users. <b>Methods:</b> The clinical data of a boy with DMD who had SJS induced by deflazacort treated at the Department of Rheumatology & Clinical Immunology of Tianjin Children's Hospital in July 2024 was analyzed retrospectively. Taking ""deflazacort"" ""Steven-Johnson syndrome"" ""toxic epidermal necrolysis"" in Chinese or English as the keywords, literature was searched at CNKI, Wanfang, China Biomedical Literature Database and PubMed up to July 2024. The clinical characteristics, treatment and outcomes of deflazacort-induced SJS-TEN were summarized. <b>Results:</b> A 12-year-old boy was admitted with a 3-day history of rash. He was diagnosed with DMD at the age of 3 and had been treated with prednisolone since the age of 8. Forty-four days before admission, the patient started deflazacort to replace prednisolone. Three days before admission, progressively worsening erythematous maculopapular rashes, blisters and skin peeling (8% body surface area), oral mucosal erosion, and exudative conjunctivitis occurred, thus deflazacort was discontinued. Complete remission of SJS was achieved after treatment with intravenous immunoglobulin (IVIG, total 1.4 g/kg), 2 doses of etanercept (0.9 mg/kg, once), subcutaneous injection and intravenous methylprednisolone (0.7 mg/(kg·d)). Based on the literature, there were 5 reports in English while none in Chinese, altogether 7 cases were reported. All the patients were male, aged 3-45 years. Duration of deflazacort exposure was 2-8 weeks. Dermatology diagnosis of our case was SJS, and 5 cases were TEN. One patient was diagnosed with exudative erythema multiforme, and subsequent deflazacort oral challenge test was positive. Treatment included methylprednisolone or dexamethasone in 5 cases, IVIG in 6 cases, etanercept in 3 cases and cyclosporine in 1 case. All patients recovered completely. <b>Conclusion:</b> The synthetic corticosteroid deflazacort can cause rare but severe adverse reactions such as SJS-TEN, which needs close monitoring and prompt recognition and management.","C W Li, N Sun, S N Li, Y C Zhang, J J Ma",2024
Early diagnosis of Duchenne muscular dystrophy - A Treat-NMD international workshop.,"The diagnosis of Duchenne muscular dystrophy (DMD) is significant at any stage, however an early diagnosis in a presymptomatic or very early phase of DMD, offers unique opportunities and challenges for families and health care providers. Currently, there is limited evidence as to the optimal models of care during this stage of the condition.. To address this, in 2023, Treat-NMD facilitated the Early Diagnosis for DMD project; bringing together 42 experts from across Europe, the US and Australasia, including health care professionals, researchers, and people with lived experience to discuss the complexities of an early or newborn diagnosis of DMD, and provide recommendations regarding approaches to multidisciplinary care. A series of virtual meetings followed by a hybrid workshop resulted in broad recommendations to support clinicians in caring for children and families following an early diagnosis of DMD. The workshop did not define a cut-off for early diagnosis, however much of the discussion focused on diagnoses that occurred prior to 2 years. There is recognition that boys may first present with non-motor symptoms, such as speech delay or neurodevelopmental issues that are secondary to their dystrophinopathy, and therefore this report refers reflects that infants with DMD may be presymptomatic or early symptomatic.","M Lorentzos, J A Parsons, K J Jones, L Servais",2024
Histone deacetylase 6 inhibition promotes microtubule acetylation and facilitates autophagosome-lysosome fusion in dystrophin-deficient mdx mice.,"Duchenne muscular dystrophy is a progressive muscle-wasting disease caused by mutations in the dystrophin gene. Despite progress in dystrophin-targeted gene therapies, it is still a fatal disease requiring novel therapeutics that can be used synergistically or alternatively to emerging gene therapy. Defective autophagy and disorganized microtubule networks contribute to dystrophic pathogenesis, yet the mechanisms by which microtubule alterations regulate autophagy remain elusive. The present study was designed to uncover possible mechanisms underpinning the role of microtubules in regulating autophagy in dystrophic mice.","Akanksha Agrawal, Erin L Clayton, Courtney L Cavazos, Benjamin A Clayton, George G Rodney",2024
Serial compound muscle action potential recordings in Duchenne muscular dystrophy.,,"Mary K Vollmer, Sumit Verma",2024
"Exploring novel natural compound-based therapies for Duchenne muscular dystrophy management: insights from network pharmacology, QSAR modeling, molecular dynamics, and free energy calculations.","Muscular dystrophies encompass a heterogeneous group of rare neuromuscular diseases characterized by progressive muscle degeneration and weakness. Among these, Duchenne muscular dystrophy (DMD) stands out as one of the most severe forms. The present study employs an integrative approach combining network pharmacology, quantitative structure-activity relationship (QSAR) modeling, molecular dynamics (MD) simulations, and free energy calculations to identify potential therapeutic targets and natural compounds for DMD. Upon analyzing the GSE38417 dataset, it was found that individuals with DMD exhibited 290 upregulated differentially expressed genes (DEGs) compared to healthy controls. By utilizing gene ontology (GO) and protein-protein interaction (PPI) network analysis, this study provides insights into the functional roles of the identified DEGs, identifying ten hub genes that play a critical role in the pathology of DMD. These key genes include DMD, TTN, PLEC, DTNA, PKP2, SLC24A, FBXO32, SNTA1, SMAD3, and NOS1. Furthermore, through the use of ligand-based pharmacophore modeling and virtual screening, three natural compounds were identified as potential inhibitors. Among these, compounds 3874518 and 12314417 have demonstrated significant promise as an inhibitor of the SMAD3 protein, a crucial factor in the fibrotic and inflammatory mechanisms associated with DMD. The therapeutic potential of the compounds was further supported by molecular dynamics simulation and Molecular Mechanics/Generalized Born Surface Area (MM/GBSA) analysis. These findings suggest that the compounds are viable candidates for experimental validation against DMD.","Mohd Saeed, Ashanul Haque, Ambreen Shoaib, Syed Mohd Danish Rizvi",2024
Cerebellar dysfunction in the mdx mouse model of Duchenne muscular dystrophy: An electrophysiological and behavioural study.,"Patients with Duchenne muscular dystrophy (DMD) commonly show specific cognitive deficits in addition to a severe muscle impairment caused by the absence of dystrophin expression in skeletal muscle. These cognitive deficits have been related to the absence of dystrophin in specific regions of the central nervous system, notably cerebellar Purkinje cells (PCs). Dystrophin has recently been involved in GABA<sub>A</sub> receptors clustering at postsynaptic densities, and its absence, by disrupting this clustering, leads to decreased inhibitory input to PC. We performed an in vivo electrophysiological study of the dystrophin-deficient muscular dystrophy X-linked (mdx) mouse model of DMD to compare PC firing and local field potential (LFP) in alert mdx and control C57Bl/10 mice. We found that the absence of dystrophin is associated with altered PC firing and the emergence of fast (~160-200 Hz) LFP oscillations in the cerebellar cortex of alert mdx mice. These abnormalities were not related to the disrupted expression of calcium-binding proteins in cerebellar PC. We also demonstrate that cerebellar long-term depression is altered in alert mdx mice. Finally, mdx mice displayed a force weakness, mild impairment of motor coordination and balance during behavioural tests. These findings demonstrate the existence of cerebellar dysfunction in mdx mice. A similar cerebellar dysfunction may contribute to the cognitive deficits observed in patients with DMD.","Cynthia Prigogine, Javier Marquez Ruiz, Ana Maria Cebolla, Nicolas Deconinck, Laurent Servais, Philippe Gailly, Bernard Dan, Guy Cheron",2024
"Novel gene therapies for sickle cell disease, Duchenne muscular dystrophy, and hemophilia A.","This article discusses novel genetic therapies for sickle cell disease, Duchenne muscular dystrophy, and hemophilia A. Gene therapies have the potential to deliver more targeted and effective approaches to treatment, especially for rare diseases for which the availability of approved therapies is limited. This article describes the first FDA-approved CRISPR/Cas9 treatment and the treatment protocols, indications, warnings, precautions, cost, and contraindications of four novel genetic therapies.",Laura Solano,2024
