Title,Abstract,Authors,Publication Date
"Cardiovascular, autonomic symptoms and quality of life in children with hypermobile Ehlers-Danlos syndrome.","Hypermobile Ehlers-Danlos syndrome is a connective tissue disorder characterized by joint hypermobility and other systemic manifestations. Cardiovascular, autonomic symptoms and dysautonomia are frequently reported in adults with hypermobile Ehlers-Danlos syndrome and have been shown to have a negative impact on quality of life. However, there is scant literature on autonomic symptoms in pediatric patients with hypermobile Ehlers-Danlos syndrome. This study aims to characterize cardiovascular symptoms and diagnoses in pediatric patients with hypermobile Ehlers-Danlos syndrome and evaluate the impact of autonomic symptoms on quality of life.","Amanda K Hertel, William R Black, Ashley Lytch, Emily Cramer, Lindsey Malloy Walton, Jordan T Jones",2024
Concurrent coronary and extra-coronary spontaneous artery dissection in Ehlers-Danlos syndrome: multimodal imaging insights.,,"Marta Zielonka, Tania Ramírez-Martínez, Ramon Bascompte Claret, Isabel Hernández-Martín, Kristian Rivera",2024
Defining a core outcome set for hypermobility spectrum disorders and hypermobile Ehlers-Danlos syndrome: A Delphi consensus study.,"The reported prevalence of hypermobility spectrum disorders (HSD) and hypermobile Ehlers-Danlos Syndrome (hEDS) is unclear due to complex presentations and lack of awareness amongst professionals, contributing to diagnostic and management uncertainties. Standardising an outcome measure to assess symptoms most important to patients should help determine the impact of interventions. This Delphi study aims to reach a consensus with stakeholders on the core outcome set for children and adults with HSD/hEDS. A three-round modified Delphi consensus study with a follow-up consensus meeting was used. Stakeholder groups consisted of (1) individuals with HSD/hEDS; (2) family/friends/carers and (3) healthcare professionals. Participants could belong to more than one stakeholder group. They rated 74 symptoms using a 9-point Likert scale: 1 ""not important to 9 ""critically important"". Symptoms achieving a consensus rating of ≥ 70.0% critical importance across all groups were included. In Round 1, 766 responses were received from 600 participants, reducing to 566 responses from 438 participants by Round 3, with 53 participating in the consensus meeting. Overall, 30 symptoms met the ≥ 70.0% critically important threshold to be included in the final core outcome set. These were categorised under the specialties of musculoskeletal and orthopaedics, social, pain, gynaecology and urology, negative affect, neurological, gastrointestinal and ""other"". This study is the first to identify by consensus the core outcome set to be measured for patients with HSD/hEDS. The importance of these outcomes was confirmed by individuals living with the condition, their family, friends, carers and relevant healthcare professionals. Trial registration: IRAS ID: 326,855; East Midlands - Leicester South REC (reference: 23/EM/0143); Protocol registered with the COMET Initiative. Key Points • There is a lack of standardised outcome measure for HSD/hEDS research studies due to the heterogeneity of symptom presentations. • Symptoms across musculoskeletal and orthopaedics, social, pain, gynaecology and urology, negative affect, neurological, gastrointestinal and ""other"" specialties were identified as the core outcome set defined as ≥ 70.0% critically important to measure for individuals with HSD/hEDS. • There were a significant number of symptoms, widely recognised in the literature to be comorbid to HSD/hEDS, that reached a critical importance threshold of 50.0-69.9%, restricting the core outcome set to only those that met 70% or above may be limiting.","Natalie L Clark, Melissa Johnson, Amar Rangan, Lucksy Kottam, Andrea Hogarth, Sarah Scott, Katherine Swainston",2024
Genetic variants in patients with multiple arterial aneurysms.,The aim of this study was to identify causal genetic variants in patients with multiple arterial aneurysms.,"Daniel Körfer, Caspar Grond-Ginsbach, Andreas S Peters, Sebastian Burkart, Maja Hempel, Christian P Schaaf, Dittmar Böckler, Philipp Erhart",2024
Spontaneous Bilateral Patellar Tendon Rupture in Patient with Ehlers-Danlos Syndrome: A Case Report.,"Bilateral spontaneous patellar tendon ruptures are rare, though it is hypothesized to be more common in patients with risk factors such as connective tissue disorders such as Ehlers-Danlos syndrome (EDS), systemic disorders weakening collagen structures, chronic stress around the patellar tendon, medications, and obesity or sedentary lifestyles. Clinicians should maintain a high degree of clinical suspicion for concerning features on clinical examination and radiological investigations to facilitate prompt diagnosis and operative management. This case report describes the first documented case of an adult patient with EDS who sustained bilateral spontaneous patellar tendon ruptures. There is one previously reported acute bilateral patellar tendon rupture occurring in a pediatric patient with EDS. Within the adult literature, two case reports have reported patients with EDS: One acute unilateral patellar tendon rupture who underwent operative management and one chronic patellar tendon tear requiring reconstruction 2.5 years following initial end-to-end repair.","Helena Franco, David Fraser",2024
[Gastrointestinal involvement in Ehlers-Danlos syndrome: A case series and systematic review].,"<b>Objective:</b> To explore the clinical and genetic characteristics of patients with Ehlers-Danlos syndrome (EDS) and gastrointestinal involvement. <b>Methods:</b> We retrospectively collected the clinical data of patients with EDS and gastrointestinal involvement from the electronic medical records at Peking Union Medical College Hospital (PUMCH) from January 2003 to September 2023. Additionally, we conducted a systematic review by searching cases with EDS and gastrointestinal involvement in PubMed, Embase, Web of Science, and the Cochrane Library databases from January 2000 to September 2023. <b>Results:</b> Ninety-four patients with EDS and gastrointestinal involvement were retrieved, including five patients from PUMCH and 89 patients from 80 published articles. The average age of patients was (29±14) years. The most common manifestation of gastrointestinal involvement was gastrointestinal perforation (<i>n</i>=46, 48.9%), followed by functional gastrointestinal symptoms (<i>n</i>=33, 35.1%), and digestive arterial disorders (<i>n</i>=10, 10.6%). The most common clinical subtype was vascular-EDS (vEDS) (<i>n=</i>50, 53.2%) followed by hypermobile-EDS (hEDS) (<i>n</i>=20, 21.3%). The most frequent genetic mutation occurred in the COL3A1 gene (<i>n=</i>30, 31.9%). Among patients with vEDS, gastrointestinal manifestations included gastrointestinal perforation (<i>n=</i>33, 66.0%), arterial lesions (<i>n=</i>9, 18.0%), and functional gastrointestinal symptoms (<i>n=</i>7, 14.0%). Among patients with hEDS, gastrointestinal manifestations included functional gastrointestinal symptoms (<i>n</i>=18, 90.0%), visceral prolapse (<i>n</i>=3, 15.0%) and intestinal volvulus (<i>n</i>=1, 5.0%). <b>Conclusions:</b> The most common subtypes of gastrointestinal involvement in EDS were vEDS and hEDS. Patients with hEDS mainly presented with functional gastrointestinal symptoms, whereas those with vEDS primarily showed gastrointestinal perforation and digestive arterial disorders.","Y P Shao, S Q Pan, Y Li, J Li, X Q Li",2024
"The Effectiveness of Conservative Interventions on Pain, Function, and Quality of Life in Adults with Hypermobile Ehlers-Danlos Syndrome/Hypermobility Spectrum Disorders and Shoulder Symptoms: A Systematic Review.",To synthesize the evidence on conservative interventions for shoulder symptoms in hypermobile Ehlers-Danlos Syndrome (hEDS) and hypermobility spectrum disorder (HSD).,"Anna Higo, Shea Palmer, Behnam Liaghat, Jason Tallis, Lucy Silvester, Gemma Pearce",2024
Recent Global Trends and Hotspots in Occipitocervical Fusion: A Bibliometric Analysis and Visualization Study.,"Occipitocervical arthrodesis has a variety of indications to treat craniocervical and atlantoaxial pathologies for which a selective cervical fusion would not provide sufficient stability. Over time, the indications for occipitocervical fusions (OCF) have evolved, as new technologies and surgical techniques were developed. In this bibliometric analysis, we aim to explore the progression of OCF literature over time, analyzing the trends in publications and citations, publishing countries and authors, keywords and topics. The Web of Science database was used for data retrieval on July 3<sup>rd</sup>, 2024, with the search ""occipitocervical fusion"" OR ""occipito-cervical fusion"" OR ""occipitocervical arthrodesis"" OR ""occipital cervical fusion"" OR ""occipital cervical arthrodesis"" OR (""OCF"" AND ""spine surgery""). Excel was used to create the citation analysis and publication trend figures, along with the publishing countries and author analysis. The bibliometric software VosViewer was used to generate the keyword co-occurrence network visualizations. Overall, 762 articles were extracted. The number of pertinent publications and citations increased until 2020 before beginning to decrease. We found that Ehlers Danlos syndrome (EDS) has become a more prevalent topic, as the association between EDS and craniocervical instability has received further scrutiny. ""Dysphagia"" continues to be a commonly cited topic, while, conversely, rheumatoid arthritis has decreased in publication frequency, possibly related to advances in medical management and surgical techniques. Overall, the United States of America, China, and Japan are the top publishing countries. This analysis of OCF literature provides a helpful overview of emerging trends and clinician concerns, especially as seen through the perspective of time.","Anna Gorbacheva, Clifford Pierre, Julius Gerstmeyer, Donald David Davis, Bryan G Anderson, Tara Heffernan, Luke Jouppi, Zeyad Daher, Arash Tabesh, Stephen Lockey, Amir Abdul-Jabbar, Rod Oskouian, Jens R Chapman",2024
Oral health-related quality of life among women with temporomandibular disorders and hypermobile Ehlers-Danlos syndrome or hypermobility spectrum disorder.,"People with hypermobile Ehlers-Danlos syndrome (hEDS) or hypermobility spectrum disorders (HSDs) are at greater risk of developing temporomandibular disorders (TMDs), perhaps due to the general joint hypermobility. There is, however, no information on how oral health-related quality of life (OHRQoL) is affected in people with hEDS or HSD with TMD. The authors' aim was to assess OHRQoL via the 14-item, short version Oral Health Impact Profile (OHIP-14), as well as associated risk factors in women with TMD symptoms and confirmed hEDS or HSD.","Negin Yekkalam, Kirsi Sipilä, Mehmed Novo, Daniel Reissmann, Marcel Hanisch, Ole Oelerich",2024
"Exercise, Sports Participation, and Quality of Life in Young Patients with Heritable Thoracic Aortic Disease.","Patients with heritable thoracic aortic disease (HTAD)are often restricted from sports and certain types of exercise. This study was designed to investigate the effect of lifetime exercise exposure and competitive sports participation on quality of life (QOL) in patients aged 15-35 with syndromic [Marfan syndrome (MFS), Loeys-Dietz syndrome (LDS), vascular Ehlers-Danlos syndrome (vEDS)] and non-syndromic heritable thoracic aortic disease (nsHTAD).","Theodore J Millette, Randy K Ramcharitar, Oliver J Monfredi, Matthew J Thomas, Mark R Conaway, Peter N Dean",2024
