Title,Abstract,Authors,Publication Date
Long-term enzyme replacement therapy in Fabry patients protects against oxidative and inflammatory process.,"Fabry disease (FD) is an X-linked recessive lysosomal storage disorder, characterized by a deficiency of α-galactosidase, which causes the progressive accumulation of glycosphingolipids, especially globotriaosylsphingosine (Gb3), in lysosomes across multiple organs. Substrate deposition, associated with tissue damage in FD, also contributes to the emergence of a pro-inflammatory state presented by some patients. We investigated pro- and anti-inflammatory cytokines, and the expression of inflammation-associated genes in treated FD patients, as well as oxidative parameters. We found a decrease in the production of cytokines IL-1β, IL-6, IL-10, and TNF-α in male FD patients and a normalization of redox status in male and female FD patients, once the levels of protein, lipid oxidation, and nitrite and nitrate content were like healthy individuals. Our results suggest that long-term ERT in men with FD contributes to the reduction of a pro-inflammatory scenario and a decrease of oxidative damage in patients, reflecting greater control throughout the disease and in the multisystemic changes characteristic of this disorder. These findings lead us to believe that long-term ERT can improve the redox status and protect these individuals against oxidative and nitrative stress, as well as the inflammatory process.","Alana Pimentel Moura, Tatiane Grazieli Hammerschmidt, Gilian Guerreiro, Camila Aguilar, Jéssica Lamberty Faverzani, Franciele Fátima Lopes, Fabiano de Oliveira Poswar, Roberto Giugliani, Marion Deon, Carmen Regla Vargas",2024
Comparative pharmacokinetics and pharmacodynamics of two formulations of agalsidase beta (agalsidase Biosidus) and Fabrazyme® by intravenous infusion in healthy male volunteers.,"Fabry disease is a rare X-linked lysosomal condition that leads to the accumulation of glycosphingolipids in various tissues, causing cellular dysfunction, tissue remodeling, progressive fibrosis, and organ failure. The disease results from a deficiency in the human α-galactosidase A enzyme, responsible for breaking down glycosphingolipids like globotriaosylceramide (GL-3 or Gb3) into galactose and dihexose ceramides. In individuals diagnosed with Fabry disease, treatment from 2 years of age onwards typically involves agalsidase beta, the normal recombinant form of the defective enzyme. Agalsidase beta from Biosidus has been developed as a biosimilar to Sanofi-Genzyme's Fabrazyme®. In the molecule's clinical journey, a phase I trial was designed to establish its similarity in terms of pharmacokinetics, pharmacodynamics, and immunogenicity compared to the reference medication. The study was conducted on 24 healthy male volunteers, aged between 18 and 40 years. All volunteers received a single 1 mg/kg bw dose of Fabrazyme® or Biosidus Agalsidase beta by continuous intravenous (IV) infusion over 5 h. The 90 % confidence interval (CI) of the maximum concentration (Cmax), area under the plasma concentration-time curve from time 0 to 12 h (AUC0-12 h) and area under the plasma concentration-time curve extrapolated from time 0 to infinity (AUC0-∞) ratios fell within the accepted range of 80-125 %. No differences were detected in adverse effects or antibody induction. This indicates that Biosidus agalsidase beta meets the criteria for being considered similar to the reference formulation Sanofi Genzyme's Fabrazyme®.","Viridiana Berstein, Eduardo M Pirotzky, Hernán D Taconelli, M Gabriela Gobbi, Lara Beider, Natali D Salgueiro, Laila Dome, Roberto A Diez, Hugo Sotelo, Sabrina Coppola",2024
Quality of life and unmet needs in patients with fabry disease: a qualitative study.,"Patients with Fabry disease (FD) consider their quality of life to be significantly affected. The majority of studies evaluate the quality of life using quantitative measures and standardised scales that offer relevant information about experience with the disease in multiple aspects. The main objective of the research was to examine in depth the quality of life and unmet needs of patients diagnosed with FD in relation to their disease and treatment. A qualitative and transversal study was carried out in two stages: (a) nine semi-structured qualitative interviews with patients and one representative of the patient association, conducted individually by phone; (b) a focus group was set up with three patients diagnosed with FD and one relative. A deductive, thematic analysis approach was used for data coding and analysis.","Montserrat Morales, Jordi Cruz, Eduardo Brignani, Laura Acuña, Esther Lázaro, Cristina Soria",2024
Coexistence of Fabry Disease and Membranous Nephropathy: A Case Report.,"Fabry disease (FD) is a rare X-linked genetic disease that can coexist with multiple glomerulopathies. We report a 32-year-old female patient of FD coexisting with stage II membranous nephropathy (MN), who presented with proteinuria, normal renal function, and hypo-hidrosis as the only symptom. The renal biopsy manifested a subepithelial immunocomplex deposit in the glomeruli along with basement membrane thickening on light microscopy. Electron microscopy revealed myeloid bodies in some podocytes, which suggested the patient possibly coexistence with Fabry disease. The low activity of α-galactosidase A and one pathogenic heterozygous mutation (c.335G > Ap.Arg112His) in the α-galactosidase A gene confirmed the diagnosis of Fabry disease. This patient's son had the same gene mutation as his mother but without any symptoms at the time. Treatment with ramipril turned urine protein negative. The proteinuria had reoccurred, as shown by the presence of foamy urine, a protein to creatinine ratio of 1.54 g/g, and a blood albumin level of 34.4g/L. The patient was being treated with allisartan isoproxil. However, at the time, the urine protein did not turn negative.","Yan Jin, Li Pen, Lei Lan, Jun Jiang",2024
Correction to: Reduction in kidney function decline and risk of severe clinical events in agalsidase beta-treated Fabry disease patients: a matched analysis from the Fabry Registry.,[This corrects the article DOI: 10.1093/ckj/sfae194.].,N/A,2024
Patient with Fabry disease undergoing cardiac surgery: a word of caution.,"Fabry disease (FD) is a rare genetic disorder that affects various organs and systems in the body. The disease is caused by a deficiency in the lysosomal enzyme α-galactosidase A (AGAL), which leads to the accumulation of globotriaosylceramide (Gb3) within lysosomes. This accumulation can cause damage to cells and organ systems, leading to a wide range of symptoms and complications. FD is a heterogeneous disorder, with a wide range of clinical phenotypes, ranging from the classic form, which is severe and associated with early onset, to milder non-classical forms, which are often limited to one organ and manifest later in life. We describe the case of a 23-year-old FD patient who was admitted as an emergency transfer due to newly discovered severe aortic regurgitation and suspected aortic valve endocarditis with vegetations of high embolic potential. Three years ago, the patient underwent a living donor kidney transplantation-the kidney graft lost its function 1 year after transplantation, and a chronic hemodialysis program was reinstituted.","Jelena Vuckovic, Anastazija Stojsic Milosavljevic, Mirka Lukic-Sarkanovic, Dejan Celic, Ivana Stojanovic, Lazar Velicki",2024
Evaluation of global and regional myocardial work by echocardiography in patients with Fabry disease.,This study aimed to quantitatively evaluate the left ventricular global and regional myocardial work of patients in Fabry disease (FD) by echocardiographic pressure-strain loop (PSL) analysis.,"Han Wang, Ying Yang, Lin Liu, Yawen Zhao, Yang Li, Wei Zhang, Wei Ma",2024
Cardiovascular magnetic resonance insights into anomalies of the mitral valve apparatus in Fabry cardiomyopathy and hypertrophic cardiomyopathy.,"Despite different etiopathogenesis, Fabry Disease cardiomyopathy (FDc) and sarcomeric hypertrophic cardiomyopathy (HCM) share a similar hypertrophic phenotype, including anomalies of the mitral valve apparatus (AMVA). Some of these anomalies have also been described in the pre-hypertrophic stage of both diseases. This cardiovascular magnetic resonance (CMR) study aimed to: (i) compare AMVA between FDc and HCM with a similar degree of left ventricular hypertrophy (LVH), to add new insights into differential diagnosis; (ii) assess whether AMVA represent an early and progressive alteration in FDc; (iii) propose simple and potentially reproducible measurements of AMVA.","Lara Tondi, Giandomenico Disabato, Paolo D'Andria, Andrea Attanasio, Gianluigi Guida, Federico Pieruzzi, Giada De Angeli, Marco Canepa, Gianpaolo Carrafiello, Massimo Piepoli, Pietro Spagnolo, Massimo Lombardi, Antonia Camporeale",2024
In Silico Modeling of Fabry Disease Pathophysiology for the Identification of Early Cellular Damage Biomarker Candidates.,"Fabry disease (FD) is an X-linked lysosomal disease whose ultimate consequences are the accumulation of sphingolipids and subsequent inflammatory events, mainly at the endothelial level. The outcomes include different nervous system manifestations as well as multiple organ damage. Despite the availability of known biomarkers, early detection of FD remains a medical need. This study aimed to develop an in silico model based on machine learning to identify candidate vascular and nervous system proteins for early FD damage detection at the cellular level. A combined systems biology and machine learning approach was carried out considering molecular characteristics of FD to create a computational model of vascular and nervous system disease. A data science strategy was applied to identify risk classifiers by using 10 K-fold cross-validation. Further biological and clinical criteria were used to prioritize the most promising candidates, resulting in the identification of 36 biomarker candidates with classifier abilities, which are easily measurable in body fluids. Among them, we propose four candidates, CAMK2A, ILK, LMNA, and KHSRP, which have high classification capabilities according to our models (cross-validated accuracy ≥ 90%) and are related to the vascular and nervous systems. These biomarkers show promise as high-risk cellular and tissue damage indicators that are potentially applicable in clinical settings, although in vivo validation is still needed.","Javier Gervas-Arruga, Miguel Ángel Barba-Romero, Jorge Julián Fernández-Martín, Jorge Francisco Gómez-Cerezo, Cristina Segú-Vergés, Giacomo Ronzoni, Jorge J Cebolla",2024
NT-proBNP Reflects Left Ventricular Hypertrophy Rather than Left Ventricular Dilatation or Systolic Dysfunction in Patients with Fabry Disease.,"<b>Background</b>: The diagnosis and follow-up of cardiac involvement in Fabry disease constitutes an important challenge for clinicians caring for affected patients. Combining cardiac imaging with laboratory biomarkers appears most appropriate for longitudinal monitoring. Therefore, we examined the use of NT-proBNP and its association with imaging findings in patients with Fabry disease. <b>Methods</b>: We analysed cardiac MRI and echocardiography data, as well as laboratory results, from a single-centre prospective registry. <b>Results</b>: Repetitive follow-ups of 38 patients with Fabry disease, of whom 18 presented with left ventricular hypertrophy (LVH), revealed a correlation of NT-proBNP with left ventricular (LV) interventricular septal thickness, LV maximum wall thickness, LV and right ventricular (RV) mass index and trabecular mass in patients with LVH. Patients without LVH did not exhibit any tangible association between NT-proBNP and the mentioned parameters. Conversely, we could not detect an association of NT-proBNP with impairment of LV or RV ejection fraction or diastolic volume. <b>Conclusions</b>: NT-proBNP plays a pivotal role as a biomarker for cardiac involvement in patients with Fabry disease. Interestingly, in this specific population with mostly preserved ejection fraction, it seems to reflect ventricular hypertrophy rather than ventricular dysfunction or dilatation. While strong associations were found in hypertrophic patients, NT-proBNP's prognostic value appears limited in non- or pre-hypertrophic stages.","Constantin Gatterer, Dietrich Beitzke, Gere Sunder-Plassmann, Maximilian Friedl, Philipp Hohensinner, Christopher Mann, Markus Ponleitner, Senta Graf, Max Lenz",2024
