Title,Abstract,Authors,Publication Date
"Reply to: ""Calcitriol in Friedreich Ataxia"".",,"Berta Alemany-Perna, Jordi Tamarit, Elisa Cabiscol, Joaquim Ros",2024
Calcitriol in Friedreich Ataxia.,,"Shana E McCormack, David R Weber, David R Lynch",2024
Lack of Concentration-QTc Relationship and Cardiac Risk With Vatiquinone Therapeutic and Supratherapeutic Doses.,"Vatiquinone, a 15-lipoxygenase inhibitor, is in development for patients with Friedreich ataxia. The study determined the effect of vatiquinone on electrocardiogram parameters. This was a 2-part, single-center, randomized, double-blinded, and placebo-controlled study. Part 1 used an adaptive approach to identify a supratherapeutic dose, while Part 2 evaluated the effect of vatiquinone on Fridericia corrected QT interval (QTcF). A safe and tolerated supratherapeutic dose of 1400 mg was identified. Concentration-QTcF analysis confirmed there was no statistically significant relationship between vatiquinone concentration and QTcF. QTcF effect (ie, ΔΔQTcF) exceeding 10 milliseconds was excluded for concentrations up to approximately 11,500 ng/mL. By-time-point analysis confirmed that least-squares mean ΔΔQTcF was below 10 milliseconds. Largest least-squares mean ΔΔQTcF of 1.5 milliseconds was observed at 2 hours after dosing. Vatiquinone did not have a clinically relevant effect on heart rate nor on cardiac conduction (PR interval and QRS interval). No new safety signals were found, as safety data are consistent with the known safety profile of vatiquinone. These findings altogether demonstrated that there is a minimal cardiac risk for vatiquinone concentrations up to the supratherapeutic dose level.","Lucy Lee, Stephen Flach, Hongqi Xue, Lavanya Arivelu, Lee Golden, Ronald Kong, Borje Darpo",2024
"Differential Effects of Cerebellar Transcranial Direct Current Stimulation with Gait Training on Functional Mobility, Balance, and Ataxia Symptoms.","Cerebellar transcranial direct current stimulation (ctDCS) has emerged as a promising, non-invasive, and safe neuromodulatory intervention capable of reducing ataxia symptoms and restoring cerebellum-motor connectivity. However, previous studies have only applied ctDCS in isolation, without association with specific training. This study aimed to assess the effect of ctDCS combined with gait training on functional mobility, balance, and symptoms and severity of ataxia. A randomized, triple-blind, sham-controlled, bi-center clinical trial was conducted with forty-four adults with cerebellar ataxia. Volunteers were randomized to receive five daily sessions of either real ctDCS (n = 11; 2 mA for 25 min) or sham ctDCS (n = 11) during gait training. Functional mobility, balance, and symptoms and severity of ataxia were assessed using the Time Up and Go test, the MiniBESTest, and the Scale for the Assessment and Rating of Ataxia (SARA), respectively, before and after the interventions. Both groups showed improvement in functional mobility, but there was no significant difference between the ctDCS and sham groups. However, the ctDCS group demonstrated significant improvements in cerebellar ataxia severity as reflected by SARA scores, particularly in tests of stance, sitting, speech disturbance, nose-finger test, and heel-shin slide test. Notably, no improvements were observed in balance. This study indicates that while ctDCS combined with gait training may improve specific symptoms of cerebellar ataxia, it does not significantly enhance overall functional mobility compared to sham treatment.","Rodrigo Brito, João Victor Fabrício, Aurine Araujo, Mariana Sacchi, Adriana Baltar, Fernanda Albuquerque Lima, Ana Cecília Ribeiro, Bárbara Sousa, Camilla Santos, Clarice Tanaka, Kátia Monte-Silva",2024
Skeletal Muscle Involvement in Friedreich Ataxia.,"Friedreich Ataxia (FRDA) is an inherited neuromuscular disorder triggered by a deficit of the mitochondrial protein frataxin. At a cellular level, frataxin deficiency results in insufficient iron-sulfur cluster biosynthesis and impaired mitochondrial function and adenosine triphosphate production. The main clinical manifestation is a progressive balance and coordination disorder which depends on the involvement of peripheral and central sensory pathways as well as of the cerebellum. Besides the neurological involvement, FRDA affects also the striated muscles. The most prominent manifestation is a hypertrophic cardiomyopathy, which also represents the major determinant of premature mortality. Moreover, FRDA displays skeletal muscle involvement, which contributes to the weakness and marked fatigue evident throughout the course of the disease. Herein, we review skeletal muscle findings in FRDA generated by functional imaging, histology, as well as multiomics techniques in both disease models and in patients. Altogether, these findings corroborate a disease phenotype in skeletal muscle and support the notion of progressive mitochondrial damage as a driver of disease progression in FRDA. Furthermore, we highlight the relevance of skeletal muscle investigations in the development of biomarkers for early-phase trials and future therapeutic strategies in FRDA.","Elisabetta Indelicato, Julia Wanschitz, Wolfgang Löscher, Sylvia Boesch",2024
"Deciphering the ferroptosis pathways in dorsal root ganglia of Friedreich ataxia models. The role of LKB1/AMPK, KEAP1, and GSK3β in the impairment of the NRF2 response.","Friedreich ataxia (FA) is a rare neurodegenerative disease caused by decreased levels of the mitochondrial protein frataxin. Frataxin has been related in iron homeostasis, energy metabolism, and oxidative stress. Ferroptosis has recently been shown to be involved in FA cellular degeneration; however, its role in dorsal root ganglion (DRG) sensory neurons, the cells that are affected the most and the earliest, is mostly unknown. In this study, we used primary cultures of frataxin-deficient DRG neurons as well as DRG from the FXN<sup>I151F</sup> mouse model to study ferroptosis and its regulatory pathways. A lack of frataxin induced upregulation of transferrin receptor 1 and decreased ferritin and mitochondrial iron accumulation, a source of oxidative stress. However, there was impaired activation of NRF2, a key transcription factor involved in the antioxidant response pathway. Decreased total and nuclear NRF2 explains the downregulation of both SLC7A11 (a member of the system Xc, which transports cystine required for glutathione synthesis) and glutathione peroxidase 4, responsible for increased lipid peroxidation, the main markers of ferroptosis. Such dysregulation could be due to the increase in KEAP1 and the activation of GSK3β, which promote cytosolic localization and degradation of NRF2. Moreover, there was a deficiency in the LKB1/AMPK pathway, which would also impair NRF2 activity. AMPK acts as a positive regulator of NRF2 and it is activated by the upstream kinase LKB1. The levels of LKB1 were reduced when frataxin decreased, in agreement with reduced pAMPK (Thr172), the active form of AMPK. SIRT1, a known activator of LKB1, was also reduced when frataxin decreased. MT-6378, an AMPK activator, restored NRF2 levels, increased GPX4 levels and reduced lipid peroxidation. In conclusion, this study demonstrated that frataxin deficiency in DRG neurons disrupts iron homeostasis and the intricate regulation of molecular pathways affecting NRF2 activation and the cellular response to oxidative stress, leading to ferroptosis.","Arabela Sanz-Alcázar, Marta Portillo-Carrasquer, Fabien Delaspre, Maria Pazos-Gil, Jordi Tamarit, Joaquim Ros, Elisa Cabiscol",2024
Unusual Age-Dependent Behavior of Leukocytes Telomere Length in Friedreich's Ataxia.,Friedreich ataxia (FRDA) is an autosomal recessive neurodegenerative disorder caused by an expanded GAA repeat in the first intron of the FXN gene.,"Daniela Scarabino, Liana Veneziano, Suran Nethisinghe, Elide Mantuano, Alessia Fiore, Giulia Granata, Nita Solanky, Ginevra Zanni, Francesca Cavalcanti, Rosa Maria Corbo, Paola Giunti",2024
Understanding the mechanisms of food effect on omaveloxolone pharmacokinetics through physiologically based biopharmaceutics modeling.,"Omaveloxolone is a nuclear factor (erythroid-derived 2)-like 2 activator approved in the United States and the European Union for the treatment of patients with Friedreich ataxia aged ≥16 years, with a recommended dosage of 150 mg orally once daily on an empty stomach. The effect of the US Food and Drug Administration (FDA) high-fat breakfast on the pharmacokinetic profile of omaveloxolone observed in study 408-C-1703 (NCT03664453) deviated from the usual linear correlation between fed/fasted maximum plasma concentration (C<sub>max</sub>) and area under the concentration-time curve (AUC) ratios reported for various oral drugs across 323 food effect studies. Here, physiologically based biopharmaceutics modeling (PBBM) was implemented to predict and explain the effect of the FDA high-fat breakfast on a 150-mg dose of omaveloxolone. The model was developed and validated based on dissolution and pharmacokinetic data available across dose-ranging, food effect, and drug-drug interaction clinical studies. PBBM predictions support clinical observations of the unique effect of a high-fat meal on omaveloxolone pharmacokinetic profile, in which the C<sub>max</sub> increased by 350% with only a 15% increase in the AUC. Key parameters influencing omaveloxolone pharmacokinetics in the fasted state based on a parameter sensitivity analysis included bile salt solubilization, CYP3A4 activity, drug substance particle size distribution, and permeability. Mechanistically, in vivo omaveloxolone absorption was solubility and dissolution rate limited. However, in the fed state, higher bile salt solubilization led to more rapid dissolution with predominant absorption in the upper gastrointestinal tract, resulting in increased susceptibility to first-pass gut extraction; this accounts for the lack of correlation between C<sub>max</sub> and AUC for omaveloxolone.","Xavier J H Pepin, Scott M Hynes, Hamim Zahir, Deborah Walker, Lois Q Semmens, Sandra Suarez-Sharp",2024
Nerve ultrasound in CANVAS-spectrum disease: Reduced nerve size distinguishes genetically confirmed CANVAS from other axonal polyneuropathies.,"Ultrasound nerve cross-sectional area (CSA) of patients affected with axonal neuropathy usually shows normal value. Cerebellar ataxia, neuropathy and vestibular areflexia syndrome (CANVAS) seems to represent an exception, showing smaller CSA, but previous reports did not test for biallelic RFC1 gene repeat expansions.","Alessandro Salvalaggio, Mario Cacciavillani, Benedetta Tierro, Daniele Coraci, Riccardo Currò, Moreno Ferrarini, Elena Pegoraro, Luca Bello, Gian Maria Fabrizi, Alessandro Filla, Luca Padua, Fiore Manganelli, Andrea Cortese, Chiara Briani",2024
A Pilot Phase 2 Randomized Trial to Evaluate the Safety and Potential Efficacy of Etravirine in Friedreich Ataxia Patients.,"A drug repositioning effort supported the possible use of the anti-HIV drug etravirine as a disease-modifying drug for Friedreich ataxia (FRDA). Etravirine increases frataxin protein and corrects the biochemical defects in cells derived from FRDA patients. Because of these findings, and since etravirine displays a favorable safety profile, we conducted a pilot open-label phase 2 clinical trial assessing the safety and potential efficacy of etravirine in FRDA patients.","Gabriella Paparella, Cristina Stragà, Nicola Pesenti, Valentina Dal Molin, Gian Antonio Martorel, Vasco Merotto, Cristina Genova, Arianna Piazza, Giuseppe Piccoli, Elena Panzeri, Alessandra Rufini, Roberto Testi, Andrea Martinuzzi",2024
