Title,Abstract,Authors,Publication Date
Tongue Fasciculations and Upper Motor Neuron Signs in Infantile-Onset Type 2 Gaucher Disease.,,"Arvinder Wander, Ankit Kumar Meena, Rahul Sinha, Biswaroop Chakrabarty, Prashant Jauhari, Sheffali Gulati",2024
Oncological Aspects of Lysosomal Storage Diseases.,"Lysosomal storage diseases (LSDs) are caused by the deficient activity of a lysosomal hydrolase or the lack of a functional membrane protein, transporter, activator, or other protein. Lysosomal enzymes break down macromolecular compounds, which contribute to metabolic homeostasis. Stored, undegraded materials have multiple effects on cells that lead to the activation of autophagy and apoptosis, including the toxic effects of lyso-lipids, the disruption of intracellular Ca<sup>2+</sup> ion homeostasis, the secondary storage of macromolecular compounds, the activation of signal transduction, apoptosis, inflammatory processes, deficiencies of intermediate compounds, and many other pathways. Clinical observations have shown that carriers of potentially pathogenic variants in LSD-associated genes and patients affected with some LSDs are at a higher risk of cancer, although the results of studies on the frequency of oncological diseases in LSD patients are controversial. Cancer is found in individuals affected with Gaucher disease, Fabry disease, Niemann-Pick type A and B diseases, alfa-mannosidosis, and sialidosis. Increased cancer prevalence has also been reported in carriers of a potentially pathogenic variant of an LSD gene, namely <i>CLN3</i>, <i>SGSH</i>, <i>GUSB</i>, <i>NEU1</i>, and, to a lesser extent, in other genes. In this review, LSDs in which oncological events can be observed are described.",Agnieszka Ługowska,2024
Functional Analysis of Human <i>GBA1</i> Missense Mutations in <i>Drosophila</i>: Insights into Gaucher Disease Pathogenesis and Phenotypic Consequences.,"The human <i>GBA1</i> gene encodes lysosomal acid β-glucocerebrosidase, whose activity is deficient in Gaucher disease (GD). In <i>Drosophila</i>, there are two <i>GBA1</i> orthologs, <i>Gba1a</i> and <i>Gba1b</i>, and <i>Gba1b</i> is the bona fide GCase encoding gene. Several fly lines with different deletions in the <i>Gba1b</i> were studied in the past. However, since most GD-associated <i>GBA1</i> mutations are point mutations, we created missense mutations homologous to the two most common GD mutations: the mild N370S mutation (D415S in <i>Drosophila</i>) and the severe L444P mutation (L494P in <i>Drosophila</i>), using the CRISPR-Cas9 technology. Flies homozygous for the D415S mutation (dubbed D370S hereafter) presented low GCase activity and substrate accumulation, which led to lysosomal defects, activation of the Unfolded Protein Response (UPR), inflammation/neuroinflammation, and neurodegeneration along with earlier death compared to control flies. Surprisingly, the L494P (called L444P hereafter) flies presented higher GCase activity with fewer lysosomal defects and milder disease in comparison to that presented by the D370S homozygous flies. Treatment with ambroxol had a limited effect on all homozygous fly lines tested. Overall, our results underscore the differences between the fly and human GCase enzymes, as evidenced by the distinct phenotypic outcomes of mutations in flies compared to those observed in human GD patients.","Aparna Kuppuramalingam, Or Cabasso, Mia Horowitz",2024
"Gaucher disease in Brazil: a comprehensive 16 year retrospective study on survival, cost, and treatment insights.","Gaucher's disease (GD), a lysosomal storage disorder, poses significant treatment challenges. This 23-year study assesses survival rates and treatment efficacy in Brazilian GD patients, integrating data from a 16-year cohort (2000-2015) and the TABNET/DATASUS medicines distribution data (1999-2022).","Marcus Carvalho Borin, Juliana Alvares-Teodoro, Francisco Assis Acurcio, Augusto Afonso Guerra",2024
6-O-Alkyl 4-methylumbelliferyl-β-D-glucosides as selective substrates for GBA1 in the discovery of glycosylated sterols.,"Gaucher disease (GD) is a lysosomal storage disorder (LSD) resulting from inherited glucocerebrosidase (GBA1) deficiency. GD diagnosis relies on GBA1 activity assays, typically employing 4-methylumbelliferyl-β-D-glucopyranoside (4MU-β-Glc) as fluorogenic substrate. However, these assays suffer from background 4MU release by the non-lysosomal GBA2 and cytosolic GBA3 enzymes. Here we developed GBA1-selective fluorogenic substrates by synthesizing a series of 6-O-acyl-4MU-β-Glc substrates with diverse fatty acid tails. Because of chemical and enzymatic instability of the ester bonds, analogues of 6-O-palmitoyl-4MU-β-Glc (3) with different chemical linkages were synthesized. 6-O-alkyl-4MU-β-Glc 9, featuring an ether linkage, emerged as the most optimal GBA1 substrate, exhibiting both a low K<sub>m</sub> and compared to substrate 3 a high V<sub>max</sub>. Importantly, substrate 9 is not hydrolyzed by GBA2 and GBA3, and therefore acts as superior substrate for GD diagnosis. Plants contain glycosyl phytosterols (campesterol, β-sitosterol and sigmasterol) that may also be acylated at C-6. LC-MS/MS analysis revealed that 6-O-acylated and regular glycosylcholesterol (HexChol) tend to be increased in GD patient spleens. Moreover, significant increases in 6-O-acyl-glycosyl-phytosterols were detected in GD spleens. Our findings suggest uptake of (6-O-acyl)-glycosyl-phytosterols from plant food and subsequent lysosomal processing by GBA1, and comprise the first example of accumulation of an exogenous class of glycolipids in GD. Excessive exposure of rodents to glycosylated phytosterols has been reported to induce manifestations of Parkinson's disease (PD). Further investigation is warranted to determine whether (6-O-acyl)-glycosyl-phytosterols could contribute to the enigmatic link between inherited defects in GBA1 and the risk for PD.","Stef Bannink, Kateryna O Bila, Joosje van Weperen, Nina A M Ligthart, Maria J Ferraz, Rolf G Boot, Daan van der Vliet, Daphne E C Boer, Herman S Overkleeft, Marta Artola, Johannes M F G Aerts",2024
Unexplained splenomegaly as a diagnostic marker for a rare but severe disease with an innovative and highly effective new treatment option: A case report.,"Acid Sphingomyelinase Deficiency (ASMD) is a lysosomal storage disorder that can lead to severe complications if not promptly treated. This case aims to highlight the critical importance of early awareness of ASMD and to introduce, for the first time in the literature, a new and highly effective treatment option for children.","Amber Van Baelen, Stijn Verhulst, François Eyskens",2024
High-throughput screening for small-molecule stabilizers of misfolded glucocerebrosidase in Gaucher disease and Parkinson's disease.,"Glucocerebrosidase (GCase) is implicated in both a rare, monogenic disorder (Gaucher disease, GD) and a common, multifactorial condition (Parkinson's disease, PD); hence, it is an urgent therapeutic target. To identify correctors of severe protein misfolding and trafficking obstruction manifested by the pathogenic L444P-variant of GCase, we developed a suite of quantitative, high-throughput, cell-based assays. First, we labeled GCase with a small proluminescent HiBiT peptide reporter tag, enabling quantitation of protein stabilization in cells while faithfully maintaining target biology. TALEN-based gene editing allowed for stable integration of a single HiBiT-<i>GBA1</i> transgene into an intragenic safe-harbor locus in <i>GBA1</i>-knockout H4 (neuroglioma) cells. This GD cell model was amenable to lead discovery via titration-based quantitative high-throughput screening and lead optimization via structure-activity relationships. A primary screen of 10,779 compounds from the NCATS bioactive collections identified 140 stabilizers of HiBiT-GCase-L444P, including both pharmacological chaperones (ambroxol and noninhibitory chaperone NCGC326) and proteostasis regulators (panobinostat, trans-ISRIB, and pladienolide B). Two complementary high-content imaging-based assays were deployed to triage hits: The fluorescence-quenched substrate LysoFix-GBA captured functional lysosomal GCase activity, while an immunofluorescence assay featuring antibody hGCase-1/23 directly visualized GCase lysosomal translocation. NCGC326 was active in both secondary assays and completely reversed pathological glucosylsphingosine accumulation. Finally, we tested the concept of combination therapy by demonstrating synergistic actions of NCGC326 with proteostasis regulators in enhancing GCase-L444P levels. Looking forward, these physiologically relevant assays can facilitate the identification, pharmacological validation, and medicinal chemistry optimization of small molecules targeting GCase, ultimately leading to a viable therapeutic for GD and PD.","Darian Williams, Logan M Glasstetter, Tiffany T Jong, Tiffany Chen, Abhijeet Kapoor, Sha Zhu, Yanping Zhu, Raul Calvo, Alexandra Gehrlein, Kimberly Wong, Andrew N Hogan, David J Vocadlo, Ravi Jagasia, Juan J Marugan, Ellen Sidransky, Mark J Henderson, Yu Chen",2024
[Lysosomal storage disorders - Fabry disease and Gaucher disease].,"Lysosomal storage disorders (LSD) are a heterogenous group of inborn errors of metabolism due to lysosomal malfunction. LSDs affect 1 in 5000 live births, albeit every LSD itself has a low incidence. The most common LSDs are Fabry disease and Gaucher disease. The underlying cause mainly is an enzyme deficiency but may also be due to defects in transport or activation proteins, which result in progressive intra- and extra-lysosomal accumulation of undegraded storage material. The lysosomes play a key role in degradation and cellular recycling of macromolecules. Besides disturbance of cellular function, substrate accumulation may result in secondary toxic and/or inflammatory processes. For treatment of Fabry and Gaucher disease, several therapeutic approaches are approved including enzyme replacement therapy, chaperon therapy for Fabry disease and substrate reduction therapy for Gaucher disease.","Lucia Segura Schmitz, Julia B Hennermann, André Lollert",2024
"A Case Report on Invasive Mucormycosis Involving the Maxillary Region, Brain, and Chest.","The maxilla is a facial bone with a dense blood supply. Although rare, infections, trauma, and certain metabolic disorders can lead to necrosis of the maxillary bone. The maxilla, a vital bone forming the roof of the oral cavity, is particularly susceptible to mucormycosis, a prevalent fungal infection, especially in individuals with diabetes and compromised immune systems. Here, we discuss mucormycosis-associated maxillary necrosis in a patient with uncontrolled diabetes. Early identification and treatment of this lethal fungal infection can significantly reduce its mortality and morbidity rates. Due to the maxilla's high vascularity, necrosis is uncommon. However, various infections, including bacterial, viral, and fungal, can lead to maxillary necrosis. Other potential causes include trauma, radiation, prolonged corticosteroid use, and lipid metabolism disorders (like Gaucher disease). Early diagnosis and timely treatment are crucial to significantly reducing the mortality and morbidity associated with this life-threatening fungal infection.","Riya Yadav, Pratapsingh Parihar, Suyash Yadav, Shweta Yadav",2024
[Advances in diagnosis and subtyping of Gaucher disease & assessment and monitoring of neurological symptoms].,,"X L Zhang, W H Yan, H Liu, R J Zhang",2024
Enzyme replacement therapy improves erythropoiesis and iron dysregulation in Gaucher disease.,"Anemia and hyperferritinemia are frequent findings at diagnosis of Gaucher disease (GD). Macrophage-independent dyserythropoiesis and abnormal iron metabolism have been shown. We evaluated hematological and iron status at diagnosis (T0) and the effect of enzyme replacement therapy (ERT) on erythropoiesis and iron utilization over 5-year follow-up in type 1 GD patients and in an ex vivo model of erythropoiesis from CD34 + peripheral blood cells. At T0, 41% of patients had anemia and 51% hyperferritinemia. Hemoglobin increased from 12.6 (T0) to 13.9 g/dL (T6), GFD15, a marker of ineffective erythropoiesis, decreased from 5401 to 710 pg/ml, and serum ferritin decreased from 614 to 140 mcg/L (p < 0.001). In parallel, transferrin saturation (TSAT) increased. Hepcidin, although in the normal range, decreased from T0 to T6. Ex vivo studies showed that ERT restores the erythroid cells derived from CD34 + impaired ability to differentiate. During ERT, an increase in TFRC expression, consistent with the ability of erythroid precursors to uptake iron, and a reduction in HAMP and concomitant increase in SLC40A1 were observed. This is the largest study with a longitudinal follow-up evaluating erythropoiesis and iron metabolism, combining clinical and ex vivo data in GD. Iron dysregulation likely contributes to anemia, and ERT, by improving iron distribution, improves erythropoiesis.","Irene Motta, Paola Delbini, Natalia Scaramellini, Viola Ghiandai, Lorena Duca, Isabella Nava, Fabio Nascimbeni, Simonetta Lugari, Dario Consonni, Elena Trombetta, Valeria Di Stefano, Margherita Migone De Amicis, Elena Cassinerio, Francesca Carubbi, Maria Domenica Cappellini",2024
"Different diseases, different needs: Patient preferences for gene therapy in lysosomal storage disorders, a probabilistic threshold technique survey.","Gene therapy is currently in development for several monogenetic diseases including lysosomal storage disorders. Limited evidence is available on patient preferences for gene therapy in this population. In this study, we compare gene therapy-related risk tolerance between people affected by three lysosomal storage diseases currently faced with different therapeutic options and prognoses.","Eleonore M Corazolla, Eline C B Eskes, Jorien Veldwijk, Marion M M G Brands, Hanka Dekker, Erica van de Mheen, Mirjam Langeveld, Carla E M Hollak, Barbara Sjouke",2024
