Title,Abstract,Authors,Publication Date
Saliva from persons with hemophilia A triggers coagulation via extrinsic tenase complexes.,"Human saliva contains extracellular vesicles (EVs). These EVs expose extrinsic tenase complexes of tissue factor (TF) and activated factor VII (FVIIa), and trigger blood coagulation. Here, we show that EVs exposing extrinsic tenase complexes are also present in saliva of persons with severe hemophilia A, i.e. persons with FVIII deficiency. Addition of these salivary EVs to autologous FVIII-deficient blood results in FXa generation, thereby compensating for the lack of FXa generation via intrinsic tenase (FVIIIa/FIXa) complexes. Consistently, in our retrospective analysis of persons with severe hemophilia A who do not perform prophylactic FVIII substitution, oropharyngeal mucosal bleedings are infrequent and self-limited. Conversely, in saliva from persons with severe FVII deficiency, in whom oropharyngeal bleedings are prevalent, functional extrinsic tenase complexes are absent, because EVs lack FVII. Saliva from persons with severe FVII deficiency is unable to restore blood coagulation, which is due to the absence of FVII in both their saliva and blood. Picomolar levels of recombinant FVIIa can restore the coagulant potential of saliva from FVII deficient persons. Taken together, our findings may explain the paucity of oropharyngeal bleedings in persons with hemophilia A as well as the occurrence of such bleedings in persons with severe FVII deficiency.","Johannes Thaler, Carla Tripisciano, Daniel Kraemmer, Chi Hau, Nazanin Samadi, Wolfram Ruf, Ingrid Pabinger, Paul Knöbl, Rienk Nieuwland, Cihan Ay",2024
"Mathematical modeling identifies clotting factor combinations that modify thrombin generation in normal and factor VIII-, IX-, or XI-deficient blood.","In healthy individuals, plasma levels of clotting proteins naturally vary within a range of 50% to 150% of their mean values. We do not know how these variations modify thrombin generation.","Michael T Stobb, Keith B Neeves, Dougald M Monroe, Suzanne S Sindi, Karin Leiderman, Aaron L Fogelson",2024
Superior Prophylactic Effectiveness of a Recombinant FVIIIFc Over Standard Half-Life FVIII in Hemophilia A: A-SURE Study.,"The 24-month, prospective, non-interventional, European multicenter A-SURE study evaluated the real-world effectiveness of prophylaxis using an extended half-life recombinant factor VIII (FVIII) Fc fusion protein, efmoroctocog alfa (hereinafter rFVIIIFc), compared with prophylaxis using standard half-life (SHL) FVIII products in patients with hemophilia A.","Johannes Oldenburg, Charles Hay, Flora Peyvandi, Annarita Tagliaferri, Pål Andrè Holme, María Teresa Álvarez-Román, Christine Biron-Andréani, Håkan Malmström, Linda Bystrická, Stefan Lethagen",2024
A transposable element prevents severe hemophilia B and provides insights into the evolution of new- and old world primates.,"Alu-elements comprise a large part of the human genome and some insertions have been shown to cause diseases. Here, we illuminate the protective role of an Alu-element in the 3'UTR of the human Factor 9 gene and its ability to ameliorate a poly(A) site mutation in a hemophilia B patient, preventing him from developing a severe disease. Using a minigene, we examined the disease-causing mutation and the modifying effect of the transposon in cellulo. Further, we simulated evolutionary scenarios regarding alternative polyadenylation before and after Alu insertion. A sequence analysis revealed that Old World monkeys displayed a highly conserved polyadenylation sites in this Alu-element, whereas New World monkeys lacked this motif, indicating a selective pressure. We conclude that this transposon has inserted shortly before the separation of Old and New World monkeys and thus also serves as a molecular landmark in primate evolution.","Johannes Kopp, Alice Rovai, Michael Ott, Heiner Wedemeyer, Andreas Tiede, Hans Jürgen Böhmer, Tomas Marques, Jörg Langemeier, Jens Bohne, Simon Alexander Krooss",2024
Real-world experience of emicizumab prophylaxis in Korean children with severe hemophilia A without inhibitors.,"Hemophilia A is a genetic disorder characterized by a lack of factor VIII (FVIII). Emicizumab, a recombinant humanized bispecific monoclonal antibody, mimics the function of FVIII. In this article, we present data on an initial real-world evaluation of emicizumab use in Korean children with severe hemophilia A without inhibitors.","Sung Eun Kim, Ji Yoon Kim, Jeong A Park, Chuhl Joo Lyu, Seung Min Hahn, Jung Woo Han, Young Shil Park",2024
Non-accidental trauma in the setting of hemophilia A - A case report.,"Hundreds of thousands of children are victims of non-accidental trauma each year. Its presentation can vary, and it may be difficult to recognize. However, due to its increased risk for fatality, it is imperative that physicians are aware and receptive to the signs of non-accidental trauma to assist with early detection. In a similar fashion, bleeding disorders vary in their presentations and their severity. They also have the potential to occur in the setting of non-accidental trauma, further complicating the diagnosis, increasing morbidity, and mortality. Due to this, suspicion and evaluation for non-accidental trauma should be followed by a bleeding disorder work-up. This case follows a child with undiagnosed Hemophilia-A in the setting of suspected non-accidental trauma. It not only highlights the variation of presentations seen with these ailments but demonstrates the importance of evaluating for comorbidities in highly fatal conditions.","Kameron Williamson, Thomas Weber, Meggan Goodpasture, Amanda Blair",2024
Comorbidity and adverse events in acquired hemophilia A: data from the GTH-AHA-EMI study.,Persons with acquired hemophilia A are often older and suffer from comorbidity or frailty. Little is known about the impact on clinically relevant outcomes of acquired hemophilia A.,"Christian Herbert Burgmann, Ulrich J Sachs, Karolin Trautmann-Grill, Christian Pfrepper, Paul Knöbl, Richard Greil, Johannes Oldenburg, Wolfgang Miesbach, Katharina Holstein, Hermann Eichler, Patrick Möhnle, Matthias Höpting, Christiane Dobbelstein, Robert Klamroth, Andreas Tiede",2024
Clots and bleeds: the outcomes of percutaneous coronary intervention in hemophilia patients with acute coronary syndrome.,"Hemophilia is a disease characterized by a high risk of bleeding. With advances in treatment, life expectancy and aging-associated diseases such as coronary artery disease have increased. Our primary objective is to assess for major adverse outcomes, mortality, and length of hospital stay in individuals with hemophilia presenting for acute coronary syndrome (ACS) and undergoing percutaneous coronary intervention (PCI).","Michel Al Achkar, Georges Khattar, Samer Asmar, Michel El Khoury, Fares Saliba, Laurence Aoun, Ibrahim Al Saidi, Ghada Araji, Salman Khan, Elie Bou Sanayeh, Mitchell Weinberg, Alexander Bershadskiy",2024
Cost-effectiveness Analysis of Prophylaxis Versus On-demand Treatment for Children With Moderate or Severe Hemophilia A in China.,It is still being determined if prophylaxis (PR) has superior cost effectiveness compared with on-demand (OD) treatment for moderate or severe hemophilia A (HA) children in China.,"Yaohan Zhou, Zhengping Li, Guoqing Liu, Zhenping Chen, Wanru Yao, Gang Li, Yingzi Zhen, Xiaoling Cheng, Di Ai, Kun Huang, Wang Cao, Runhui Wu",2024
Suitability and readiness assessment of organizational resources for the implementation of gene therapy in hemophilia in Spain and Portugal: A survey-based study.,,"Jose Manuel Calvo Villas, Manuel Rodríguez López, Jorge Cuesta Tovar, Santiago Bonanad Boix, Juan Carlos Reverter Calatayud, María Teresa Álvarez-Román",2024
Induction of factor VIII tolerance by hemophilia gene transfer to eradicate factor VIII inhibitors.,"Patients with hemophilia A can develop anti-factor antibodies to factor VIII. The incidence is ~30% and such patients suffer worse morbidity and mortality. The only proven method to eradicate these inhibitors is via immune tolerance induction therapy which consists of infusing factor VIII concentrates at a regular intervals. This approach is effective ~65% of the time leaving at least a third of patients who develop inhibitors with this lifelong problem. Although emicizumab has greatly improved the quality of life of inhibitor patients, eradicating the inhibitor remains an important treatment goal. Animal models have shown the potential for gene therapy to induce tolerance. A recent abstract describing a study in humans demonstrated the potential for successful tolerance induction. This article will describe the rationale for utilizing gene therapy to induce tolerance and provide this author's viewpoint on the importance and possible historic significance of attempting to eradicate inhibitors with this approach.",Guy Young,2024
Patient Experience With Efanesoctocog Alfa for Severe Hemophilia A: Results From the XTEND-1 Phase 3 Clinical Study Exit Interviews.,"Hemophilia A is a rare bleeding disorder that leads to recurrent hemarthrosis, which can ultimately result in reduced mobility and poor quality of life. Qualitative exit interviews provide insights into patient perspectives and support the interpretation of quantitative trial data, such as patient-reported outcome measures. In the Phase 3 XTEND-1 study (NCT04161495) of efanesoctocog alfa in participants with severe hemophilia A, exit interviews were conducted to understand pre- and post-study experiences with pain and physical functioning and to evaluate participants' treatment experiences.","Dana DiBenedetti, Daniela Neme, Brigitte Pan-Petesch, Annemieke Willemze, Tung Wynn, Nana Kragh, Amanda Wilson",2024
"Novel gene therapies for sickle cell disease, Duchenne muscular dystrophy, and hemophilia A.","This article discusses novel genetic therapies for sickle cell disease, Duchenne muscular dystrophy, and hemophilia A. Gene therapies have the potential to deliver more targeted and effective approaches to treatment, especially for rare diseases for which the availability of approved therapies is limited. This article describes the first FDA-approved CRISPR/Cas9 treatment and the treatment protocols, indications, warnings, precautions, cost, and contraindications of four novel genetic therapies.",Laura Solano,2024
[Acquired hemophilia - quick diagnosis and treatment can significantly reduce the risk of mortality].,"This case report of a 73-year-old male with bleedings provides insights into the clinical characteristics, diagnosis och treatment of acquired hemophilia A. It's a dangerous non-hereditary bleeding disorder caused by autoantibodies against coagulation factor VIII, often linked with other autoimmune diseases or malignancies, but it is also often idiopathic. The diagnosis remains a challenge due to its rarity and non-specific symtoms, but should be considered in unexplained bleeding cases with prolonged activated partial thromboplastin time (APTT). Quick  diagnosis and treatment can significantly reduce the risk of serious complications and mortality. The long-term prognosis usually depends on the presence of any underlying disease.","Jolene Johansson, Mårten Söderberg",2024
Spontaneous postoperative bleeding after periodontal procedure: An alarming sign of bleeding disorder.,"The prevalence of inherited bleeding disorders (BDs) is low in the general population (10-20 per 100,000 individuals), particularly hemophilia B cases, which may remain undiagnosed for a very long time until exposed to some surgical procedure. The dental professional must be aware of the possibility that patients with no previous history of abnormal bleeding may manifest their first bleeding episode in the dental office. Particularly as periodontists, we often encounter patients with bleeding gums and severe bleeding complications may precipitate while performing routine periodontal procedures. Hence, we must have a thorough knowledge of BDs and their management in challenging hemorrhagic situations. Management of such patients necessitates a multidisciplinary approach by involving the patient's hematologist and advanced laboratory facilities. The present case report is an attempt to discuss the diagnosis and management of a bleeding episode that occurred post periodontal flap surgery in an undiagnosed hemophilia B patient.","Shivani Mishra, Madhu Singh Ratre, Parul Jain",2024
A Novel Murine Model Enabling rAAV8-PC Gene Therapy for Severe Protein C Deficiency.,"Severe protein C deficiency (SPCD) is a rare inherited thrombotic disease associated with high morbidity and mortality. In the current study, we established a viable murine model of SPCD, enabling preclinical gene therapy studies. By creating SPCD mice with severe hemophilia A (PROC<sup>-/-</sup>/F8<sup>-</sup>), the multi-month survival of SPCD mice enabled the exploration of recombinant adeno-associated viral vector-PC (rAAV8-PC) gene therapy (GT). rAAV8- PC (10<sup>12</sup> vg/kg of AAV8-PC) was injected via the tail vein into 6-8-week-old PROC<sup>-/-</sup>/F8<sup>-</sup> mice. Their plasma PC antigen levels (median of 714 ng/mL, range 166-2488 ng/mL) and activity (303.5 ± 59%) significantly increased to the normal range after GT compared to untreated control animals. PC's presence in the liver after GT was also confirmed by immunofluorescence staining. Our translational research results provide the first proof of concept that an infusion of rAAV8-PC increases PC antigen and activity in mice and may contribute to future GT in SPCD. Further basic research of SPCD mice with prolonged survival due to the rebalancing of this disorder using severe hemophilia A may provide essential data regarding PC's contribution to specific tissues' development, local PC generation, and its regulation in inflammatory conditions.","Sarina Levy-Mendelovich, Einat Avishai, Benjamin J Samelson-Jones, Rima Dardik, Tami Brutman-Barazani, Yael Nisgav, Tami Livnat, Gili Kenet",2024
Perioperative Pain Management in Hemophilic Patient Undergoing Orthopedic Surgery: A Narrative Review.,"Hemophilia type A and B is associated with spontaneous bleeding in muscle tissues and joints. Acute hemarthrosis, representing 70-80% of all bleedings in severe hemophilia patients, is extremely painful. When surgical procedures are needed in hemophiliac patients, perioperative management should be planned with a multidisciplinary team. Our narrative review, through a rigorous analysis of the current literature, focuses on pain management in hemophiliac patients.","Antonio Abed Mahagna, Salvatore Annunziata, Camilla Torriani, Eugenio Jannelli, Benedetta Mascia, Alice Montagna, Mario Mosconi, Consalvo Mattia, Gianluigi Pasta",2024
Voices of patients with hemophilia: Life-changing gene therapy.,,"Genevieve Pietu, Laurent Frenzel, Antoine Rauch, Herve Chambost, Anne Lienhart, Nicolas Giraud, Yesim Dargaud",2024
Comprehensive Evaluation of Anti-Emicizumab Antibodies in Acquired Hemophilia A: A Detailed Case Study and Methodological Evaluation.,"Acquired hemophilia A (AHA) is a rare and severe bleeding disorder characterized by autoantibodies inhibiting coagulation factor VIII (FVIII). Current treatment of AHA involves bypassing agents, or FVIII replacement therapy, yet their efficacy is limited in cases of high inhibitor titers. Emicizumab, a humanized bispecific monoclonal antibody, has shown promising hemostatic effectiveness in congenital hemophilia A (HA) patients and AHA, but a minority of patients developed anti-drug antibodies (ADAs), compromising its efficacy.","Behnaz Pezeshkpoor, Nadja Sereda, Janine Becker-Gotot, Ann-Cristin Berkemeier, Isabell Matuschek, Jens Müller, Samhitha Urs Ramaraje Urs, Sneha Singh, Claudia Klein, Natascha Marquardt, Johannes Oldenburg",2024
