Title,Abstract,Authors,Publication Date
Berotralstat for hereditary angioedema with C1 inhibitor deficiency: a practical guide for clinicians.,,"Adil Adatia, Markus Magerl",2024
"Hereditary Angioedema and Venous Thromboembolism: Where There's Smoke, There's Fire.","C1-inhibitor deficiency-associated hereditary angioedema (C1INH-HAE) is a rare congenital swelling disorder caused by mutations in the <i>SERPING1</i> gene. Despite evidence of a systemic procoagulant state in C1INH-HAE, dogma held that this disorder was not associated with thrombotic pathologies. Recent population scale epidemiological evidence has directly challenged this, with C1INH-HAE being associated with a significantly increased risk of venous thromboembolism (VTE). This review considers the growing body of evidence supporting associations between HAE and both a systemic procoagulant state and an increased risk of VTE. In the setting of C1INH-HAE, the relationship between the observed procoagulant and thrombotic phenotypes is a prime example of ""where there's smoke, there's fire."" This review also discusses the impact of C1INH-HAE disease modifying therapies on coagulation and VTE. Further, the utility of preclinical mouse models of C1-inhibitor deficiency is considered.",Steven P Grover,2024
Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches.,"For decades, treatment options for hereditary angioedema (HAE) were limited by major adverse effects, insufficient efficacy, and difficult routes of administration. However, the growing body of knowledge regarding HAE pathophysiology has led to the development of innovative drugs for self-administered, on-demand therapy and for short- and long-term prophylaxis. This review provides a comprehensive overview of the approved drugs and the development of HAE treatments.","Giulia Costanzo, Giada Sambugaro, Davide Firinu",2024
"Etiology, Recent Advances, and Clinical Trials Data for the Treatment of Angioedema: A Review.","Angioedema is a health issue that affects parts of the body like the upper pulmonary and gastric pathways and is identified by abrupt, nonpitting enlargement of the skin, mucous membranes, or both. The swelling usually lasts a few hours to 72 hours and may appear as non-puritic, subcutaneous, or submucosal organ edema. It is characterized by localized swelling brought on by the release of histamine. Itching is rare, and usual areas of appearance include the hands, feet, face, and genitalia, with periorbital swelling being the most often. The main objective of this review article is to study in brief the classifications, etiology, pathophysiology, and clinical trial data by describing the recent advancement in the treatment of angioedema. Various research articles obtained from different journals indexed under Scopus and SCI were used to prepare the review article and for illustrative work software such as Biorender and Microsoft Word was used. Histamine-- mediated angioedema, linked to allergic reactions, coexists with urticaria. Bradykinin-mediated angioedema, exemplified by hereditary angioedema and acquired forms, lacks urticaria. Idiopathic angioedema, with uncertain etiology. Imitated angioedema results from non-IgE-mediated reactions, often induced by medications. It is a complicated medical condition with a variety of causes and mechanisms. Over time, outcomes for patients have been greatly improved by a growing understanding of its etiology, pathophysiology, and available treatments. The field of medical treatment for this difficult problem is always changing, and this is partly due to clinical trials.","Mukul Nishad, Sushma Verma, Ramish Maqsood, Rashmi Saxena Pal",2024
Lanadelumab in a kidney transplant patient with hereditary angioedema due to C1-inhibitor deficiency and high cardiovascular risk - a case report.,"Cardiovascular pathologies represent the first cause of death in uremic patients and are among the leading causes of mortality in patients with hereditary angioedema due to C1-inhibitor deficiency (HAE-C1INH). Before 2020, the most common treatment for long-term prophylaxis in HAE-C1INH patients in Italy was attenuated androgen, which may increase cardiovascular risk by multiple mechanisms.","Antonio Gidaro, Leyla La Cava, Mattia Donadoni, Valentina Popescu Janu, Chiara Cogliati, Antonio Luca Brucato, Andrea Zanichelli, Mauro Cancian, Emanuele Bizzi",2024
A novel assay of excess plasma kallikrein-kinin system activation in hereditary angioedema.,"Cleaved high-molecular-weight kininogen (HKa) is a disease state biomarker of kallikrein-kinin system (KKS) activation in patients with hereditary angioedema due to C1 inhibitor deficiency (HAE-C1INH), the endogenous inhibitor of plasma kallikrein (PKa).","Dan Sexton, Ryan Faucette, Melody Rivera-Hernandez, Jon A Kenniston, Nikolaos Papaioannou, Janja Cosic, Kris Kopacz, Gary Salmon, Chantal Beauchemin, Salomé Juethner, Dave Yeung",2024
Hereditary Angioedema in Pregnancy Complicated by Upper Extremity Deep Venous Thrombosis: A Case Report.,"Hereditary angioedema (HAE) is a rare disorder that causes episodes of angioedema due to a mutation in the C1 esterase inhibitor gene (C1-INH). Complications of HAE include intestinal obstruction, asphyxiation, and venous thromboembolism (VTE). In this case, we report a 34-year-old G4P2011 female with HAE at 24 weeks gestation presenting with acute right upper extremity pain and swelling following a peripherally inserted central catheter (PICC) line for HAE treatment infusion, revealing a right upper extremity VTE. Early treatment with Lovenox, PICC line removal, and continuation of HAE therapy via peripheral IV infusion resolved and prevented further angioedema and subsequent VTEs during this patient's pregnancy. This case serves as an example of effective management of HAE complications during pregnancy and supports peripheral IV line usage over PICC lines for medication infusions in pregnant patients with HAE. The overall purpose of this case report is to improve safety outcomes for pregnant patients with HAE by mitigating the risks of PICC line usage and to highlight the significance of VTE inclusion within the differential diagnosis in this population.","Devon H Newton, Alexandria L Betit, Roshni B Patel, Louis DiValentin",2024
Long-term safety and efficacy of garadacimab for preventing hereditary angioedema attacks: Phase 3 open-label extension study.,"Hereditary angioedema (HAE) is a chronic, unpredictable disease. Long-term prophylactic treatments that offer durable efficacy, safety, and convenience are required to assist patients in achieving complete disease control, per international guidelines. We report an interim analysis of an ongoing phase 3 (VANGUARD) open-label extension (OLE) study evaluating the long-term safety and efficacy of garadacimab for HAE prophylaxis.","Avner Reshef, Connie Hsu, Constance H Katelaris, Philip H Li, Markus Magerl, Keiko Yamagami, Mar Guilarte, Paul K Keith, Jonathan A Bernstein, John-Philip Lawo, Harsha Shetty, Maressa Pollen, Lolis Wieman, Tim J Craig",2024
Disparities in Hereditary Angioedema In An Urban Medical District.,,"John Trickett, David A Khan, Jeffrey Chambliss",2024
Initial Experience of Long-Term Prophylaxis with Lanadelumab for Hereditary Angioedema in China: A Clinical Observation Study on Six Patients.,Hereditary angioedema (HAE) is a rare genetic disorder caused by deficiency or dysfunction of C1-esterase inhibitor that is characterized by recurrent episodes of bradykinin-mediated edema. Lanadelumab has been the only available first-line therapy for long-term prophylaxis (LTP) of HAE in China since its approval in 2020. The present study aimed to investigate the clinical efficacy and safety of lanadelumab for LTP in Chinese patients.,"Wo Yao, Ran Diao, Boyun Yang, Yongfang Wang, Bohui Li, Ting Li, Liuya Ge, Yongmei Yu, Rongfei Zhu, Huiying Wang",2024
