Title,Abstract,Authors,Publication Date
Nuclear proteasomes as a backup for autophagy: interconnected proteostasis pathways.,"Protein homeostasis (proteostasis) refers to the balance of the cellular protein environment, tightly regulated by pathways governing protein synthesis, folding, trafficking, and degradation. Growing evidence supports the interconnection of these pathways to ensure the robustness of the proteo-stasis network. A recent study by Park et al. showed that, in macroautophagy/autophagy-deficient cells, the loss of proteasome or nuclear pore components causes synthetic lethality, as cytoplasmic proteins that accumulate under impaired autophagy are transported to the nucleus and degraded by nuclear proteasomes. The authors illustrated the mechanistic basis for why cells with conditions such as Huntington disease, where both autophagy and cytoplasm-to-nuclear shuttling are compromised, are more vulnerable to proteostasis perturbation.<b>Abbreviation</b>: UPR: unfolded protein response; UPS: ubiquitin-proteasome system.","Meiyan Jin, Daniel J Klionsky",2024
Cannabinoids shift the basal ganglia miRNA m6A methylation profile towards an anti-inflammatory phenotype in SIV-infected Rhesus macaques.,"Epitranscriptomic modifications modulate diverse biological processes, such as regulation of gene expression, abundance, location and function. In particular, N6-methyladenosine (m6A) methylation has been shown to regulate various disease processes, including cancer and inflammation. While there is evidence that m6A modification is functionally relevant in neural development and differentiation, the role of m6A modification in HIV neuropathogenesis is unknown. Here, we identified direct m6A modifications in miRNAs from BG tissues of Rhesus Monkeys (RMs) that were either vehicle-treated uninfected (VEH), SIV-infected combination anti-retroviral therapy (cART) treated (VEH/SIV/cART), or THC:CBD treated VEH/SIV/cART (THC:CBD/SIV/cART) RMs. We detected m6A modifications across all BG tissues. SIV infection promoted an overall hypomethylated m6A profile. While the overall hypomethylated m6A profile was not significantly impacted by THC:CBD treatment, specific miRNAs, particularly those predicted to target proinflammatory genes showed markedly reduced m6A methylation levels compared to the VEH treated RMs. Additionally, we found that specific BG tissue miRNAs bearing m6A epi-transcriptomic marks were also transferred to BG-derived extracellular vesicles (EVs). Mechanistically, we identified the DRACH motif of the seed region of miR-194-5p to be significantly m6A hypomethylated, which was predicted to directly target STAT1, an important interferon-activated transcription factor known to drive neuroinflammation, in diseases ranging from Alzheimer to Parkinson and Huntington disease. Notably, THC:CBD treatments significantly reduced m6A methylation of 43 miRNA species directly involved in regulating CNS network genes, thus providing a possible mechanist explanation on the beneficial effects of THC:CBD treatments noted in several disease involving neuroinflammation. Our findings also underscore the need for investigating the qualitative, posttranscriptional modification changes in the RNA profiles along with the more traditional, qualitative alterations in pathological conditions or after various treatment regimens.","Chioma M Okeoma, Lakmini Premadasa, Chen Sabrina Tan, Ionita Ghiran, Mahesh Mohan",2024
Glycosylation of chrysin with β-d-glucose tetraacetate (LQFM280) enhances its in vitro and in vivo neuroprotective effects against the toxicity induced by 3-nitropropionic acid.,"Chrysin (CHR) is a naturally occurring flavonoid found in the human diet, recognized for its potential in preventing neurodegenerative diseases. However, its limited water solubility restricts its bioavailability and therapeutic applications. To address this issue and bolster the neuroprotective properties of CHR for potential nutraceutical or medicinal use, we investigated a novel compound, LQFM280, formed by conjugating CHR with β-d-glucose tetraacetate. We conducted both in vitro (using SH-SY5Y cells, mutant STHdhQ111/Q111 cells, and wild-type STHdhQ7/Q7 cells), and in vivo (mice) neurotoxicity experimental model induced by 3-nitropropionic acid, which mimic biological changes akin to Huntington's disease in humans. Compared to non-glycosylated CHR, LQFM280 showed superior in vitro effects in preventing neurotoxicity caused by increased mitochondrial vulnerability due to mutant huntingtin. In vivo findings demonstrated that LQFM280 has heightened efficacy in mitigating weight loss, memory and locomotor impairment, oxidative stress, and disruptions in the antioxidant defense system, as well as succinate dehydrogenase, and cholinesterase activities induced by 3-nitropropionic acid. These findings underscore the significant enhancement of chrysin's neuroprotective effects through glycosylation with β-d-glucose tetraacetate, positioning it as a promising candidate for use as a nutraceutical or food supplement to promote health benefits.","Robbert Mota Pereira, Hericles Mesquita Campos, Pâmela Yasmin de Oliveira Ferreira, Nkaa Uchenna, Yohanny Souza Silva, Victor Ifeanyi Okoh, Letizia Pruccoli, Evilanna Lima Arruda, Luciano Morais Lião, Pedro Augusto Alves Mota, Jacqueline Alves Leite, Raphaela de Castro Georg, David Henriques da Matta, Fernanda Cristina Alcantara Dos Santos, Elson Alves Costa, Andrea Tarozzi, Ricardo Menegatti, Paulo César Ghedini",2024
Dissemination of VMAT-2 Inhibitors: A New Class Drug for Tardive Dyskinesia and Huntington Disease.,"In 2017, the FDA approved deutetrabenazine (AUSTEDO) for the treatment of tardive dyskinesia (TD) and chorea associated with Huntington disease (HD). Concurrently, valbenazine (INGREZZA) was approved specifically for TD. The adoption of new medications is influenced by various factors, including patient's medical needs, the prescriber's adoption of new practice, and external environmental factors (e.g., cost). Our analysis aims to examine the dissemination of 2 vesicular monoamine transporter 2 (VMAT-2) inhibitors, deutetrabenazine and valbenazine, in the market.","Erica Ma, Emma Krening, Michiko K Bruno",2025
Distortion errors characterise visuo-constructive performance in Huntington's disease.,"<b>Objective:</b> Visuospatial deficits have been extensively studied in Huntington's disease (HD), particularly in relation to visuomotor integration, with less emphasis on visuo-constructive abilities. Quantitative analyses have demonstrated that individuals with HD perform worse than healthy controls (HC) but similarly to people with Alzheimer's disease (AD). The aim of the present study was to conduct a qualitative investigation of visuo-constructive abilities in both HD and AD. By employing both simple and complex tasks, we hypothesized that a qualitative analysis of performance would reveal a distinct pattern of errors specific to HD. <b>Methods:</b> Participants for this study were identified retrospectively. The sample included 41 individuals with HD, 25 with AD, and 35 HC. All participants underwent a neuropsychological battery, which included the Constructional Apraxia Test (CAT) and the Rey-Osterrieth Complex Figure (ROCF) test. <b>Results:</b> Our results showed no significant quantitative difference in visuo-constructive performance between the two patient groups. However, distinct qualitative patterns of drawing errors emerged. Simplifications were more frequent in the AD group, while distortions were distinctive errors in the HD group. These qualitative error patterns were consistent across both the CAT and ROCF. <b>Conclusion:</b> Our study emphasises the value of qualitative analysis in interpreting visuo-constructive performance, shifting the focus from ""how much"" a participant achieves to ""how"" they perform a neuropsychological task. This qualitative approach is useful to capture the complexity and variability of individual performance, providing deeper insight into the cognitive processes affected by different neurological conditions.","Angelica Di Cecca, Ciro Rosario Ilardi, Flavio Della Pia, Chiara Criscuolo, Sergio Della Sala, Elena Salvatore",2024
Challenges and advances for huntingtin detection in cerebrospinal fluid: in support of relative quantification.,"Huntington disease (HD) is a progressive and devastating neurodegenerative disease caused by expansion of a glutamine-coding CAG tract in the huntingtin (<i>HTT</i>) gene above a critical threshold of ~35 repeats resulting in expression of mutant HTT (mHTT). A promising treatment approach being tested in clinical trials is HTT lowering, which aims to reduce levels of the mHTT protein. Target engagement of these therapies in the brain are inferred using antibody-based assays to measure mHTT levels in the cerebrospinal fluid (CSF), which is frequently reported as absolute mHTT concentration based on a monomeric protein standard used to generate a standard curve. However, patient biofluids are a complex milieu of different mHTT protein species, suggesting that absolute quantitation is challenging, and a single, recombinant protein standard may not be sufficient to interpret assay signal as molar mHTT concentration. In this study, we used immunoprecipitation and flow cytometry (IP-FCM) to investigate different factors that influence mHTT detection assay signal. Our results show that HTT protein fragmentation, protein-protein interactions, affinity tag positioning, oligomerization and polyglutamine tract length affect assay signal intensity, indicating that absolute HTT quantitation in heterogeneous biological samples is not possible with current technologies using a single standard protein. We also explore the binding specificity of the MW1 anti-polyglutamine antibody, commonly used in these assays as a mHTT-selective reagent and demonstrate that mHTT binding is preferred but not specific. Furthermore, we find that MW1 depletion is not only incomplete, leaving residual mHTT, but also non-specific, resulting in pull down of some wildtype HTT protein. Based on these observations, we recommend that mHTT detection assays report only relative mHTT quantitation using normalized arbitrary units of assay signal intensity, rather than molar concentrations, in the assessment of central nervous system HTT lowering in ongoing clinical and preclinical studies, and that MW1-depletion not be used a method for quantifying wildtype HTT protein.","Rachel J Harding, Yuanyun Xie, Nicholas S Caron, Hailey Findlay-Black, Caroline Lyu, Nalini Potluri, Renu Chandrasekaran, Michael R Hayden, Blair R Leavitt, Douglas R Langbehn, Amber L Southwell",2024
"Huntington Disease Health Related Quality of Life, Function and Well Being: The Patient's Perspective.",Limited information is available on patients' experience living with Huntington's disease (HD). The primary objective of this study was to assess the health-related quality of life and well being of patients with HD.,"Jesús Pérez-Pérez, Sofía García-López, Tamara Fernández Valle, Cèlia Painous, Maria Rosa Querol-Pascual, Pedro J García Ruiz, Elena Bellosta Diago, Esther Cubo Delgado, Barbara Vives Pastor, María Carmen Peiró Villaplana, Idaira Martín Santana, María Blázquez Estrada, Matilde Calopa Garride, Pablo Mir Ribera, Carmen Álvarez, Jorge Maurino, Anna de Prado, José Luis López-Sendón",2024
Pediatric Huntington Disease Brains Have Distinct Morphologic and Metabolic Traits: the RAREST-JHD Study.,"Pediatric-onset Huntington's disease (POHD) exhibits a phenotype different from adult-onset HD (AOHD), with hypokinetic movement disorders (eg, rigidity, bradykinesia, and dystonia) rather than chorea typical of AOHD.","Maria Eugenia Caligiuri, Emanuele Tinelli, Patrizia Vizza, Giulia Giancaterino, Francesco Cicone, Giuseppe Lucio Cascini, Umberto Sabatini, Ferdinando Squitieri",2024
Increased frequency of repeat expansion mutations across different populations.,"Repeat expansion disorders (REDs) are a devastating group of predominantly neurological diseases. Together they are common, affecting 1 in 3,000 people worldwide with population-specific differences. However, prevalence estimates of REDs are hampered by heterogeneous clinical presentation, variable geographic distributions and technological limitations leading to underascertainment. Here, leveraging whole-genome sequencing data from 82,176 individuals from different populations, we found an overall disease allele frequency of REDs of 1 in 283 individuals. Modeling disease prevalence using genetic data, age at onset and survival, we show that the expected number of people with REDs would be two to three times higher than currently reported figures, indicating underdiagnosis and/or incomplete penetrance. While some REDs are population specific, for example, Huntington disease-like 2 in Africans, most REDs are represented in all broad genetic ancestries (that is, Europeans, Africans, Americans, East Asians and South Asians), challenging the notion that some REDs are found only in specific populations. These results have worldwide implications for local and global health communities in the diagnosis and counseling of REDs.","Kristina Ibañez, Bharati Jadhav, Matteo Zanovello, Delia Gagliardi, Christopher Clarkson, Stefano Facchini, Paras Garg, Alejandro Martin-Trujillo, Scott J Gies, Valentina Galassi Deforie, Anupriya Dalmia, Davina J Hensman Moss, Jana Vandrovcova, Clarissa Rocca, Loukas Moutsianas, Chiara Marini-Bettolo, Helen Walker, Chris Turner, Maryam Shoai, Jeffrey D Long, Pietro Fratta, Douglas R Langbehn, Sarah J Tabrizi, Mark J Caulfield, Andrea Cortese, Valentina Escott-Price, John Hardy, Henry Houlden, Andrew J Sharp, Arianna Tucci",2024
The impact of expiratory muscle strength training on voluntary cough effectiveness in Huntington's disease.,"Dysfunction of the airway defence system in Huntington's disease (HD) is a significant but often overlooked problem. Although expiratory muscle strength training (EMST) is frequently utilized in cough effectiveness treatment, its specific impact in HD patients has not yet been explored. This study investigated the effects of EMST on voluntary peak cough flow (vPCF) in HD patients and evaluated the retention of potential gains post-intervention.","Romana Konvalinkova, Martin Srp, Kristyna Doleckova, Vaclav Capek, Ota Gal, Martina Hoskovcova, Radim Kliment, Jan Muzik, Evzen Ruzicka, Jiri Klempir",2024
