Title,Abstract,Authors,Publication Date
Bypass and Ligation of Right Subclavian Artery Aneurysm in a Patient with Marfan's Syndrome via Reoperative Partial Upper Median Sternotomy.,"Subclavian artery aneurysms are rare and can result in thromboembolism or rupture. We present the case of a 41-year-old man with a history of Marfan's syndrome and multiple previous operations, who presented with an enlarging asymptomatic 5.2 cm right subclavian artery aneurysm and was successfully treated with a hybrid surgical operation.","Kevin R An, Lamia Harik, Talal Alzghari, Roberto Perezgrovas-Olaria, Giovanni Jr Soletti, Arnaldo Dimagli, Gianmarco Cancelli, Mario F L Gaudino, Sharif H Ellozy, Christopher Lau",2024
"Marfan Syndrome, Hypertrophic Cardiomyopathy And Long QT A Rare Association Causing Sudden Death.",,"Diana Carvalho, Simão Carvalho, Adriana Pacheco, Carlos Costa, Pedro Carvalho, Raquel Ferreira, Ana Briosa",2024
Growth Rate Assessed by Vascular Deformation Mapping predicts Type B Aortic Dissection in Marfan Syndrome.,"Patients with Marfan syndrome (MFS) are at a high risk of type B dissection (TBAD). Aortic growth and elongation have been suggested as risk factors for TBAD. Vascular deformation mapping (VDM) is an image analysis technique for mapping 3D aortic growth on rouine computed tomography angiography (CTA) scans. We aimed to use VDM to examine the value of aortic growth rate in the descending thoracic aorta (DescAo), among other imaging biomarkers, to identify the factors associated with risk of TBAD in MFS.","Carlos Alberto Campello Jorge, Prabhvir Singh Marway, Nicasius S Tjahjadi, Heather Knauer, Himanshu J Patel, Marion A Hofmann Bowman, Kim A Eagle, Nicholas S Burris",2024
"[Sympathetic fire and rhythm of death ""Spiked Helmet"" in the Takotsubo cardiomyopathy. Case report].","The electrocardiographic sign ""Spiked Helmet"" (SHS) has been described in critically ill patients and is associated with a high risk of death. We present the case of a young individual with Marfan syndrome, who developed a Takotsubo cardiomyopathy and the electrocardiographic manifestation of SHS, 72 hours after the postoperative period for a ruptured abdominal aorta aneurysm. In this case, the factors that may justify the presentation of this electrocardiographic pattern are the thoraco-abdominal surgical intervention and Takotsubo cardiomyopathy, which together activated the sympathetic system, triggering the clinical-electrocardiographic manifestation.","Ernesto Kang Moreira, Carlos Loor Sabando, Mónica Delia Gilbert Orús, Paola Morejón Barragán, Mirella Barrera Rivera",2024
"Reclassification of an FBN1 variant emphasizes the importance of segregation analysis, information sharing, and multidisciplinary teamwork in understanding genetic variants in health and disease.","Marfan syndrome (MFS) is a complex connective tissue disorder characterized by considerable clinical variability. The diagnosis of MFS is based on the Ghent criteria, which require the presence of both clinical and genetic features. MFS is primarily caused by pathogenic alterations in FBN1, which encodes the fibrillin-1 protein. Fibrillin-1 comprises multiple domains rich in cysteine residues, with disulfide bonds formed between these residues. It has long been recognized that variants that alter or introduce cysteine residues damage protein function, leading to the development of MFS. In this study, we report a cysteine-introducing variant: FBN1 variant, c.6724C>T (p.[Arg2242Cys]). We have observed this variant in several individuals without MFS, challenging our previous understanding of the underlying mechanism of MFS. This finding emphasizes the importance of revisiting and reevaluating our current knowledge in light of new and unexpected observations. Moreover, our study highlights the significance of incorporating local and national data on allele frequencies, as well as employing multidisciplinary phenotyping approaches, in the classification of genetic variants. By considering a wide range of information, we can enhance the accuracy and reliability of variant classification, ultimately improving the diagnosis and management of individuals with genetic disorders like MFS.","Dorte L Lildballe, Sara Markholt, Christina Daugaard Lyngholm, Qin Hao, Christina Fagerberg, Dorte Guldbrand Nielsen, Julius Hannibal Svensmark, Birgitte Rode Diness, Pernille A Gregersen",2024
Intrinsic cardiomyopathy in pediatric Marfan syndrome: predictive factors and risk assessments.,"Marfan syndrome (MFS) is associated with cardiovascular complications, particularly valvulopathies; however, its association with primary cardiomyopathy remains unclear.","Jonas Kneußel, Jakob Olfe, Veronika C Stark, Yskert von Kodolitsch, Rainer G Kozlik-Feldmann, Ingeborg Friehs, Kerstin Kutsche, Michael Hübler, Thomas S Mir, Daniel Diaz-Gil",2024
Phenotypic Heterogeneity of Patients With Marfan Syndrome in Puerto Rico: A Case Series.,"Previous studies have reported on the cardiovascular, ocular, and musculoskeletal findings in patients with Marfan syndrome (MFS). This study aims to report the ocular and genotypic findings in patients with the syndrome in Puerto Rico.","Gabriel A Jiménez-Berríos, Sebastián J Vázquez-Folch, Natalio Izquierdo",2024
Mid- to long-term radiological and respiratory outcomes following surgery for older early-onset scoliosis patients with Marfan syndrome.,"This study aimed to elucidate mid- to long-term radiological and respiratory outcomes in patients aged 7-11 years at index surgery with Marfan syndrome and early-onset scoliosis (EOS) in a retrospective multicenter study. Primary outcomes were final thoracic height and final percentage of predicted vital capacity (%VC) at or after 16 years of age. We identified 21 (6 male and 15 female) patients with a mean age of 9.9 years and mean follow-up period of 149.3 months. Fifteen patients underwent primary fusion, whereas six underwent growth-friendly surgery (GFS). The mean preoperative and final T1-T12 heights were 204.0 mm and 248.0 mm, respectively. Final pulmonary function tests were available for 16 patients, and the mean final %VC was 54.0% with 10 patients exhibiting a final %VC < 60%. A significant moderate association was observed between the final T1-T12 height and final %VC. The predicted final T1-T12 height required for a final %VC of 60% was approximately 260 mm. Although most older patients with Marfan syndrome and EOS acquired a considerably large final T1-T12 height, a larger thoracic height was required for satisfactory respiratory function in many cases; hence, GFS may be indicated even in this population.","Yuki Taniguchi, Ryoji Tauchi, Teppei Suzuki, Haruhisa Yanagida, Kei Watanabe, Takachika Shimizu, Yoshitaka Matsubayashi, Noriaki Kawakami",2024
Evaluation of the clinical features of an outpatient cohort with Marfan syndrome.,Marfan syndrome is a connective tissue disease with autosomal dominant inheritance and variable clinical presentation. The main clinical manifestations recognition could contribute to early diagnosis and cardiovascular complication prevention. We aimed to evaluate the clinical profile of a Marfan syndrome outpatient cohort.,"Wilma Noia Ribeiro, Weverton Ferreira Leite, Ana Laura Vilela Arfelli Vallim, Lelio Lemos Pinto Neto, Geovanna Arruda João, Valdir Ambrósio Moíses",2024
A familial case of aortic dilatation with p.Tyr470Cys in <i>TGFBR2</i> in which the phenotype included only vascular lesions.,"Hereditary connective tissue diseases have different risks of aortic dissection depending on the causative gene. We report a family with no extravascular phenotype and a clinical diagnosis of familial thoracic aortic aneurysm and dissection, but genetic testing confirmed p.Tyr470Cys in <i>TGFBR2</i>, which is typically the responsible gene for Loeys-Dietz syndrome. Validation of the clinical diagnosis by genetic testing is warranted.","Hidenori Yamamoto, Ayako Tanabe, Taichi Kato",2024
