Title,Abstract,Authors,Publication Date
[Clinical study of Cross-Union surgery for treatment of pseudarthrosis of tibia with neurofibromatosis type 1 in children].,To evaluate the effectiveness of Cross-Union surgery for the treatment of pseudarthrosis of the tibia (PT) with neurofibromatosis type 1 (NF1).,"Yueqiang Mo, Chunxing Wu, Bo Ning, Dahui Wang",2024
"[Clinical experiences in precision treatment of giant plexiform neurofibromas of head, face, and neck].","To summarize the treatment strategies and clinical experiences of 5 cases of giant plexiform neurofibromas (PNF) involving the head, face, and neck.","Bingcheng Liu, Zhiqi Hu",2024
[Application of multimodal intraoperative neurophysiological monitoring technology in neurofibromatosis type 1 related peripheral nerve tumor surgery].,To summarize application effect and clinical experience of multimodal intraoperative neurophysiological monitoring (IONM) technology in the surgery of neurofibromatosis type 1 (NF1) related peripheral nerve tumors.,"Weiyun Zhou, Yu Zeng, Huoniu Ouyang, Wenchuan Zhang, Zhichao Wang, Yiwei Wu",2024
"[Analysis of clinical features, treatment methods, and prognostic influence factors in patients with malignant peripheral nerve sheath tumor].","To investigate the clinical features, treatment methods, and prognostic influence factors of patients with malignant peripheral nerve sheath tumor (MPNST).","Bochong Shi, Haoyu Zheng, Huajian Wu, Xianglin Hu, Wangjun Yan",2024
[Clinical features and surgical treatments of neurofibromas associated with neurofibromatosis type 1].,"To explore the clinical features, surgical treatment, and effectiveness of neurofibromas associated with neurofibromatosis type 1 (NF1).","Hanjie Liu, Lebao Yu, Bo Wang, Pi'nan Liu, Song Liu, Dezhi Li",2024
[Emergency management and perioperative strategies for intra-tumoral hemorrhage in neurofibromatosis type 1-related giant plexiform neurofibroma].,"To review the emergency management and perioperative strategies for ruptured neurofibromatosis type 1 (NF1)-related giant plexiform neurofibroma (PNF), providing a systematic treatment protocol to improve the therapeutic outcomes and quality of life for patients with giant PNF.","Baochen Zhu, Yang Xiao, Ruiheng Liao, Hanxing Zhao, Xuewen Xu, Yan'ge Zhang",2024
[Progress in neurosurgical treatment of neurofibromatosis type 1].,To summarize the latest developments in neurosurgical treatments for neurofibromatosis type 1 (NF1) and explore therapeutic strategies to provide comprehensive treatment guidelines for clinicians.,"Ce Li, Binghan Liu, Yanjun Wang, Taifei Yu, Zhiming Zheng, Guodong Wang",2024
[Progress and prospects in diagnosis and treatment of neurofibromatosis type 1].,"Neurofibromatosis type 1 (NF1) is an autosomal dominant genetic disease caused by mutations in the <i>NF1</i> gene. The disease is characterized by neurofibromatosis, which simultaneously affects multiple systems such as nerves, skin, and bone, and has complex clinical manifestations. Since the National Institutes of Health (NIH) established diagnostic criteria in 1988, the diagnosis and treatment of NF1 have progressed significantly. However, due to the complexity of the disease and the lack of effective treatments, the diagnosis and treatment of NF1 still face many challenges. Strengthening multidisciplinary collaboration, improving and popularizing disease diagnosis and treatment strategies, and developing more effective drugs and treatment methods are the keys to further improve the treatment level of NF1 diseases.",Pi'nan Liu,2024
[Clarification the terms and definitions related to neurofibromatosis type 1].,To summarize the terms and definitions related to neurofibromatosis type 1 (NF1) with a view to standardizing and unifying the existing terminology system.,"Jingxuan Huang, Zhichao Wang",2024
[Several suggestions for improving diagnosis and management of patients with neurofibromatosis type 1].,"Neurofibromatosis type 1 (NF1) is an autosomal dominant genetic disease caused by the mutations in the <i>NF1</i> gene, with an incidence of approximately 1/3 000. Affecting multiple organs and systems throughout the body, NF1 caused a wide variety of clinical symptoms. A comprehensive multidisciplinary diagnostic and treatment model is needed to meet the diverse needs of NF1 patients and improve their quality of life. In recent years, the emergence of targeted therapies has further benefited NF1 patients, and the number of clinical consultations has increased dramatically. However, due to the rarity of the disease itself and insufficient attention previously, the standardized, systematic, and precise diagnosis and treatment model of NF1 still needs to be further improved. In this paper, we reviewed the current status of comprehensive diagnosis and treatment of NF1 in China, combine with our long-term experiences in diagnosis and treatment of this disease. Meanwhile, we propose future directions and several suggestions for the comprehensive diagnosis and treatment model for Chinese NF1 patients.","Qingfeng Li, Zhichao Wang, Chengjiang Wei",2024
Mechanical properties of pediatric low-grade gliomas in children with and without neurofibromatosis type 1.,"Prognoses for pediatric brain tumors are suboptimal, as even in low-grade tumors, management techniques can lead to damage in the developing brain. Therefore, advanced neuroimaging methods are critical for developing optimal management plans and improving patient care. Magnetic resonance elastography (MRE) has allowed for the characterization of adult gliomas by their mechanical properties, which are uniquely sensitive to the complex interplay of cellularity, vasculature, and interstitium. However, pediatric tumors differ in behavior and cytoarchitecture, and their mechanical properties have never been assessed.","Grace McIlvain, Laura L Hayes, Andrew W Walter, Lauren W Averill, Vinay Kandula, Curtis L Johnson, Rahul M Nikam",2024
Current state of spinal nerve sheath tumor management and future advances.,"Nerve sheath tumors are the most common tumors of the spine after meningiomas. They include schwannomas, neurofibroma, and malignant peripheral nerve sheath tumors. These can arise sporadically or in association with tumor predisposition syndromes, including neurofibromatosis type 1, neurofibromatosis type 2, and schwannomatosis. Though surgery is the traditional mainstay of treatment for these tumors, the discovery of the genetic and molecular basis of these diseases in recent decades has prompted investigation into targeted therapies. Here, we give a clinical overview of spinal nerve sheath tumors, their imaging features, current management practices, and explore ongoing advances in systemic therapies.","Chloe Gui, Luxshikka Canthiya, Gelareh Zadeh, Suganth Suppiah",2024
Clinical Outcomes of Carbon Ion Radiation Therapy for Malignant Peripheral Nerve Sheath Tumors.,To investigate the outcome and toxicity of patients affected by malignant peripheral nerve sheath tumors (MPNSTs) treated with high-dose carbon ion radiation therapy (CIRT).,"Maria Rosaria Fiore, Agnieszka Chalaszczyk, Amelia Barcellini, Viviana Vitolo, Giulia Fontana, Stefania Russo, Marco Rotondi, Silvia Molinelli, Alfredo Mirandola, Alessia Bazani, Ester Orlandi",2024
Social cognition in adults with neurofibromatosis type 1.,"Adult patients with the genetic disease neurofibromatosis type 1 (NF1) frequently report social difficulties. To date, however, only two studies have explored whether these difficulties are caused by social cognition deficits, and these yielded contradictory data. The aim of the present study was to exhaustively assess social cognition abilities (emotion, theory of mind, moral reasoning, and social information processing) in adults with NF1, compared with a control group, and to explore links between social cognition and disease characteristics (mode of inheritance, severity, and visibility).","Julie Remaud, Jérémy Besnard, Sébastien Barbarot, Arnaud Roy",2024
