Title,Abstract,Authors,Publication Date
A Rare Combination of Compound Heterozygous Mutations in the <i>PAH</i> Gene in Three Unrelated Consanguineous Iranian Families with Classical Phenylketonuria.,"The <i>PAH</i> gene mutations have been linked to the development of phenylketonuria (PKU), which is recognized as the most common inborn metabolic disorder, and is caused by a deficiency in the phenylalanine hydroxylase (<i>PAH</i>) enzyme. The Iranian population, known for its diversity and high consanguinity, offers a valuable sample for studying autosomal recessive disorders. Our study investigated three unrelated families with PKU from Iran, utilizing clinical, laboratory, and computational approaches.","Arian Rahimzadeh, Teymoor Khosravi, Farzaneh Motallebi, Zainab M Al Sudani, Fatemeh Vaghefi, Ali Kowsari, Morteza Oladnabi",2024
Nutrition in Phenylketonuria.,"Phenylketonuria (PKU) is a genetic metabolic disease resulting from a deficiency in the enzyme phenylalanine hydroxylase. This defect prevents the conversion of phenylalanine to tyrosine, and as a result, the level of phenylalanine in the body increases abnormally. The accumulation of this amino acid may cause brain damage and grows development in these patients. The primary approach to treating the disease involves dietary management that restricts protein and phenylalanine intake, often alongside Tetrahydrobiopterin (BH4) supplementation. Medical foods specifically formulated for these patients are utilized to supply the necessary energy, protein, and tyrosine. Other treatment options, including the use of large neutral amino acids (LNAAs) and the enzyme Phenylalanine ammonia lyase (PAL), can be utilized to manage symptoms in adult patients. Advancements in gene therapy aimed at correcting defective genes in patients may help restore phenylalanine metabolism, though further research in this area is necessary. Effective personal management of phenylketonuria necessitates enhanced knowledge and collaboration among healthcare professionals to achieve optimal treatment outcomes for patients. This article emphasis the nutritional management of individuals with phenylketonuria across various stages of their lives.","Saeedeh Talebi, Peyman Eshraghi",2024
Acceptability of dried blood spot collection by primary caregivers of Filipino patients with maple syrup urine disease (MSUD) and phenylketonuria (PKU).,"MSUD and PKU require lifetime management hence, regular monitoring of amino acid levels is needed to achieve good metabolic control. Ideally, plasma amino acid analysis (PLAA) is used to monitor concentrations but is expensive and not widely available in local laboratories. The newborn screening program in the Philippines uses dried blood spot (DBS) analysis as an alternative where only trained healthcare providers are allowed to perform the collection at selected facilities. With the increasing number of patients, DBS monitoring has been noted to be delayed due to multiple factors. This issue became even more evident during the COVID-19 pandemic where high-risk patients need to travel outside for blood collection. The study used a cross-sectional study design to determine the primary caregivers' perspective on DBS self-sampling for patients with MSUD and PKU and the acceptability of the samples collected. This was done through a series of collection training, pre-/post- surveys, and 10-item questionnaire, and an in-depth 1-on-1 interview for thematic analysis. The acceptability of samples was processed and evaluated by the newborn screening laboratory. At-home DBS collection by primary caregivers was found to be acceptable. The provision of knowledge and routine collection training by the medical team aids in the increase of sample acceptability as well as a source of empowerment in being equipped to take care of their child. It is highly recommended that DBS samples collected by caregivers be considered acceptable for more time and cost-saving monitoring of the patients' metabolites. This practice also promotes timely and appropriate management which can lead to better patient health outcomes.","Roxanne Janica E Merencilla, Ebner Bon G Maceda, Jeanne Ruth U Basas, Rufus Thomas Y Adducul, Ma Lourdes Francisco, Justin Von Licudo, Leniza G de Castro-Hamoy",2024
Protein requirements in adults with phenylketonuria and bioavailability of glycomacropeptide compared to an l-amino acid-based product.,"Phenylketonuria (PKU) is caused by phenylalanine hydroxylase deficiency. Treatment is primarily a low-Phe diet combined with l-amino acid-based products (l-AA). Protein requirements in adults with PKU have not been directly determined. A formula with glycomacropeptide (GMP) and low phenylalanine is available, yet untested for optimal protein synthesis.","Abrar Turki, Sylvia Stockler-Ipsiroglu, Sandra Sirrs, Jennifer Branov, Taryn Bosdet, Rajavel Elango",2024
Evaluation of Body Composition and Biochemical Parameters in Adult Phenylketonuria.,"Phenylketonuria is a hereditary metabolic disorder characterized by a deficiency of phenylalanine hydroxylase. The main treatment for PKU is a phenylalanine-restricted diet. The exclusion of protein rich natural foods and inclusion of low-Phe substitutes may give rise to an imbalanced diet, and the increased risk of overweight and obesity in PKU is a cause for concern. We aimed to evaluate the body composition and nutritional biochemical biomarkers in adult PKU patients who are on Phe-restricted and essential amino acid-supplemented nutrition therapy and to investigate the relationships between these parameters and patient gender, adherence to dietary therapy, and disease type, defined as mild or classic PKU.","Mehmet Cihan Balci, Meryem Karaca, Dilek Gunes, Huseyin Kutay Korbeyli, Arzu Selamioglu, Gulden Gokcay",2024
Nutritional Counseling Promotes Adherence to the Mediterranean Diet and Healthy Eating in Italian Patients Affected by Phenylketonuria and Treated with Pegvaliase.,"Pegvaliase, a subcutaneous therapy to treat phenylketonuria (PKU), has allowed these patients to maintain adequate phenylalanine (Phe) blood values without following a Phe-controlled diet; this brings up the challenge of promoting healthy eating while moving away from prescription diets. In our center, every patient treated with Pegvaliase undergoes routine nutritional counseling aimed at promoting adherence to the Mediterranean diet (MedDiet) during regular inpatient visits. This study aims to assess adherence to MedDiet and the adequacy of the diets of patients treated with Pegvaliase regarding micro- and macronutrients.","Michele Stecchi, Alice Rossi, Michelle Santoni, Francesca Bandini, Lucia Brodosi",2024
"7,8‑dihydroxyflavone reduces lipid peroxidation, proinflammatory cytokines, and mediators in chemically induced‑phenylketonuria model.","Phenylketonuria (PKU) stems from a rare genetic metabolic imbalance attributed to an insufficiency in the enzyme phenylalanine hydroxylase. Within the context of PKU, brain‑derived neurotrophic factor (BDNF) plays a pivotal role in brain function. 7,8‑dihydroxyflavone (7,8‑DHF) operates as a tropomyosin receptor kinase B (TrkB) agonist, mimicking the effects of BDNF. This study aimed to examine the effects of administering 7,8‑DHF in chemically‑induced rat models specifically induced to simulate PKU chemically. The rats were subcutaneously injected with phenylalanine and p‑chlorophenylalanine, a phenylalanine hydroxylase inhibitor, along with 7,8‑DHF. The injections began on the 2nd day after birth and continued until the 10th day. Levels of interleukin‑1β (IL‑1β), interleukin‑6 (IL‑6), interleukin‑33 (IL‑33), BDNF, malondialdehyde (MDA), monoamine oxidase (MAO), and superoxide dismutase (SOD) in the brain tissues were quantified using the enzyme‑linked immunosorbent assay (ELISA). Reverse transcription‑quantitative polymerase chain reaction (RT‑qPCR) was performed to assess the gene expressions of inducible nitric oxide synthase (iNOS), nuclear factor kappa beta (NF‑κB), caspase‑3, nuclear factor erythroid 2‑related factor 2 (Nrf2), heme oxygenase‑1 (HO‑1), and BDNF. The results showed a decrease in mRNA levels of iNOS, IL‑1β, IL‑6, and lipid peroxidation in the group that received 7,8‑DHF. These results indicate that administering 7,8‑DHF has the potential to reduce brain damage in PKU by lowering proinflammatory cytokine levels and lipid peroxidation in PKU models. Thus, 7,8‑DHF, as a small molecule, might offer a promising adjunct therapeutic approach for PKU.","Cigdem Cicek, Pelin Telkoparan-Akillilar",2024
Pegvaliase treatment normalizes blood neurotransmitter metabolites in adults with phenylketonuria.,"Phenylketonuria (PKU) is caused by deficient activity of phenylalanine hydroxylase (PAH), the enzyme that converts phenylalanine (Phe) to tyrosine (Tyr), leading to a toxic accumulation of Phe and reduced Tyr in the blood and brain. Abnormal Phe and Tyr levels in the brain disrupt normal neurotransmitter biosynthesis and may contribute to the cognitive and psychiatric deficits observed in individuals with PKU. Blood neurotransmitter metabolites (NTMs) may serve as biomarkers that reflect neurotransmitter levels in the brain. In this study, blood NTMs correlated with brain NTMs and neurotransmitters in wild-type and PAH-deficient mice treated with PAH gene therapy. Pegvaliase is an enzyme substitution therapy that lowers blood Phe levels and is approved for individuals with PKU and uncontrolled blood Phe concentrations (>600 μmol/L) despite prior management. The current work evaluated the relationship between blood NTMs and blood Phe in pegvaliase-treated, Phase 3, PRISM-1 (NCT01819727) and PRISM-2 (NCT01889862) study participants (Pegvaliase Group; N = 109). At baseline, individuals in the Pegvaliase Group had lower levels of the NTMs homovanillic acid (HVA), 3-methoxy-4-hydroxyphenyl glycol (MOPEG), and 5-hydroxyindoleacetic acid (5HIAA), and higher levels of the NTM phenylacetylglutamine (PAG) than age- and sex-matched healthy controls. PAG levels correlated positively with Phe levels (r = 0.833; p < 0.001), while HVA, MOPEG, and 5HIAA levels correlated negatively with Phe levels (r = -0.588, -0.561, and -0.857, respectively; all p < 0.001) across all timepoints. In participants with longitudinal NTM measurements available at baseline, 12 months, and 24 months (Pegvaliase Subgroup; n = 91), blood NTM levels improved from baseline with pegvaliase treatment at 12 months and 24 months, and median levels were normalized with blood Phe level reductions below 360 μmol/L after 24 months of treatment with pegvaliase, including in participants with blood Phe <30 μmol/L. In conclusion, blood NTM levels correlated with blood Phe levels, and pegvaliase improved blood NTM levels in a large cohort of individuals with PKU.","Monika A Sigg, Christopher Wilson, Gillian E Clague, Huiyu Zhou, Cheng Su, Geoffrey Y Berguig",2024
Genetically humanized phenylketonuria mouse model as a testing tool for human genome editing in fertilized eggs.,"Targeted genome editing has made significant advancements; however, safety and ethical issues have not been fully elucidated, resulting in strict control of the technique. We tested genome editing tools on gametes from a genetically humanized mouse model using a phenylketonuria (PKU) mouse model to gain insights into genome editing in human embryos. The human PKU mouse model Pah<sup>hR111X</sup> mice was generated. The junctional region between exon 3 and intron 3 of Pah was replaced with a 120 bp corresponding human PAH sequence, including the pathogenic common variant c.331C > T in Pah<sup>hR111X</sup> mice. Pah<sup>hR111X</sup> mice successfully recapitulated the PKU phenotype and showed cognitive dysfunction and depressive-like behavior, which are observed in human patients with PKU. Genome editing was applied to fertilized eggs of Pah<sup>hR111X</sup> mice utilizing sgRNA that targets the human sequence. Mice with the corrected allele exhibited normal serum phenylalanine levels. Through genome editing, we validated the utility of sgRNA. The genetically humanized mouse model suggested that germ-line genome editing of the pathogenic variant may be feasible for monogenic disorders by revealing the recovery of the phenotype; however, there are remaining issues with the tool, including its efficiency and accuracy. This genome editing protocol using a genetically humanized mouse model will provide insights for improving current issues and contribute to the establishment of heritable human genome editing protocols.","Atsumi Tsuji-Hosokawa, Iku Tsuchiya, Kie Shimizu, Miho Terao, Mito Yasuhara, Natsuho Miyamoto, Saki Kikuchi, Yuya Ogawa, Kazuaki Nakamura, Yoichi Matsubara, Shuji Takada",2024
"Effects of oral sepiapterin on blood Phe concentration in a broad range of patients with phenylketonuria (APHENITY): results of an international, phase 3, randomised, double-blind, placebo-controlled trial.",Phenylketonuria is an inherited condition characterised by neurotoxic accumulation of phenylalanine (Phe). APHENITY assessed the efficacy and safety of orally administered synthetic sepiapterin in children and adults with phenylketonuria.,"Ania C Muntau, Nicola Longo, Fatih Ezgu, Ida Vanessa D Schwartz, Melissa Lah, Drago Bratkovic, Lali Margvelashvili, Ertugrul Kiykim, Roberto Zori, Jaume Campistol Plana, Amaya Bélanger-Quintana, Allan Lund, Laura Guilder, Anupam Chakrapani, Halise Neslihan Mungan, Arlindo Guimas, Ixiu Del Carmen Cabrales Guerra, Anita MacDonald, Kimberly Ingalls, Neil Smith",2024
Sepiapterin: a potential new therapy for phenylketonuria.,,Cary O Harding,2024
Untargeted Metabolomics for Inborn Errors of Metabolism: Development and Evaluation of a Sustainable Reference Material for Correcting Inter-Batch Variability.,"Untargeted metabolomics has shown promise in expanding screening and diagnostic capabilities for inborn errors of metabolism (IEMs). However, inter-batch variability remains a major barrier to its implementation in the clinical laboratory, despite attempts to address this through normalization techniques. We have developed a sustainable, matrix-matched reference material (RM) using the iterative batch averaging method (IBAT) to correct inter-batch variability in liquid chromatography-high-resolution mass spectrometry-based untargeted metabolomics for IEM screening.","Rafael Garrett, Adam S Ptolemy, Sara Pickett, Mark D Kellogg, Roy W A Peake",2024
Effect of enzyme substitution therapy on brain magnetic resonance imaging and cognition in adults with phenylketonuria: A case series of three patients.,"Phenylketonuria, the most common inherited metabolic disease, results from a deficiency of phenylalanine hydroxylase enzyme activity that causes high blood phenylalanine levels. Most adults do not adhere to the gold standard therapy: lifelong treatment with a low-phenylalanine diet. Elevated and fluctuating phenylalanine levels in untreated adults can cause white matter abnormalities, neurological symptoms, and cognitive dysfunction (executive function). Pegvaliase, a derivative of the phenylalanine ammonia-lyase enzyme, metabolizes phenylalanine to trans-cinnamic acid and ammonia, and is approved by the US Food and Drug Administration and European Medicines Agency for subcutaneous administration in adults with phenylketonuria and blood phenylalanine concentrations > 600 μmol/L. In clinical trials, it reduced blood phenylalanine, even in patients consuming an unrestricted diet. We report longitudinal results on the first three such adults, in whom phenylalanine levels were quantified monthly, starting 1 year before pegvaliase administration and continuing through achievement of a pegvaliase response (defined as six consecutive monthly blood phenylalanine concentrations < 360 μmol/L while consuming an unrestricted diet). Brain magnetic resonance imaging (MRI) and neuropsychological assessments were performed before starting therapy and after response was achieved. Our results show that all three patients had significantly reduced white matter hyperintensities on brain MRI and improved executive function on neuropsychological assessment, especially on the Paced Auditory Serial Addition Test, which is known to be very sensitive to white matter functioning. To the best of our knowledge, this is the first report of concomitant improvements in cognitive performance and white matter damage after a pharmacological intervention to normalize phenylalanine levels in adults with phenylketonuria consuming an unrestricted diet.","Alessandro P Burlina, Renzo Manara, Jessica Carretta, Chiara Cazzorla, Christian Loro, Vincenza Gragnaniello, Alberto B Burlina",2024
