Title,Abstract,Authors,Publication Date
"First-in-Human Evaluation of Safety, Pharmacokinetics and Muscle Glycogen Lowering of a Novel Glycogen Synthase 1 Inhibitor for the Treatment of Pompe Disease.","Pompe disease is a rare glycogen storage disease caused by mutations in the enzyme acid α-glucosidase (GAA) resulting in pathological accumulation of glycogen in muscle tissues leading to progressive weakness and respiratory dysfunction. Enzyme replacement therapy (ERT) with GAA is currently the sole treatment option for patients with Pompe disease. ERT burdens patients with frequent intravenous infusions while insufficiently halting disease progression due to incomplete ERT skeletal muscle distribution. Glycogen synthase 1 (GYS1) has been proposed as a substrate reduction therapy (SRT) target for Pompe disease. Here, we report results from the first-in-human study of the orally available GYS1 inhibitor MZE001 in healthy subjects. In 88 participants, MZE001 was well-tolerated up to a single dose of 480 mg BID and multiple doses of 720 mg BID for 10 days. Noncompartmental analysis determined that the half-life and C<sub>trough</sub> concentrations of MZE001 could provide efficacious exposures with once or twice daily oral dosing. Change from baseline of peripheral blood mononuclear cell (PBMC) glycogen, which correlated with muscle glycogen levels in preclinical models, was significantly reduced dose-dependently following 10 days of MZE001 treatment in healthy subjects. A muscle biopsy sub-study demonstrated that 10 days of MZE001 (480 mg BID) dosing safely and substantially lowered muscle glycogen stores in healthy adults. This correlated with the PBMC exposure response and supports the use of PBMC glycogen reduction as a surrogate for muscle response, and MZE001 potential for development as the first oral substrate reduction therapy for patients with Pompe disease.","Julie C Ullman, Ryan A Dick, Daniela Linzner, Todd Minga, Samnang Tep, Terrence F Satterfield, Yannan Xi, David T Beattie, Tonya Marmon, Joel M Neutel, Bernard Chung, Janet M Leeds, Sarah B Noonberg, Eric M Green, Harold S Bernstein",2024
Global birth prevalence of Pompe disease: A systematic review and meta-analysis.,"Pompe disease, also known as Glycogen storage disease type II, is an autosomal recessive disorder caused by defects in alpha-glucosidase, resulting in abnormal glycogen accumulation.","Weijing Kong, Cheng Lu, Lichao Wang",2024
Pompe disease: Unmet needs and emerging therapies.,"Pompe disease is a debilitating and life-threatening disease caused by aberrant accumulation of glycogen resulting from reduced acid alpha-glucosidase activity. The first treatment for Pompe disease, the enzyme replacement therapy, Myozyme® (recombinant human acid alpha-glucosidase, alglucosidase alfa), is a lifesaving treatment for the most severe form of the disease and provided clinically meaningful benefits to patients with milder phenotypes. Nonetheless, many patients display suboptimal responses or clinical decline following years of alglucosidase alfa treatment. The approval of avalglucosidase alfa (Nexviazyme®) and cipaglucosidase alfa (Pombiliti®) with miglustat (Opfolda®) represents a new generation of enzyme replacement therapies seeking to further improve patient outcomes beyond alglucosidase alfa. However, the emergence of a complicated new phenotype with central nervous system involvement following long-term treatment, coupled with known and anticipated unmet needs of patients receiving enzyme replacement therapy, has prompted development of innovative new treatments. This review provides an overview of the challenges of existing treatments and a summary of emerging therapies currently in preclinical or clinical development for Pompe disease and related lysosomal storage disorders. Key treatments include tissue-targeted enzyme replacement therapy, which seeks to enhance enzyme concentration in target tissues such as the central nervous system; substrate reduction therapy, which reduces intracellular glycogen concentrations via novel mechanisms; and gene therapy, which may restore endogenous production of deficient acid alpha-glucosidase. Each of these proposed treatments shows promise as a future therapeutic option to improve quality of life in Pompe disease by more efficiently treating the underlying cause of disease progression: glycogen accumulation.","Kelly A George, Allyson L Anding, Arjan van der Flier, Giulio S Tomassy, Kenneth I Berger, Tracy Y Zhang, S Pablo Sardi",2024
"Pompe disease, a new approach to clearing out the trash.",,Ann Louise Olson,2024
Significance of early diagnosis and treatment of adult late-onset Pompe disease on the effectiveness of enzyme replacement therapy in improving muscle strength and respiratory function: a case report.,"Pompe disease, a rare autosomal recessive disorder, is caused by mutations in the acid α-glucosidase gene. Pompe disease is a congenital metabolic disorder that affects all organs, particularly the striated muscle and nerve cells. Diagnosis is typically confirmed through enzyme assays that reveal reduced acid α-glucosidase activity. Enzyme replacement therapy utilizing human α-glucosidase is an available treatment option. Timely diagnosis and treatment in the early stages of the disease significantly impact the effectiveness of enzyme replacement therapy in enhancing patient condition. Here, we present a case of a patient with Pompe disease diagnosed 20 years after the onset of clinical symptoms.","Moein Mir, Kianmehr Rouhani, Kiana Rouhani, Mohammadjavad Hassani, Mohammadrafi Damirchi, Sajjad Yazdansetad, Mehrdad Aghaei",2024
Pombiliti and Opfolda: shaping the future of adult late-onset pompe disease: an editorial.,,"Rumaisa Riaz, Ajeet Singh, Laiba Shakeel, Laveeza Fatima, Aymar Akilimali",2024
Living with Pompe disease: results from a qualitative interview study with children and adolescents and their caregivers.,"Children and adolescents with Pompe disease (PD) face chronic and progressive myopathy requiring time-intensive enzyme replacement therapy (ERT). Little is known about their perspectives on the disease and its treatment. This study explored their perceptions of disease symptoms and functioning status, and more subjective feelings about the impacts on their lives as part of developing a disease-specific questionnaire.","Moritz Ilan Truninger, Helene Werner, Markus Andreas Landolt, Andreas Hahn, Julia B Hennermann, Florian B Lagler, Dorothea Möslinger, Charlotte Pfrimmer, Marianne Rohrbach, Martina Huemer",2024
Mitochondrial Dysfunction in Glycogen Storage Disorders (GSDs).,"Glycogen storage disorders (GSDs) are a group of inherited metabolic disorders characterized by defects in enzymes involved in glycogen metabolism. Deficiencies in enzymes responsible for glycogen breakdown and synthesis can impair mitochondrial function. For instance, in GSD type II (Pompe disease), acid alpha-glucosidase deficiency leads to lysosomal glycogen accumulation, which secondarily impacts mitochondrial function through dysfunctional mitophagy, which disrupts mitochondrial quality control, generating oxidative stress. In GSD type III (Cori disease), the lack of the debranching enzyme causes glycogen accumulation and affects mitochondrial dynamics and biogenesis by disrupting the integrity of muscle fibers. Malfunctional glycogen metabolism can disrupt various cascades, thus causing mitochondrial and cell metabolic dysfunction through various mechanisms. These dysfunctions include altered mitochondrial morphology, impaired oxidative phosphorylation, increased production of reactive oxygen species (ROS), and defective mitophagy. The oxidative burden typical of GSDs compromises mitochondrial integrity and exacerbates the metabolic derangements observed in GSDs. The intertwining of mitochondrial dysfunction and GSDs underscores the complexity of these disorders and has significant clinical implications. GSD patients often present with multisystem manifestations, including hepatomegaly, hypoglycemia, and muscle weakness, which can be exacerbated by mitochondrial impairment. Moreover, mitochondrial dysfunction may contribute to the progression of GSD-related complications, such as cardiomyopathy and neurocognitive deficits. Targeting mitochondrial dysfunction thus represents a promising therapeutic avenue in GSDs. Potential strategies include antioxidants to mitigate oxidative stress, compounds that enhance mitochondrial biogenesis, and gene therapy to correct the underlying mitochondrial enzyme deficiencies. Mitochondrial dysfunction plays a critical role in the pathophysiology of GSDs. Recognizing and addressing this aspect can lead to more comprehensive and effective treatments, improving the quality of life of GSD patients. This review aims to elaborate on the intricate relationship between mitochondrial dysfunction and various types of GSDs. The review presents challenges and treatment options for several GSDs.","Kumudesh Mishra, Or Kakhlon",2024
Lysosomal storage diseases.,"Lysosomal storage disorders (LSDs) are a group of inherited metabolic diseases caused by dysfunction of the lysosomal system, with subsequent progressive accumulation of macromolecules, activation of inflammatory response, and cell death. Neurologic damage is almost always present, and it is usually degenerative. White matter (WM) involvement may be primary or secondary. Diseases with primary WM involvement are leukodystrophies, demyelinating (Krabbe disease and metachromatic leukodystrophy), and hypomyelinating leukodystrophies (free sialic acid storage disease, fucosidosis, and mucolipidosis type IV). LSDs with secondary WM involvement are classified as leukoencephalopathies and include gangliosidosis, mucopolysaccharidosis (MPS), ceroid neuronal lipofuscinosis, multiple sulfatase deficiency, alpha-mannosidosis, Pompe disease, and Fabry disease. Neurologic manifestations may overlap among LSDs and include developmental delays, motor, cognitive and speech impairments, seizures, visual failure, ataxia, and extrapyramidal signs. Most of LSDs are typically present in early or late infancy, but juvenile and adult forms also exist and are associated with predominantly neuropsychiatric and behavioral symptoms. The outcome of these disorders is generally poor and specific treatments (enzyme replacement therapy, hematopoietic stem cell transplantation, or gene therapy) are only available in a small number of them.","Alessandro P Burlina, Renzo Manara, Daniela Gueraldi",2024
Health-Related Quality-of-Life Utility Values in Adults With Late-Onset Pompe Disease: Analyses of EQ-5D Data From the PROPEL Clinical Trial.,"<b>Background:</b> Pompe disease is a rare lysosomal storage disorder, leading to accumulation of glycogen characterized by muscle weakness, fatigue, pain, and, in the longer term, a requirement for ventilatory and ambulatory support, and early mortality if untreated. Clinical evidence suggests that enzyme replacement therapy improves health outcomes for adults with late-onset Pompe disease (LOPD). PROPEL was a Phase 3, double-blind, randomized controlled trial, which evaluated cipaglucosidase alfa plus miglustat, vs alglucosidase alfa plus placebo in 123 adult patients with LOPD (clinicaltrials.gov: NCT03729362). <b>Objectives:</b> To analyze EQ-5D health-related quality of life (HRQoL) utility data from PROPEL. <b>Methods:</b> Multilevel modeling techniques (mixed regression methods) were used to analyze PROPEL EQ-5D-3L estimates and predict utility values for 7 health states previously identified in an economic evaluation for LOPD. In PROPEL, EQ-5D-5L values were assessed at screening and at weeks 12, 26, 38, and 52. EQ-5D-5L utility values were mapped to EQ-5D-3L values using the van Hout algorithm as recommended by the EuroQoL and the National Institute of Health and Care Excellence position statement at time of analysis. UK population tariffs were applied for all EQ-5D utility valuations. Utility values were predicted according to 6-minute walk distance (6MWD) and percent predicted sitting forced vital capacity. <b>Results:</b> The mixed model predicted that EQ-5D-3L utility values for patients who could walk >75 m with LOPD ranged between 0.55 and 0.67 according to patient 6MWD and respiratory function. In this analysis, patients with a 6MWD ≤75 m, consistent with a health state requiring wheelchair support in the economic analysis, had a predicted utility value of 0.49. There were few patients in PROPEL who could walk ≤75 m at any time point in the study, hence, these utility estimates should be interpreted with caution. EQ-5D-3L utility estimates from PROPEL were consistent with previously reported EQ-5D-3L values in LOPD. <b>Conclusions:</b> Overall, the results from our analysis indicate that important HRQoL losses are associated with reductions in mobility and respiratory function for patients with Pompe disease. The study provides important evidence of HRQoL utility values for patients with advanced LOPD, a population for whom published data are limited.","Alasdair MacCulloch, Alison Griffiths, Neil Johnson, Simon Shohet",2024
