Title,Abstract,Authors,Publication Date
Psychological conditions of caregivers of adult subjects with Prader-Willi syndrome.,"Prader-Willi syndrome (PWS) is a rare genetic neurodevelopmental disorder. Individuals with PWS face a range of cognitive, behavioral, and emotional challenges that require comprehensive and lifelong care, posing significant demands on their caregivers. The study is not only aimed to assess the psychological conditions of caregivers of adult subjects with PWS focusing on psychological distress and coping, but also to shed light on a crucial yet often overlooked aspect of healthcare. This study aims to compare the psychological well-being of individuals with PWS and their caregivers, providing valuable insights that can potentially improve the quality of care for these individuals. The sample recruited at the Division of Auxology, IRCCS Istituto Auxologico Italiano, was composed of 30 adult subjects with PWS (11 men and 19 women; mean age ± SD: 36.4 ± 10.31 years; mean Body Mass Index (BMI): 35.7 ± 8.92: kg/m2) and their caregivers (10 men and 20 women). To assess the psychological condition of caregivers, the Italian-validated versions of the Depression Anxiety and Stress Scale (DASS-21) and the Coping Orientation to the Problems Experiences (COPE) were used, while to assess the psychological well-being of individuals with PWS and their caregivers, the Italian validated version of the Psychological General Well-Being Index (PGWBI) was used.","Anna Guerrini Usubini, Adele Bondesan, Diana Caroli, Francesca Frigerio, Graziano Grugni, Gianluca Castelnuovo, Alessandro Sartorio",2024
Inpatient hospitalisations for patients with Prader-Willi syndrome: a 2019-2021 National Inpatient Sample analysis.,"Prader-Willi syndrome (PWS) is a genetic disorder characterised by hyperphagia, intellectual disability and increased propensity to a range of medical disorders. To better characterise the clinical presentation of PWS across the lifespan, this study reports on the demographics and clinical diagnosis of individuals with PWS hospitalised in the United States.","J Luccarelli, T V Strong, T H McCoy",2024
Neuropeptide therapeutics to repress lateral septum neurons that disable sociability in an autism mouse model.,"Confronting oxytocin and vasopressin deficits in autism spectrum disorders and rare syndromes brought promises and disappointments for the treatment of social disabilities. We searched downstream of oxytocin and vasopressin for targets alleviating social deficits in a mouse model of Prader-Willi syndrome and Schaaf-Yang syndrome, both associated with high prevalence of autism. We found a population of neurons in the lateral septum-activated on termination of social contacts-which oxytocin and vasopressin inhibit as per degree of peer affiliation. These are somatostatin neurons expressing oxytocin receptors coupled to GABA-B signaling, which are inhibited via GABA-A channels by vasopressin-excited GABA neurons. Loss of oxytocin or vasopressin signaling recapitulated the disease phenotype. By contrast, deactivation of somatostatin neurons or receptor signaling alleviated social deficits of disease models by increasing the duration of contacts with mates and strangers. These findings provide new insights into the treatment framework of social disabilities in neuropsychiatric disorders.","Amélie M Borie, Yann Dromard, Prabahan Chakraborty, Pierre Fontanaud, Emilie M Andre, Amaury François, Pascal Colson, Françoise Muscatelli, Gilles Guillon, Michel G Desarménien, Freddy Jeanneteau",2024
Diversity of Molecular Functions of RNA-Binding Ubiquitin Ligases from the MKRN Protein Family.,"Makorin RING finger protein family includes four members (MKRN1, MKRN2, MKRN3, and MKRN4) that belong to E3 ubiquitin ligases and play a key role in various biological processes, such as cell survival, cell differentiation, and innate and adaptive immunity. MKRN1 contributes to the tumor growth suppression, energy metabolism, anti-pathogen defense, and apoptosis and has a broad variety of targets, including hTERT, APC, FADD, p21, and various viral proteins. MKRN2 regulates cell proliferation, inflammatory response; its targets are p65, PKM2, STAT1, and other proteins. MKRN3 is a master regulator of puberty timing; it controls the levels of gonadotropin-releasing hormone in the arcuate nucleus neurons. MKRN4 is the least studied member of the MKRN protein family, however, it is known to contribute to the T cell activation by ubiquitination of serine/threonine kinase MAP4K3. Proteins of the MKRN family are associated with the development of numerous diseases, for example, systemic lupus erythematosus, central precocious puberty, Prader-Willi syndrome, degenerative lumbar spinal stenosis, inflammation, and cancer. In this review, we discuss the functional roles of all members of the MKRN protein family and their involvement in the development of diseases.","Ekaterina A Guseva, Maria A Emelianova, Vera N Sidorova, Anatoly N Tyulpakov, Olga A Dontsova, Petr V Sergiev",2024
Characterization of Circulating Protein Profiles in Individuals with Prader-Willi Syndrome and Individuals with Non-Syndromic Obesity.,"<b>Background:</b> Prader-Willi syndrome (PWS) is a rare genetic disorder characterized by distinctive physical, cognitive, and behavioral manifestations, coupled with profound alterations in appetite regulation, leading to severe obesity and metabolic dysregulation. These clinical features arise from disruptions in neurodevelopment and neuroendocrine regulation, yet the molecular intricacies of PWS remain incompletely understood. <b>Methods</b>: This study aimed to comprehensively profile circulating neuromodulatory factors in the serum of 53 subjects with PWS and 34 patients with non-syndromic obesity, utilizing a proximity extension assay with the Olink Target 96 neuro-exploratory and neurology panels. The ANOVA <i>p</i>-values were adjusted for multiple testing using the Benjamani-Hochberg method. Protein-protein interaction networks were generated in STRING V.12. Corrplots were calculated with R4.2.2 by using the Hmisc, Performance Analytics, and Corrplot packages <b>Results</b>: Our investigation explored the potential genetic underpinnings of the circulating protein signature observed in PWS, revealing intricate connections between genes in the PWS critical region and the identified circulating proteins associated with impaired oxytocin, NAD metabolism, and sex-related neuromuscular impairment involving, CD38, KYNU, NPM1, NMNAT1, WFIKKN1, and GDF-8/MSTN. The downregulation of CD38 in individuals with PWS (<i>p</i> < 0.01) indicates dysregulation of oxytocin release, implicating pathways associated with NAD metabolism in which KYNU and NMNAT1 are involved and significantly downregulated in PWS (<i>p</i> < 0.01 and <i>p</i> < 0.05, respectively). Sex-related differences in the circulatory levels of WFIKKN1 and GDF-8/MSTN (<i>p</i> < 0.05) were also observed. <b>Conclusions:</b> This study highlights potential circulating protein biomarkers associated with impaired oxytocin, NAD metabolism, and sex-related neuromuscular impairment in PWS individuals with potential clinical implications.","Devis Pascut, Pablo José Giraudi, Cristina Banfi, Stefania Ghilardi, Claudio Tiribelli, Adele Bondesan, Diana Caroli, Graziano Grugni, Alessandro Sartorio",2024
Effects of long-term transcutaneous auricular vagus nerve stimulation on circadian vagal activity in people with Prader-Willi Syndrome: A case-series.,"Prader-Willi Syndrome (PWS) is a genetic neurodevelopmental disorder marked by disruptions in circadian rhythms and autonomic nervous system (ANS) activity, hyperphagia, and episodes of emotional outbursts. Previous trials suggest that both invasive and non-invasive vagus nerve stimulation (VNS) can reduce emotional outbursts in PWS, potentially through its effects on vagal activity.","Maximilian Schmausser, Anthony Holland, Jessica Beresford-Webb, Stephen J Eglen, Katie Manning, Lucie Aman, Dina Kronhaus, Julian Koenig",2024
Another look at the necessity of polysomnography for infants with Prader-Willi syndrome prior to initiation of growth hormone therapy.,"The average age of diagnosis of Prader-Willi syndrome (PWS) in most countries is less than 6 months of age. With the current medical knowledge of the benefits of growth hormone for infants with PWS, including improved cognitive function and improved psychomotor development, parents of infants with PWS want growth hormone therapy initiated as soon as possible. But the current recommendations to perform overnight polysomnography prior to initiation of growth hormone treatment often delays the initiation of therapy. We submit that overnight polysomnography for young infants (<6 months of age) is not necessary prior to growth hormone treatment, as there are no findings on polysomnography in this age group that should delay or prevent the initiation of growth hormone therapy.","Esraa Ismail, Jennifer Miller",2024
The motivations and methods behind sharing a pediatric Prader-Willi syndrome diagnosis.,"Prader-Willi syndrome (PWS) is a genetic condition caused by a lack of paternally-expressed imprinted genes at chromosome 15q11.2-q13 and characterized by hyperphagia, behavioral challenges, and variable intellectual disability. Once a PWS diagnosis is established, sharing diagnosis information with an affected child can be challenging due to its early age of onset and diverse phenotype. This mixed-methods study aimed to evaluate how parents and guardians have shared a PWS diagnosis with their child and examine the motivating and influencing factors behind their disclosure. Parents and guardians of children with PWS aged at least 5 years completed a survey, and a select group completed an interview. A total of 51 surveys and 15 interviews were completed, with the majority of participants (n = 46; 90%) having shared at least some diagnosis information with their child. Parents and guardians were more likely to disclose if they self-reported a higher level of knowledge about PWS (p = 0.004) and if their child is currently older (p = 0.02) and/or has at least one sibling (p = 0.046). Interview analysis revealed 15 themes and 10 subthemes that illustrated parents' motivations, methods, and experiences with disclosure. This research provides information for others considering disclosure of PWS or another rare diagnosis with their child.","Victoria F Moy, Jessica J Denton, Jessica E Bohonowych, Theresa V Strong",2024
Growth hormone treatment in children with Prader-Willi syndrome: safety and effectiveness data from the PATRO Children study.,"Recombinant human growth hormone (rhGH, somatropin) therapy is approved in children with Prader-Willi syndrome (PWS).","Constanze Lämmer, Philippe Backeljauw, Maite Tauber, Shankar Kanumakala, Sandro Loche, Karl Otfried Schwab, Roland Pfäffle, Charlotte Höybye, Elena Lundberg, Jovanna Dahlgren, Anna E Ek, Tadej Battelino, Berit Kriström, Altaher Esmael, Markus Zabransky",2024
Comprehensive molecular and clinical findings in 29 patients with multi-locus imprinting disturbance.,"Multi-locus imprinting disturbance (MLID) with methylation defects in various differentially methylated regions (DMRs) has recently been identified in approximately 150 cases with imprinting disorders (IDs), and deleterious variants have been found in genes related to methylation maintenance of DMRs, such as those encoding proteins constructing the subcortical maternal complex (SCMC), in a small fraction of patients and/or their mothers. However, integrated methylation analysis for DMRs and sequence analysis for MLID-causative genes in MLID cases and their mothers have been performed only in a single study focusing on Beckwith-Wiedemann syndrome (BWS) and Silver-Russell syndrome (SRS) phenotypes.","Tatsuki Urakawa, Hidenobu Soejima, Kaori Yamoto, Kaori Hara-Isono, Akie Nakamura, Sayaka Kawashima, Hiromune Narusawa, Rika Kosaki, Yutaka Nishimura, Kazuki Yamazawa, Tetsuo Hattori, Yukako Muramatsu, Takanobu Inoue, Keiko Matsubara, Maki Fukami, Shinji Saitoh, Tsutomu Ogata, Masayo Kagami",2024
