Title,Abstract,Authors,Publication Date
Prevalence of orthopaedic conditions in Rett syndrome: a systematic review and meta-analysis.,"Rett syndrome (RTT), a developmental disorder primarily affecting girls and linked to methyl-CpG binding protein-2 (MECP2) gene mutations, presents musculoskeletal abnormalities with varying prevalence across studies and age groups. Our aim was to delineate the prevalence of orthopaedic conditions in individuals with RTT.","M Galán-Olleros, E González-Alguacil, V Soto-Insuga, M T Vara-Arias, N V Ortiz-Cabrera, R M Egea-Gámez, J J García-Peñas, I Martínez-Caballero",2024
[Rett syndrome-like phenotype caused by EEF1A2 gene in 2 children].,,"Y Z Wang, J K Zhang, F Zhang, X H Jiang, H Zheng, B X Ma",2024
miR126-mediated impaired vascular integrity in Rett syndrome.,"Rett syndrome (RTT) is a neurodevelopmental disorder that is caused by mutations in melty-CpG binding protein 2 (MeCP2). MeCP2 is a non-cell type-specific DNA binding protein, and its mutation influences not only neural cells but also non-neural cells in the brain, including vasculature associated with endothelial cells. Vascular integrity is crucial for maintaining brain homeostasis, and its alteration may be linked to the pathology of neurodegenerative disease, but a non-neurogenic effect, especially the relationship between vascular alternation and Rett syndrome pathogenesis, has not been shown. Here, we recapitulate a microvascular network using Rett syndrome patient-derived induced pluripotent stem (iPS) cells that carry MeCP2[R306C] mutation to investigate early developmental vascular impact. To expedite endothelial cell differentiation, doxycycline (DOX)-inducible ETV2 expression vectors were inserted into the AAVS1 locus of Rett syndrome patient-derived iPS cells and its isogenic control by CRISPR/Cas9. With these endothelial cells, we established a disease microvascular network (Rett-dMVNs) and observed higher permeability in the Rett-dMVNs compared to isogenic controls, indicating altered barrier function by MeCP2 mutation. Furthermore, we unveiled that hyperpermeability is involved in the upregulation of miR126-3p in Rett syndrome patient-derived endothelial cells by microRNA profiling and RNAseq, and rescue of miR126-3p level can recover their phenotype. We discover miR126-3p-mediated vascular impairment in Rett syndrome patients and suggest the potential application of these findings for translational medicine.","Tatsuya Osaki, Zhengpeng Wan, Koji Haratani, Ylliah Jin, Macro Campisi, David A Barbie, Roger D Kamm, Mriganka Sur",2024
RettDb: the Rett syndrome omics database to navigate the Rett syndrome genomic landscape.,"Rett syndrome (RTT) is a neurodevelopmental disorder occurring almost exclusively in females and leading to a variety of impairments and disabilities from mild to severe. In >95% cases, RTT is due to mutations in the X-linked gene MECP2, but the molecular mechanisms determining RTT are unknown at present, and the complexity of the system is challenging. To facilitate and provide guidance to the unraveling of those mechanisms, we developed a database resource for the visualization and analysis of the genomic landscape in the context of wild-type or mutated Mecp2 gene in the mouse model. Our resource allows for the exploration of differential dynamics of gene expression and the prediction of new potential MECP2 target genes to decipher the RTT disorder molecular mechanisms. Database URL: https://biomedinfo.di.unipi.it/rett-database/.","Nico Cillari, Giuseppe Neri, Nadia Pisanti, Paolo Milazzo, Ugo Borello",2024
Animal Models of Autistic-like Behavior in Rodents: A Scoping Review and Call for a Comprehensive Scoring System.,"Appropriate animal models of human diseases are a cornerstone in the advancement of science and medicine. To create animal models of neuropsychiatric and neurobehavioral diseases such as autism spectrum disorder (ASD) necessitates the development of sufficient neurobehavioral measuring tools to translate human behavior to expected measurable behavioral features in animals. If possible, the severity of the symptoms should also be assessed. Indeed, at least in rodents, adequate neurobehavioral and neurological tests have been developed. Since ASD is characterized by a number of specific behavioral trends with significant severity, animal models of autistic-like behavior have to demonstrate the specific characteristic features, namely impaired social interactions, communication deficits, and restricted, repetitive behavioral patterns, with association to several additional impairments such as somatosensory, motor, and memory impairments. Thus, an appropriate model must show behavioral impairment of a minimal number of neurobehavioral characteristics using an adequate number of behavioral tests. The proper animal models enable the study of ASD-like-behavior from the etiologic, pathogenetic, and therapeutic aspects. From the etiologic aspects, models have been developed by the use of immunogenic substances like polyinosinic-polycytidylic acid (PolyIC), lipopolysaccharide (LPS), and propionic acid, or other well-documented immunogens or pathogens, like <i>Mycobacterium tuberculosis.</i> Another approach is the use of chemicals like valproic acid, polychlorinated biphenyls (PCBs), organophosphate pesticides like chlorpyrifos (CPF), and others. These substances were administered either prenatally, generally after the period of major organogenesis, or, especially in rodents, during early postnatal life. In addition, using modern genetic manipulation methods, genetic models have been created of almost all human genetic diseases that are manifested by autistic-like behavior (i.e., fragile X, Rett syndrome, SHANK gene mutation, neuroligin genes, and others). Ideally, we should not only evaluate the different behavioral modes affected by the ASD-like behavior, but also assess the severity of the behavioral deviations by an appropriate scoring system, as applied to humans. We therefore propose a scoring system for improved assessment of ASD-like behavior in animal models.","Asher Ornoy, Boniface Echefu, Maria Becker",2024
Unraveling autophagic imbalances and therapeutic insights in Mecp2-deficient models.,"Loss-of-function mutations in MECP2 are associated to Rett syndrome (RTT), a severe neurodevelopmental disease. Mainly working as a transcriptional regulator, MeCP2 absence leads to gene expression perturbations resulting in deficits of synaptic function and neuronal activity. In addition, RTT patients and mouse models suffer from a complex metabolic syndrome, suggesting that related cellular pathways might contribute to neuropathogenesis. Along this line, autophagy is critical in sustaining developing neuron homeostasis by breaking down dysfunctional proteins, lipids, and organelles.Here, we investigated the autophagic pathway in RTT and found reduced content of autophagic vacuoles in Mecp2 knock-out neurons. This correlates with defective lipidation of LC3B, probably caused by a deficiency of the autophagic membrane lipid phosphatidylethanolamine. The administration of the autophagy inducer trehalose recovers LC3B lipidation, autophagosomes content in knock-out neurons, and ameliorates their morphology, neuronal activity and synaptic ultrastructure. Moreover, we provide evidence for attenuation of motor and exploratory impairment in Mecp2 knock-out mice upon trehalose administration. Overall, our findings open new perspectives for neurodevelopmental disorders therapies based on the concept of autophagy modulation.","Alessandro Esposito, Tommaso Seri, Martina Breccia, Marzia Indrigo, Giuseppina De Rocco, Francesca Nuzzolillo, Vanna Denti, Francesca Pappacena, Gaia Tartaglione, Simone Serrao, Giuseppe Paglia, Luca Murru, Stefano de Pretis, Jean-Michel Cioni, Nicoletta Landsberger, Fabrizia Claudia Guarnieri, Michela Palmieri",2024
Trofinetide treatment for Rett syndrome: Lessons to learn.,"The US FDA approval of trofinetide as the first pharmacological treatment to improve Rett syndrome's symptomatology marks a significant milestone with broad implications for various disorders. The LILAC trials demonstrate long-term safety and efficacy of trofinetide.<sup>1</sup><sup>,</sup><sup>2</sup> While further research is needed to fully resolve the condition, insights from trofinetide trials can inform strategies for future treatments and trials.",Daniela Tropea,2024
Prediction and design of transcriptional repressor domains with large-scale mutational scans and deep learning.,"Regulatory proteins have evolved diverse repressor domains (RDs) to enable precise context-specific repression of transcription. However, our understanding of how sequence variation impacts the functional activity of RDs is limited. To address this gap, we generated a high-throughput mutational scanning dataset measuring the repressor activity of 115,000 variant sequences spanning more than 50 RDs in human cells. We identified thousands of clinical variants with loss or gain of repressor function, including TWIST1 HLH variants associated with Saethre-Chotzen syndrome and MECP2 domain variants associated with Rett syndrome. We also leveraged these data to annotate short linear interacting motifs (SLiMs) that are critical for repression in disordered RDs. Then, we designed a deep learning model called TENet ( T ranscriptional E ffector Net work) that integrates sequence, structure and biochemical representations of sequence variants to accurately predict repressor activity. We systematically tested generalization within and across domains with varying homology using the mutational scanning dataset. Finally, we employed TENet within a directed evolution sequence editing framework to tune the activity of both structured and disordered RDs and experimentally test thousands of designs. Our work highlights critical considerations for future dataset design and model training strategies to improve functional variant prioritization and precision design of synthetic regulatory proteins.","Raeline Valbuena, AkshatKumar Nigam, Josh Tycko, Peter Suzuki, Kaitlyn Spees, Aradhana, Sophia Arana, Peter Du, Roshni A Patel, Lacramiora Bintu, Anshul Kundaje, Michael C Bassik",2024
Sex-specific single cell-level transcriptomic signatures of Rett syndrome disease progression.,"Dominant X-linked diseases are uncommon due to female X chromosome inactivation (XCI). While random XCI usually protects females against X-linked mutations, Rett syndrome (RTT) is a female neurodevelopmental disorder caused by heterozygous MECP2 mutation. After 6-18 months of typical neurodevelopment, RTT girls undergo a poorly understood regression. We performed longitudinal snRNA-seq on cerebral cortex in a construct-relevant Mecp2e1 mutant mouse model of RTT, revealing transcriptional effects of cell type, mosaicism, and sex on progressive disease phenotypes. Across cell types, we observed sex differences in the number of differentially expressed genes (DEGs) with 6x more DEGs in mutant females than males. Unlike males, female DEGs emerged prior to symptoms, were enriched for homeostatic gene pathways in distinct cell types over time and correlated with disease phenotypes and human RTT cortical cell transcriptomes. Non-cell-autonomous effects were prominent and dynamic across disease progression of Mecp2e1 mutant females, indicating that wild-type-expressing cells normalize transcriptional homeostasis. These results advance our understanding of RTT progression and treatment.","Osman Sharifi, Viktoria Haghani, Kari E Neier, Keith J Fraga, Ian Korf, Sophia M Hakam, Gerald Quon, Nelson Johansen, Dag H Yasui, Janine M LaSalle",2024
Site-Blocking Antisense Oligonucleotides as a Mechanism to Fine-Tune MECP2 Expression.,"Rett syndrome (RTT) is a neurodevelopmental disorder caused by loss-of-function mutations in the methyl CpG binding protein 2 (MECP2) gene. Despite its severe phenotype, studies in mouse models suggest that restoring MeCP2 levels can reverse RTT symptomology. Nevertheless, traditional gene therapy approaches are hindered by MECP2's narrow therapeutic window, complicating the safe delivery of viral constructs without overshooting the threshold for toxicity. The 3' untranslated region (3'UTR) plays a key role in gene regulation, where factors like miRNAs bind to pre-mRNA and fine-tune expression. Given that each miRNA's contribution is modest, blocking miRNA binding may represent a potential therapeutic strategy for diseases with high dosage sensitivity, like RTT. Here, we present a series of site-blocking antisense oligonucleotides (sbASOs) designed to outcompete repressive miRNA binding at the MECP2 3'UTR. This strategy aims to increase MECP2 levels in patients with missense or late-truncating mutations, where the hypomorphic nature of the protein can be offset by increased abundance. Our results demonstrate that sbASOs can elevate MECP2 levels in a dose-dependent manner in SH-SY5Y and patient fibroblast cell lines, plateauing at levels projected to be safe. Confirming in vivo functionality, sbASO administration in wild-type mice led to significant MeCP2 upregulation and the emergence of phenotypes associated with MeCP2 overexpression. In a T158M neural stem cell model of RTT, sbASO treatment significantly increased MECP2 expression and levels of the downstream effector protein, brain-derived neurotrophic factor (BDNF). These findings highlight the potential of sbASO-based therapies for MECP2-related disorders and advocate for their continued development.","Amanda M Vanderplow, Grace E Dodis, Yewon Rhee, Jakub J Cikowski, Sonia Gonzalez, Mackenzie L Smith, Rocco G Gogliotti",2024
