Title,Abstract,Authors,Publication Date
Screening for hemoglobin disorders and investigating their hematological and demographic profile among patients attending a tertiary-care hospital in southern India-a descriptive study.,"Hemoglobinopathies and thalassemias are widely prevalent autosomal inherited recessive disorders of the structure and synthesis of hemoglobin, respectively. Given the regional heterogeneity of these disorders, this study was undertaken to elucidate the patterns and prevalence of these disorders from this region.","Dheebika Kuppusamy, Kolar Vishwanath Vinod, Rakhee Kar",2024
Evaluation of Genes and Molecular Pathways Involved in Pathogenesis of Sickle Cell Anemia: A Bioinformatics Analysis and Future Perspective.,Sickle cell disease (SCD) is one of the hematological disorders characterized by a defect in the structure and function of globin chains. Hereditary factors play an important role in the pathogenesis of SCD. We aimed to investigate the genes and pathways related to the pathogenesis of SCD.,"Reza Maddah, Sareh Etemad, Bahareh Shateri Amiri, Hajarossadat Ghaderi, Hamidreza Zarei, Ferdos Faghihkhorasani, Hadi Rezaeeyan",2024
Outcome of Pediatric Patients With Sickle Cell Anemia Admitted With Fever: A Retrospective Single-Center Study.,"Pediatric patients with sickle cell anemia (SCA) are known to have an increased susceptibility to infections, leading to a higher incidence of fever among this population. However, there is limited literature specifically focusing on the outcomes of pediatric SCA patients presenting to the emergency department (ED) or hospital with a primary diagnosis of fever.","Mohammed A Zolaly, Abeer Alharbi, Suhaylah Algrafi, Maryam Balkhair, Jumanah Aljohani, Marwah M Quordi, Lujain Alharbi, Waheed A Turkistani",2024
Changes in indicators of cerebral metabolic stress following treatment with voxelotor in children and adolescents with sickle cell anemia.,"Voxelotor is a small molecule that reduces the polymerization of sickle hemoglobin by increasing its affinity for oxygen. In patients with sickle cell anemia, it has been postulated that increasing hemoglobin-oxygen affinity could limit oxygen offloading from hemoglobin, causing an increase in cerebral metabolic stress. To investigate this hypothetical concern, we used multimodal brain imaging to define the effects of voxelotor on cerebral blood flow and oxygen extraction. We followed four patients for 2-5 months during and/or after voxelotor therapy. This study showed no observable increase in cerebral blood flow or oxygen extraction fraction during treatment.","Andrew M Heitzer, Ping Zou, Jason Hodges, Clark Brown, Mark Davis, Sandy Dixon, Robert J Ogg, Jeremie Estepp, Jane S Hankins, Ranganatha Sitaram, Clifford M Takemoto",2024
"Prevalence and associated risk factors of myocardial ischemia in children living with sickle cell anemia in Lagos, Nigeria.","Myocardial ischemia (MI) in children living with sickle cell anemia (SCA) is rarely reported. MI among children living with this disease could portend untoward outcomes on their quality of life and survival. This study evaluated the prevalence and associated risk factors of MI in children living with SCA during a vaso-occlusive crisis (VOC) compared with those with SCA who had no symptoms nor an MI in the past (those in ""steady state"") in Lagos, Nigeria. This comparative cross-sectional study was conducted over 10 months (between March and December 2019) among 250 children living with SCA aged 6 months-18 years (125 in VOC and 125 age and sex-matched controls in steady state). The assessment of MI was determined by measuring cardiac troponin T (cTnT) and electrocardiography (ECG). The prevalence of MI measuring cTnT alone in children with SCA during VOC and steady state was 42.4% and 23.2%, respectively. Comparatively, measuring ECG alone, the prevalence of MI in VOC and steady state was 40.8% and 20.8%, respectively. The prevalence of MI measuring cTnT and ECG in children with SCA in VOC and steady state was 38.4% and 20%, respectively. Older age, severity of pain, longer duration of illness, frequent crises per year, elevated white blood cells, and platelet count were significantly associated with MI in participants with SCA. However, with multivariate analysis, age, severity of pain, and elevated platelet counts remained significantly associated with the occurrence of MI. This study affirms the high prevalence of MI in children with SCA irrespective of the diagnostic criteria. Routine evaluation should be done in this cohort to avert MI-associated sequelae.","Oluwatoyin Adeniyi, Abideen Salako, Ogochukwu Sokunbi, Oluwatosin Odubela, Oladapo Aworanti, Christy Okoromah, Adebola Akinsulie",2024
Opioid Control for Patients With Sickle Cell Anemia in Emergency Departments in the Western Region of Saudi Arabia.,"Introduction Sickle cell anemia (SCA) affects the Saudi Arabian population significantly, with 4.2% carriers and 0.26% affected. Vaso-occlusive crises cause severe pain due to blood vessel blockage by sickled cells, leading to frequent emergency visits, where treatment includes the use of nonsteroidal anti-inflammatory drugs (NSAIDs), oxygen, and opioids. This study examines opioid use in managing SCA crises in Saudi emergency departments. Method A retrospective cross-sectional study in western Saudi Arabia surveyed board-certified emergency physicians (consultants, fellows, specialists) via the Sickle Cell Disease Implementation Consortium (SCDIC). Non-board-certified physicians and general practitioners were excluded. Data were gathered through structured surveys and supplemented by interviews. Results The study included 53 emergency physicians, mostly specialists (60.4%), with one to three years' experience, primarily from King Abdul Aziz University Hospital (28.3%) and King Abdullah Medical Complex (22.6%). While more than half of the participants felt adequately trained for SCA management, 20.8% faced challenges referring patients to case management programs. Major barriers included department overcrowding and the opioid epidemic. Conclusion The study reveals challenges in managing SCA in Saudi emergency departments, particularly with opioid use. Despite physician training, gaps in administrative support, medication access, and follow-up care persist. Institutional policies and opioid epidemic concerns restrict Schedule-II opioid prescriptions. Implementing a comprehensive opioid administration tracking system and standardizing protocols are crucial for enhancing patient outcomes. Future efforts should focus on improving resources and inter-institutional collaboration.","Mansoor Radwi, Wisam Jamal, Abrar A Aljubayri, Abdulrahman S Hassan, Haitham S Alamri, Osama A Alraddadi, Saeed Alghamdi, Abdualrahman T Alashari, Hisham A Rizk",2024
mARC1 Is the Main Contributor to Metabolic Reduction of <i>N</i>-Hydroxyurea.,"<i>N</i>-Hydroxyurea has been known since the 1960s as an antiproliferative drug and is used both in oncology and for treatment of hematological disorders such as sickle cell anemia where very high daily doses are administered. It is assumed that the cellular effect of <i>N</i>-hydroxyurea is caused by inhibition of ribonucleotide reductase, while alternative mechanisms, e.g., generation of nitric oxide, have also been proposed. Despite its many therapeutic applications, the metabolism of hydroxyurea is largely unexplored. The major elimination pathway of <i>N</i>-hydroxyurea is the reduction to urea. Since the mitochondrial amidoxime reducing component (mARC) is known for its <i>N</i>-reductive activity, we investigated the reduction of NHU by this enzyme system. This study presents <i>in vitro</i> and <i>in vivo</i> evidence that this reductive biotransformation is specifically mediated by the mARC1. Inactivation by mARC1 is a possible explanation for the high doses of NHU required for treatment.","Cathrin Klopp, Xiaomei Zhang, Morgan K Campbell, David Kvaskoff, Michel A Struwe, Curtis R Warren, Besnik Bajrami, Axel J Scheidig, Amanda K Jones, Bernd Clement",2024
The Association Between Sickle Cell Anemia and Cognitive Dysfunction: A Systematic Review.,"A kind of hemoglobinopathy known as sickle cell anemia (SCA) is characterized by aberrant hemoglobin molecules. The most frequent neurological side effects linked to SCA include neurocognitive dysfunction, asymptomatic cerebral infarction, and ischemic stroke. This study aims to investigate the relationship between SCA and cognitive dysfunction. We systematically searched electronic databases like PubMed, MEDLINE, Science Direct, and Scopus. Two independent reviewers screened and extracted data from eligible studies. Eighteen studies, including 2,457 participants in total and nearly half of them 1,151 (46.8%) were males, were included in our data. The prevalence of cognitive dysfunction in the adult population ranged from 11.5% to 70%. Cognitive dysfunction among adults was significantly associated with poorer educational status, reduced family income, decreased kidney function, older age, stroke history, and vasculopathy. The prevalence of cognitive dysfunction in children ranged from 10.2% to 68.2%. The decline in cognitive function among adults was significantly associated with children over the age of four, abnormal transcranial Doppler and previous stroke, school absence, age beyond 13, and increased BMI. Cognitive function deficiencies are a defining feature of SCA that affects people of all ages. These findings suggest that if cognitive decline is not slowed down, or better still, stopped, medical interventions targeting a variety of sequelae in this population will be ineffective. Future analyses of this population's cognition should evaluate the environmental and other biological variables.","Mohammed Alpakra, Nazim F Hamed, Zainab E Almakki, Esmaeel Al Bakrah",2024
Nitrosyl hemoglobin formation from nitrite in normal and sickle blood.,"Sickle cell anemia is caused by a single mutation in the gene encoding the beta subunit of hemoglobin. Due to this mutation, sickle cell hemoglobin (HbS) polymerizes under hypoxic conditions, decreasing red blood cell deformability and leading to multiple pathological effects that cause substantial morbidity and mortality. Several pre-clinical and human studies have demonstrated that the anion nitrite has potential therapeutic benefits for patients with sickle cell disease. Nitrite is reduced to nitric oxide (NO) by deoxygenated hemoglobin contributing to vasodilation, decreasing platelet activation, decreasing cellular adhesion to activated endothelium, and decreasing red cell hemolysis; all of which could ameliorate patient morbidities. Previous work on extracellular hemoglobin has shown that solution phase HbS reduces nitrite to NO faster than normal adult hemoglobin (HbA), while polymerized HbS reduces nitrite slower than HbA. In this work, we compared the rate of nitrite reduction to NO measured by the formation of nitrosyl hemoglobin in sickle and normal red blood cells at varying hemoglobin oxygen saturations. We found the overall rate of nitrite reduction between normal and sickle red blood cells was similar and confirmed this result under partially oxygenated conditions, but normal red blood cells reduced nitrite faster than sickle red blood cells under anoxia where HbS polymerization is maximal. These results are consistent with previous work using extracellular hemoglobin where the rate of reduction by solution phase HbS makes up for the slower reduction by polymer phase HbS under partially oxygenated conditions, but the polymer phase kinetics dominates in the complete absence of oxygen.","Laxman Poudel, Elmira Alipour, Silvie Suriany, Honglei Liu, Stephen R Baker, Thilini Karunarathna, Alex George, Jon Detterich, Daniel B Kim-Shapiro",2024
Delivery Aspects for Implementing siRNA Therapeutics for Blood Diseases.,"Hematological disorders result in significant health consequences, and traditional therapies frequently entail adverse reactions without addressing the root cause. A potential solution for hematological disorders characterized by gain-of-function mutations lies in the emergence of small interfering RNA (siRNA) molecules as a therapeutic option. siRNAs are a class of RNA molecules composed of double-stranded RNAs that can degrade specific mRNAs, thereby inhibiting the synthesis of underlying disease proteins. Therapeutic interventions utilizing siRNA can be tailored to selectively target genes implicated in diverse hematological disorders, including sickle cell anemia, β-thalassemia, and malignancies such as lymphoma, myeloma, and leukemia. The development of efficient siRNA silencers necessitates meticulous contemplation of variables such as the RNA backbone, stability, and specificity. Transportation of siRNA to specific cells poses a significant hurdle, prompting investigations of diverse delivery approaches, including chemically modified forms of siRNA and nanoparticle formulations with various biocompatible carriers. This review delves into the crucial role of siRNA technology in targeting and treating hematological malignancies and disorders. It sheds light on the latest research, development, and clinical trials, detailing how various pharmaceutical approaches leverage siRNA against blood disorders, mainly concentrating on cancers. It outlines the preferred molecular targets and physiological barriers to delivery while emphasizing the growing potential of various therapeutic delivery methods. The need for further research is articulated in the context of overcoming the shortcomings of siRNA in order to enrich discussions around siRNA's role in managing blood disorders and aiding the scientific community in advancing more targeted and effective treatments.","Saba Abbasi Dezfouli, Marcel E Michailides, Hasan Uludag",2024
