Title,Abstract,Authors,Publication Date
Effect of Nusinersen on Respiratory and Bulbar Function in Children with Spinal Muscular Atrophy: Correspondence.,,"Hinpetch Daungsupawong, Viroj Wiwanitkit",2024
Efficacy and safety of gene therapy with onasemnogene abeparvovec in children with spinal muscular atrophy in the D-A-CH-region: a population-based observational study.,"Real-world data on gene addition therapy (GAT) with onasemnogene abeparvovec (OA), including all age groups and with or without symptoms of the disease before treatment are needed to provide families with evidence-based advice and realistic therapeutic goals. Aim of this study is therefore a population-based analysis of all patients with SMA treated with OA across Germany, Austria and Switzerland (D-A-CH).","Claudia Weiß, Lena-Luise Becker, Johannes Friese, Astrid Blaschek, Andreas Hahn, Sabine Illsinger, Oliver Schwartz, Günther Bernert, Maja von der Hagen, Ralf A Husain, Klaus Goldhahn, Janbernd Kirschner, Astrid Pechmann, Marina Flotats-Bastardas, Gudrun Schreiber, Ulrike Schara, Barbara Plecko, Regina Trollmann, Veronka Horber, Ekkehard Wilichowski, Matthias Baumann, Andrea Klein, Astrid Eisenkölbl, Cornelia Köhler, Georg M Stettner, Sebahattin Cirak, Oswald Hasselmann, Angela M Kaindl, Sven F Garbade, Jessika Johannsen, Andreas Ziegler",2024
Treatment preferences in spinal muscular atrophy: A swing weighting study for caregivers of patients with SMA types 1 and 2.,"Spinal muscular atrophy (SMA) is a genetic neuromuscular disorder characterized by skeletal muscle weakness and atrophy. Patients with SMA types 1 and 2 develop severe disabilities conferring substantial patient and caregiver burden. Caregiver treatment characteristic preferences are useful for informing treatment choices and improving adherence. We aimed to identify drivers of SMA treatment preference from the perspective of caregivers of patients with SMA types 1 or 2 in the United States. We quantified the relative importance of different treatment characteristics and compared preferences for hypothetical treatment scenarios. Treatment attributes and attribute levels elicited were based on a literature search and interviews with caregivers and health care professionals. The most important treatment characteristics from the perspective of health care professionals and caregivers were identified and used in a survey to quantify relative importance for caregivers. Caregivers completed surveys regarding their preferences using swing weighting methodology. These results were used to estimate the relative value of four hypothetical SMA treatment scenarios exploring different modes of treatment administration. The swing weighting survey, completed by 20 caregivers, demonstrated that the attributes driving treatment preference were reduction in permanent ventilation needs and risk of severe adverse events, followed by treatment access (including cost coverage and availability), increased ability to sit without support, and less treatment administration burden. The hypothetical SMA treatment scenarios with the highest relative value offered an easier mode of administration, lowest risk of severe adverse events, less need of permanent ventilation, and highest ability of patients to feed and sit without support. Our findings suggest that caregivers prefer a treatment with reduced clinical burden and risk in which the cost is covered and treatment is available in the short term. These results can provide important contextual information for decision-makers and help promote patient-centered care for patients with SMA.","Anish Patel, Walter Toro, Siobhan Bourke, Yemi Oluboyede, Sylvaine Barbier, Nataliya Bogoeva, Sandra P Reyna, Omar Dabbous",2024
Clinicogenetic characterization and response to disease-modifying therapies in spinal muscular atrophy: real-world experience from a reference center in Southern Brazil.,Spinal Muscular Atrophy linked to chromosome 5q (SMA) is an autosomal recessive neurodegenerative disease characterized by progressive proximal muscle atrophy and weakness. This study addresses the scarcity of research on novel disease-modifying therapies for SMA in Latin America by reporting a real-world experience in Southern Brazil.,"Ana Letícia Amorim de Albuquerque, Júlia Kersting Chadanowicz, Isabela Possebon Bevilacqua, Ana Lucia Portella Staub, Pablo Brea Winckler, Patricia Zambone da Silva, Simone Chaves Fagondes, Renata Salatti Ferrari, Claudia Denise de Oliveira Trojahn, Viviane Zechlinski Sacharuk, Thayne Woycinck Kowalski, Karina Carvalho Donis, Michele Michelin Becker, Jonas Alex Morales Saute",2024
Experiences and the psychosocial situation of parental caregivers of children with spinal muscular atrophy against the background of new treatment options: a qualitative interview study.,"Spinal muscular atrophy is a rare neurodegenerative disorder in children which leads untreated to muscle wasting, respiratory impairments, and a shortened life expectancy. Parents as primary caregivers are often physically and psychologically burdened. In recent years, new and promising treatment options have been approved, but it remains unclear if they have an impact on the psychosocial situation of affected families.","Maja Brandt, Joenna Driemeyer, Jessika Johannsen, Jonas Denecke, Laura Inhestern, Corinna Bergelt",2024
Sm-site containing mRNAs can accept Sm-rings and are downregulated in Spinal Muscular Atrophy.,"Sm-ring assembly is important for the biogenesis, stability, and function of uridine-rich small nuclear RNAs (U snRNAs) involved in pre-mRNA splicing and histone pre-mRNA processing. Sm-ring assembly is cytoplasmic and dependent upon the Sm-site sequence and structural motif, ATP, and <i>Survival motor neuron</i> (SMN) protein complex. While RNAs other than U snRNAs were previously shown to associate with Sm proteins, whether this association follows Sm-ring assembly requirements is unknown. We systematically identified Sm-sites within the human and mouse transcriptomes and assessed whether these sites can accept Sm-rings. In addition to snRNAs, Sm-sites are highly prevalent in the 3' untranslated regions of long messenger RNAs. RNA immunoprecipitation experiments confirm that Sm-site containing mRNAs associate with Sm proteins in the cytoplasm. In modified Sm-ring assembly assays, Sm-site containing RNAs, from either bulk polyadenylated RNAs or those transcribed <i>in vitro</i> , specifically associate with Sm proteins in an Sm-site and ATP-dependent manner. In cell and animal models of Spinal Muscular Atrophy (SMA), mRNAs containing Sm-sites are downregulated, suggesting reduced Sm-ring assembly on these mRNAs may contribute to SMA pathogenesis. Together, this study establishes that Sm-site containing mRNAs can accept Sm-rings and identifies a novel mechanism for Sm proteins in regulation of cytoplasmic mRNAs.","Anton J Blatnik, Manu Sanjeev, Jacob Slivka, Benjamin Pastore, Caleb M Embree, Wen Tang, Guramrit Singh, Arthur H M Burghes",2024
"Acceptability, validity and responsiveness of inertial measurement units for assessing motor recovery after gene therapy in infants with early onset spinal muscular atrophy: a prospective cohort study.","Onasemnogene abeparvovec gene replacement therapy (GT) has changed the prognosis of patients with spinal muscular atrophy (SMA) with variable outcome regarding motor development in symptomatic patients. This pilot study evaluates acceptability, validity and clinical relevance of Inertial Measurement Units (IMU) to monitor spontaneous movement recovery in early onset SMA patients after GT.","R Barrois, B Tervil, M Cacioppo, C Barnerias, E Deladrière, V Leloup-Germa, A Hervé, L Oudre, D Ricard, P P Vidal, N Vayatis, S Quijano Roy, S Brochard, C Gitiaux, I Desguerre",2024
Taldefgrobep Alfa and the Phase 3 RESILIENT Trial in Spinal Muscular Atrophy.,"Spinal muscular atrophy (SMA) is a rare, genetic neurodegenerative disorder caused by insufficient production of survival motor neuron (SMN) protein. Diminished SMN protein levels lead to motor neuron loss, causing muscle atrophy and weakness that impairs daily functioning and reduces quality of life. SMN upregulators offer clinical improvements and increased survival in SMA patients, although significant unmet needs remain. Myostatin, a TGF-β superfamily signaling molecule that binds to the activin II receptor, negatively regulates muscle growth; myostatin inhibition is a promising therapeutic strategy for enhancing muscle. Combining myostatin inhibition with SMN upregulation, a comprehensive therapeutic strategy targeting the whole motor unit, offers promise in SMA. Taldefgrobep alfa is a novel, fully human recombinant protein that selectively binds to myostatin and competitively inhibits other ligands that signal through the activin II receptor. Given a robust scientific and clinical rationale and the favorable safety profile of taldefgrobep in patients with neuromuscular disease, the RESILIENT phase 3, randomized, placebo-controlled trial is investigating taldefgrobep as an adjunct to SMN upregulators in SMA (NCT05337553). This manuscript reviews the role of myostatin in muscle, explores the preclinical and clinical development of taldefgrobep and introduces the phase 3 RESILIENT trial of taldefgrobep in SMA.","Laurent Servais, Lindsey Lee Lair, Anne M Connolly, Barry J Byrne, Karen S Chen, Vlad Coric, Irfan Qureshi, Susan Durham, Daniel J Campbell, Grant Maclaine, Jackie Marin, Clifford Bechtold",2024
Oral functions in adult persons with spinal muscular atrophy compared to a healthy control group: a prospective cross-sectional study with a multimodal approach.,"Oral function tests have been shown to reliably detect impaired bulbar function in adults with spinal muscular atrophy (SMA). Although not routinely recorded, it is known that persons with SMA are affected to varying degrees. Detecting differences in bite and tongue force, endurance, and maximum mouth opening has become particularly promising since the introduction of causal therapy for SMA. This study aimed to compare oral function among adult persons with SMA with different SMA types, walking abilities, and treatment status to a healthy control group.","Teresa Kruse, Diana Leflerovà, Annette Cap, Sara Portegys, Brunhilde Wirth, Raoul Heller, Svenja Brakemeier, Tim Hagenacker, Bert Braumann, Gilbert Wunderlich",2024
Subjective Valuation of Screening for Spinal Muscular Atrophy and Analysis of its Influencing Factors: Evidence from Iran.,Spinal muscular atrophy is an inherited neurodegenerative disorder that typically leads to severe physical disability. The present study aimed to determine the subjective evaluation of this disorder screening and analyze its influencing factors in Iran.,"Majid Khosravi, Aziz Rezapour, Najmeh Moradi, Setare Nassiri Zeidi, Namamali Azadi",2024
