Title,Abstract,Authors,Publication Date
Eye is a window to systemic pathology: cherry-red spot to diagnose Tay-Sachs disease.,,"Jashandeep Singh, David Aggarwal",2024
Novel <i>HexA</i> splice site mutations in a patient with late atypical onset Tay-Sachs disease: importance of combined NGS and biochemical analysis.,"Tay-Sachs disease (TSD) is a rare genetic disorder with diverse clinical manifestations, often leading to underdiagnosis due to symptom similarities with other neurological conditions. In this study, we aimed to identify the genetic mutations underlying late-onset TSD in a 27-year-old patient with progressive neurological symptoms. Whole-exome sequencing revealed two <i>hexA</i> gene mutations associated with TSD: a previously known variant, c.805G > A (p.Gly269Ser), and a novel splice-site mutation, c.346 + 2dupT. Through clinical assessments, genetic analysis, and functional investigations-including RNA sequencing and enzymatic activity assays-we confirmed the pathogenicity of the novel mutation. Our findings highlight the efficacy of advanced genomic technologies in diagnosing intricate genetic disorders and emphasize the significance of functional validation to confirm the effects of mutations. Identifying compound heterozygous mutations in the <i>hexA</i> gene also provides insight into Mendelian inheritance patterns. This case highlights the diagnostic challenges posed by overlapping clinical phenotypes and emphasizes the need for increased genetic awareness among clinicians. Accurate diagnosis of TSD has significant implications for patients and their families, allowing for informed genetic counseling and guiding clinical management decisions. While current treatment options are limited, timely and accurate diagnosis holds promise for future research and therapeutic interventions. This study highlights the value of a multidisciplinary approach in exploring the molecular basis of complex genetic diseases and informing clinical decisions.","Alina Bilyalova, Elena Shagimardanova, Airat Bilyalov, Marina Zaripova, Leyla Shigapova, Guzel Gazizova, Pavel Mazin, Bukina Tatiana, Oleg Gusev",2024
Treating late-onset Tay Sachs disease: Brain delivery with a dual trojan horse protein.,"Tay-Sachs (TS) disease is a neurodegenerative disease resulting from mutations in the gene encoding the α-subunit (HEXA) of lysosomal β-hexosaminidase A (HexA). We report that (1) recombinant HEXA alone increased HexA activity and decreased GM2 content in human TS glial cells and peripheral mononuclear blood cells; 2) a recombinant chimeric protein composed of HEXA linked to two blood-brain barrier (BBB) entry elements, a transferrin receptor binding sequence and granulocyte-colony stimulating factor, associates with HEXB <i>in vitro</i>; reaches human cultured TS cells lysosomes and mouse brain cells, especially neurons, <i>in vivo</i>; lowers GM2 in cultured human TS cells; lowers whole brain GM2 concentration by approximately 40% within 6 weeks, when injected intravenously (IV) to adult TS-mutant mice mimicking the slow course of late-onset TS; and increases forelimbs grip strength. Hence, a chimeric protein equipped with dual BBB entry elements can transport a large protein such as HEXA to the brain, decrease the accumulation of GM2, and improve muscle strength, thereby providing potential treatment for late-onset TS.","Esther Osher, Yossi Anis, Ruth Singer-Shapiro, Nataly Urshanski, Tamar Unger, Shira Albeck, Oren Bogin, Gary Weisinger, Fortune Kohen, Avi Valevski, Aviva Fattal-Valevski, Liora Sagi, Michal Weitman, Yulia Shenberger, Nadav Sagiv, Ruth Navon, Meir Wilchek, Naftali Stern",2024
"Correction: Raha et al. Lipid-Lowering Drug Gemfibrozil Protects Mice from Tay-Sachs Disease via Peroxisome Proliferator-Activated Receptor α. <i>Cells</i> 2023, <i>12</i>, 2791.",Error in Figure 4 [...].,"Sumita Raha, Debashis Dutta, Ramesh K Paidi, Kalipada Pahan",2024
Immune responses to central nervous system directed adeno-associated virus gene therapy: Does direct CNS delivery make a difference?,"Adeno-associated virus (AAV) mediated gene therapy is a leading gene delivery platform with potential to transform the landscape of treatment for neurological disorders. While AAV is deemed non-immunogenic compared to other viral vectors, adverse immune reactions have been observed in the clinic, raising concerns. As the central nervous system (CNS) has a tightly regulated immune system, characterized by a degree of tolerance, it has been considered a unique target for AAV gene therapy. AAV vectors have shown promising results for the treatment of several CNS disorders including Spinal Muscular Atrophy, Giant Axonal Neuropathy, Amyotrophic Lateral Sclerosis, Tay Sachs Disease, Parkinson's Disease, and others, demonstrating safety and success. The Food and Drug Administration (FDA) approval of Zolgensma and European Medicines Agency (EMA) approval of Upstaza, for Spinal Muscular Atrophy (SMA) and Aromatic l-amino acid decarboxylase deficiency (AADC) respectively, represent this success, all while highlighting significant differences in immune responses to AAV, particularly with regards to therapeutic administration route. AAV therapies like Upstaza that are injected directly into the immune-specialized brain have been characterized by mild immune response profiles and minor adverse events, whereas therapies like Zolgensma that are injected systemically demonstrate more robust immune stimulation and off-target toxicities. Despite these contrasting parallels, these therapeutics and others in the clinic have demonstrated clinical benefit for patients, warranting further exploration of immune responses to CNS-directed AAV clinical trials. Thus, in this review, we discuss effects of different routes of AAV administration on eliciting local and peripheral immune responses specifically observed in CNS-targeted trials.","Ashley L Harkins, Prajakta P Ambegaokar, Allison M Keeler",2024
Burden of rare genetic disorders in India: twenty-two years' experience of a tertiary centre.,"Rare disorders comprise of ~ 7500 different conditions affecting multiple systems. Diagnosis of rare diseases is complex due to dearth of specialized medical professionals, testing labs and limited therapeutic options. There is scarcity of data on the prevalence of rare diseases in different populations. India being home to a large population comprising of 4600 population groups, of which several thousand are endogamous, is likely to have a high burden of rare diseases. The present study provides a retrospective overview of a cohort of patients with rare genetic diseases identified at a tertiary genetic test centre in India.","Jayesh Sheth, Aadhira Nair, Frenny Sheth, Manali Ajagekar, Tejasvi Dhondekar, Inusha Panigrahi, Ashish Bavdekar, Sheela Nampoothiri, Chaitanya Datar, Ajit Gandhi, Mamta Muranjan, Anupriya Kaur, Manisha Desai, Mehul Mistri, Chitra Patel, Premal Naik, Maulin Shah, Koumudi Godbole, Seema Kapoor, Neerja Gupta, Sunita Bijarnia-Mahay, Sandeep Kadam, Dhaval Solanki, Soham Desai, Anand Iyer, Ketan Patel, Harsh Patel, Raju C Shah, Shalmi Mehta, Ruchi Shah, Riddhi Bhavsar, Jhanvi Shah, Mili Pandya, Bhagyadhan Patel, Sudhir Shah, Heli Shah, Shalin Shah, Shruti Bajaj, Siddharth Shah, Nilam Thaker, Umesh Kalane, Mahesh Kamate, Vykunta Raju Kn, Naresh Tayade, Sujatha Jagadeesan, Deepika Jain, Mitesh Chandarana, Jitendra Singh, Sanjiv Mehta, Beena Suresh, Harsh Sheth",2024
Tandem mass spectrometric enzyme assay for simultaneous detection of Tay-Sachs and Sandhoff diseases in dried blood spots for newborn screening.,"GM2 gangliosidosis is a group of rare lysosomal storage disorders (LSDs) including Tay-Sachs disease (TSD) and Sandhoff disease (SD), caused by deficiency in activity of either β-hexosaminidase A (HexA) or both β-hexosaminidase A and β-hexosaminidase B (HexB). Methods for screening and diagnosis of TSD and SD include measurement and comparison of the activity of these two enzymes. Here we report a novel method for duplex screening of dried blood spots (DBS) for TSD and SD by liquid chromatography-tandem mass spectrometry (LC-MS/MS). The method requires incubation of a single 3 mm DBS punch with the assay cocktail followed by the injection into the LC-MS/MS. The performance of the method was evaluated by comparing the confirmed TSD and SD patient DBS to random healthy newborn DBS which showed easy discrimination between the three cohorts. The method is multiplexable with other LSD MS/MS enzyme assays which is critical to the continued expansion of the NBS panels.","Zackary M Herbst, Stephan Hold, Michael H Gelb, Hamid Khaledi",2024
Clinical outcome assessments of disease burden and progression in late-onset GM2 gangliosidoses.,"The late-onset GM2 gangliosidoses, comprising late-onset Tay-Sachs and Sandhoff diseases, are rare, slowly progressive, neurogenetic disorders primarily characterized by neurogenic weakness, ataxia, and dysarthria. The aim of this longitudinal study was to characterize the natural history of late-onset GM2 gangliosidoses using a number of clinical outcome assessments to measure different aspects of disease burden and progression over time, including neurological, functional, and quality of life, to inform the design of future clinical interventional trials. Patients attending the United States National Tay-Sachs & Allied Diseases Family Conference between 2015 and 2019 underwent annual clinical outcome assessments. Currently, there are no clinical outcome assessments validated to assess late-onset GM2 gangliosidoses; therefore, instruments used or designed for diseases with similar features, or to address various aspects of the clinical presentations, were used. Clinical outcome assessments included the Friedreich's Ataxia Rating Scale, the 9-Hole Peg Test, and the Assessment of Intelligibility of Dysarthric Speech. Twenty-three patients participated in at least one meeting visit (late-onset Tay-Sachs, n = 19; late-onset Sandhoff, n = 4). Patients had high disease burden at baseline, and scores for the different clinical outcome assessments were generally lower than would be expected for the general population. Longitudinal analyses showed slow, but statistically significant, neurological progression as evidenced by worsening scores on the 9-Hole Peg Test (2.68%/year, 95% CI: 0.13-5.29; p = 0.04) and the Friedreich's Ataxia Rating Scale neurological examination (1.31 points/year, 95% CI: 0.26-2.35; p = 0.02). Time since diagnosis to study entry correlated with worsening scores on the 9-Hole Peg Test (r = 0.728; p < 0.001), Friedreich's Ataxia Rating Scale neurological examination (r = 0.727; p < 0.001), and Assessment of Intelligibility of Dysarthric Speech intelligibility (r = -0.654; p = 0.001). In summary, patients with late-onset GM2 gangliosidoses had high disease burden and slow disease progression. Several clinical outcome assessments suitable for clinical trials showed only small changes and standardized effect sizes (change/standard deviation of change) over 4 years. These longitudinal natural history study results illustrate the challenge of identifying responsive endpoints for clinical trials in rare, slowly progressive, neurogenerative disorders where arguably the treatment goal is to halt or decrease the rate of decline rather than improve clinical status. Furthermore, powering such a study would require a large sample size and/or a long study duration, neither of which is an attractive option for an ultra-rare disease with no available treatment. These findings support the development of potentially more sensitive late-onset GM2 gangliosidoses-specific rating instruments and/or surrogate endpoints for use in future clinical trials.","Julie Kissell, Camille Rochmann, Pascal Minini, Florian Eichler, Christopher D Stephen, Heather Lau, Camilo Toro, Jean M Johnston, Robert Krupnick, Alaa Hamed, Gerald F Cox",2024
"Cinnamic acid, a natural plant compound, exhibits neuroprotection in a mouse model of Sandhoff disease via PPARα.","Tay-Sachs disease (TSD) and its severe form Sandhoff disease (SD) are autosomal recessive lysosomal storage metabolic disorders, which often result into excessive GM2 ganglioside accumulation predominantly in lysosomes of nerve cells. Although patients with these diseases appear normal at birth, the progressive accumulation of undegraded GM2 gangliosides in neurons leads to early death accompanied by manifestation of motor difficulties and gradual loss of behavioral skills. Unfortunately, there is still no effective treatment available for TSD/SD. The present study highlights the importance of cinnamic acid (CA), a naturally occurring aromatic fatty acid present in a number of plants, in inhibiting the disease process in a transgenic mouse model of SD. Oral administration of CA significantly attenuated glial activation and inflammation and reduced the accumulation of GM2 gangliosides/glycoconjugates in the cerebral cortex of Sandhoff mice. Besides, oral CA also improved behavioral performance and increased the survival of Sandhoff mice. While assessing the mechanism, we found that oral administration of CA increased the level of peroxisome proliferator-activated receptor α (PPARα) in the brain of Sandhoff mice and that oral CA remained unable to reduce glycoconjugates, improve behavior and increase survival in Sandhoff mice lacking PPARα. Our results indicate a beneficial function of CA that utilizes a PPARα-dependent mechanism to halt the progression of SD and thereby increase the longevity of Sandhoff mice.","Sumita Raha, Ramesh K Paidi, Debashis Dutta, Kalipada Pahan",2024
Eukaryotic release factor 1 from Euplotes promotes frameshifting at premature stop codons in human cells.,"Human physiology is highly susceptible to frameshift mutations within coding regions, and many hereditary diseases and cancers are caused by such indels. Presently, therapeutic options to counteract them are limited and, in the case of direct genome editing, risky. Here, we show that release factor 1 (eRF1) from Euplotes, an aquatic protist known for frequent +1 frameshifts in its coding regions, can enhance +1 ribosomal frameshifting at slippery heptameric sequences in human cells without an apparent requirement for an mRNA secondary structure. We further show an increase in frameshifting rate at the premature termination sequence found in the HEXA gene of Tay-Sachs disease patients, or a breast cancer cell line that harbors a tumor-driving frameshift mutation in GATA3. Although the overall increase in frameshifting would need further improvement for clinical applications, our results underscore the potential of exogenous factors, such as Eu eRF1, to increase frameshifting in human cells.","Bozhidar-Adrian Stefanov, Elvis Ajuh, Sarah Allen, Mariusz Nowacki",2024
Real-time ultrasound-guided segmental bronchoscopic insufflation in a Tay-Sachs patient with atelectasis.,,"Matej Šapina, Bojana Olujic, Tihana Nađ, Hrvoje Vinkovic, Zdravka Krivdić Dupan, Nikolina Hamidović, Mia Damašek, Krešimir Milas, Željko Zubčić, Ivan Erić",2024
CRISPR-Based Gene Editing Techniques in Pediatric Neurological Disorders.,"The emergence of gene editing technologies offers a unique opportunity to develop mutation-specific treatments for pediatric neurological disorders. Gene editing systems can potentially alter disease trajectory by correcting dysfunctional mutations or therapeutically altering gene expression. Clustered regularly interspaced short palindromic repeats (CRISPR)-based approaches are attractive gene therapy platforms to personalize treatments because of their specificity, ease of design, versatility, and cost. However, many such approaches remain in the early stages of development, with ongoing efforts to optimize editing efficiency, minimize unintended off-target effects, and mitigate pathologic immune responses. Given the rapid evolution of CRISPR-based therapies, it is prudent for the clinically based child neurologist to have a conceptual understanding of what such therapies may entail, including both benefits and risks and how such therapies may be clinically applied. In this review, we describe the fundamentals of CRISPR-based therapies, discuss the opportunities and challenges that have arisen, and highlight preclinical work in several pediatric neurological diseases.","Stephen Chrzanowski, Ranjan Batra",2024
