Title,Abstract,Authors,Publication Date
EVALUATION OF PROTEIN C AND S IN Β-THALASSEMIA MAJOR.,"Beta-thalassemia major is a genetic disease characterized by formation of little or no beta-globin chain, leading to premature death of red blood cells and hence to ineffective erythropoiesis. Aim of this study to evaluate Protein C and Protein S in patient with beta-thalassemia major and its correlation with haemoglobin, serum ferritin, D. dimer, prothrombin time and liver enzymes.","A Ali, M Kashmoola",2024
Screening for hemoglobin disorders and investigating their hematological and demographic profile among patients attending a tertiary-care hospital in southern India-a descriptive study.,"Hemoglobinopathies and thalassemias are widely prevalent autosomal inherited recessive disorders of the structure and synthesis of hemoglobin, respectively. Given the regional heterogeneity of these disorders, this study was undertaken to elucidate the patterns and prevalence of these disorders from this region.","Dheebika Kuppusamy, Kolar Vishwanath Vinod, Rakhee Kar",2024
Exploring alterations of gut/blood microbes in addressing iron overload-induced gut dysbiosis and cognitive impairment in thalassemia patients.,"Iron overload causes cognitive impairment in thalassemia patients. The gut-brain axis plays an important role in cognitive function. However, the association between gut/blood microbiome, cognition, and iron burden in thalassemia patients has not been thoroughly investigated. We aimed to determine those associations in thalassemia patients with different blood-transfusion regimens. Sixty participants: healthy controls, transfusion-dependent thalassemia (TDT) patients, and non-transfusion-dependent (NTDT) patients, were recruited to evaluate iron overload, cognition, and gut/blood microbiome. TDT patients exhibited greater iron overload than NTDT patients. Most thalassemia patients developed gut dysbiosis, and approximately 25% of the patients developed minor cognitive impairment. Increased Fusobacteriota and Verrucomicrobiota with decreased Fibrobacterota were observed in both TDT and NTDT groups. TDT patients showed more abundant beneficial bacteria: Verrucomicrobia. Iron overload was correlated with cognitive impairment. Increased Butyricimonas and decreased Paraclostridium were associated with higher cognitive function. No trace of blood microbiota was observed. Differences in blood bacterial profiles of thalassemia patients and controls were insignificant. These findings suggest iron overload plays a role in the imbalance of gut microbiota and impaired cognitive function in thalassemia patients. Harnessing probiotic potential from those microbes could prevent the gut-brain disturbance in thalassemia patients.","Kanokphong Suparan, Kornkanok Trirattanapa, Pokpong Piriyakhuntorn, Sirawit Sriwichaiin, Chanisa Thonusin, Wichwara Nawara, Sasiwan Kerdpoo, Nipon Chattipakorn, Adisak Tantiworawit, Siriporn C Chattipakorn",2024
Impact of Empagliflozin on the Outcomes of β-Thalassemia Major in Patients With Type 2 Diabetes Mellitus: The THALEMPA Observational Study.,"Beta-thalassemia major (β-TM) is a genetic disorder characterized by ineffective erythropoiesis and chronic hemolytic anemia, necessitating lifelong blood transfusions and leading to severe complications. This study, termed THALEMPA by the authors, investigated the effect of empagliflozin (EMPA) on β-TM outcomes in patients with type 2 diabetes mellitus (T2DM), focusing on disease severity and associated complications of iron overload and hyperuricemia.","Anas Ibraheem, Waseem F Al Tameemi",2024
Acute disseminated encephalomyelitis (ADEM) in a patient with post streptococcal glomerulonephritis (PSGN): A case report.,Concurrent recurrence of acute disseminated encephalomyelitis (ADEM) and poststreptococcal glomerulonephritis (PSGN) in a thalassemia intermedia patient is rare and underscores the complexity of autoimmune disorders. This case emphasizes the importance of considering ADEM in the differential diagnosis of children presenting with PSGN accompanied by neurological symptoms.,"Aftab Ahmed, Anum Akbar, Digbijay Kunwar, Fena Mehta",2024
Prevalence and Molecular Characterization of β-Thalassemia in Kirkuk Province of Northern Iraq.,"To determine the prevalence and molecular basis of β-thalassemia in the Northeastern Iraqi province of Kirkuk, a total of 3954 individuals attending the provincial premarital screening center were recruited. The prevalence of β-thalassemia minor among the screened individuals was found to be 3.0%, while those of Hemoglobin E, and δβ-thalassemia carrier states were 0.05%, and 0.03% respectively. Molecular characterization of the β-thalassemia mutations was achieved by multiplex PCR and reverse hybridization, followed by next generation sequencing for those left uncharacterized by the former technique. Among 19 β-thalassemia mutations identified, seven were the most frequent, namely: IVS-II-1 (G > A), codon 8/9 (+G), IVS-I-6 (T > C), IVS-I-110 (G > A), IVS-I-I (G > A), IVS-I-5 (G > C) and codon 44 (-C) accounting for 78.5% of the mutations. This study further illustrates the heterogeneity of the spectrum of β-thalassemia in different parts of Iraq, and provides an essential step to facilitate prenatal diagnosis in the setting of a future national thalassemia prevention program.","Raghad A Abbas, Riyad H Hassan, Israa M Taghlubee, Safaa I Mohammed, Huda H Mohammed, Hanan H Hasan, Ashwaq T Judi, Luqman S Ali, Wisam J Mohammed, Hiba M Shihab, Thamir A Hussein, Nawras A Al-Kareem, Meaad K Hassan, Nasir Al-Allawi",2024
"The roles of blood picture, haemoglobinopathy traits, and blood groups determined in routine antenatal tests in the screening for complications in pregnancy.","Routine antenatal tests include haemoglobin measurement, usually with red blood cell indices, white cell and platelet counts, and ABO and Rhesus blood groups, are aimed to screen for iron deficiency anaemia, carriage of haemoglobinopathy traits, and other forms of anaemia or other underlying but undiagnosed conditions. Iron deficiency anaemia has been associated with most of the common pregnancy complications including pre-eclampsia, preterm birth, antepartum and postpartum haemorrhage, low birthweight and small-for-gestational age infants, and impacts long-term neurocognitive and developmental outcomes in the offspring. Increased adverse pregnancy and perinatal outcomes are also found with high haemoglobin, thalassaemia and sickle cell traits, and the non-O blood groups especially group AB. Total white cell, neutrophil, and platelet counts and platelet indices can help to predict gestational diabetes mellitus. Results from these tests can be useful by themselves or used in combination with demographics and biomarkers to enhance the screening for high-risk pregnancies.",Terence T Lao,2024
Prevalence of thalassaemia among childbearing-age Li and Han populations in Hainan Province.,Accurate epidemiological data are crucial for effective disease prevention and treatment. We conducted a large-scale survey to explore the thalassaemia prevalence and spectrum among the two major ethnic groups in Hainan Province.,"Fangchao Tao, Yanquan Lai, Jiaqi Chen, Shijie Wei, Yu Zou, Yunli Lai, Qiongzhen Qin, Yufeng Wang, Wanjun Zhou",2024
The epidemiology of very severe anaemia in sickle cell disease in Tanzania: a prospective cohort study.,"Anaemia in sickle cell disease (SCD) is a significant cause of morbidity and mortality, but few studies have reported on the burden and outcome of very severe anaemia. This study described the epidemiology of very severe anaemia by determining the prevalence and incidence, investigating associated clinical and laboratory factors, and assessing outcomes in SCD.","Julie Makani, Upendo Masamu, Furahini Tluway, Raphael Z Sangeda, Deogratius Soka, Elisha Osati, Christine Kindole, Sharon E Cox, Josephine Mgaya, Sigfrid C Shayo, Abel Makubi, Emmanuel Balandya, Bruno P Mmbando",2024
"A Comparison between Serum 25-Hydroxyvitamin D3 Levels and Serum Ferritin in Children and Adolescents with Iron Deficiency Anemia, Thalassemia Minor, Thalassemia Major and Healthy People.",We aimed to determine the level of serum vitamin D and serum ferritin in four groups' children and adolescents.,"Akram Hemmatipour, Bijan Kikhaei, Razieh Jalkani, Mansour Ahmadnejad, Farhad Soleimanzadeh, Dariush Rokhafrooz",2024
