Title,Abstract,Authors,Publication Date
Colorectal Polyps in Tuberous Sclerosis- A Rare Occurrence in Pediatrics.,,"Varun Kumar, Karunesh Kumar, Anupam Sibal, Hitendra Garg",2024
DYRK1A interacts with the tuberous sclerosis complex and promotes mTORC1 activity.,"DYRK1A, a ubiquitously expressed kinase<i>,</i> is linked to the dominant intellectual developmental disorder, microcephaly, and Down syndrome in humans. It regulates numerous cellular processes such as cell cycle, vesicle trafficking, and microtubule assembly. DYRK1A is a critical regulator of organ growth; however, how it regulates organ growth is not fully understood. Here, we show that the knockdown of <i>DYRK1A</i> in mammalian cells results in reduced cell size, which depends on mTORC1. Using proteomic approaches, we found that DYRK1A interacts with the tuberous sclerosis complex (TSC) proteins, namely TSC1 and TSC2, which negatively regulate mTORC1 activation. Furthermore, we show that DYRK1A phosphorylates TSC2 at T1462, a modification known to inhibit TSC activity and promote mTORC1 activity. We also found that the reduced cell growth upon knockdown of DYRK1A can be rescued by overexpression of RHEB, an activator of mTORC1. Our findings suggest that DYRK1A inhibits TSC complex activity through inhibitory phosphorylation on TSC2, thereby promoting mTORC1 activity. Furthermore, using the <i>Drosophila</i> neuromuscular junction as a model, we show that the <i>mnb,</i> the fly homologs of <i>DYRK1A</i>, is rescued by RHEB overexpression, suggesting a conserved role of <i>DYRK1A</i> in TORC1 regulation.","Pinhua Wang, Sunayana Sarkar, Menghuan Zhang, Tingting Xiao, Fenhua Kong, Zhe Zhang, Deepa Balasubramanian, Nandan Jayaram, Sayantan Datta, Ruyu He, Ping Wu, Peng Chao, Ying Zhang, Michael Washburn, Laurence A Florens, Sonal Nagarkar-Jaiswal, Manish Jaiswal, Man Mohan",2024
Recent Advances in Pharmacologic Treatments of Drug-Resistant Epilepsy: Breakthrough in Sight.,"Epilepsy affects approximately 1% of the world population. Patients have recurrent seizures, increased physical and psychiatric comorbidities, and higher mortality rate than the general population. Over the last 40 years, research has resulted in 20 new antiseizure medications (ASMs) approved between 1990 and 2018. In spite of this, up to one-third of patients (~ 1 million patients in the USA) have drug-resistant epilepsy (DRE), with little change between 1982 and 2018, a period of intense new ASM development. A minority of patients with DRE may benefit from surgical treatment, but this specialized care remains challenging to scale. Therefore, the greatest hope for breakthroughs for patients with DRE is in pharmacologic therapies. Recently, several advances promise to change the outcomes for patients with DRE. Cenobamate, a drug with dual mechanisms of modulating sodium channel currents and GABA-A receptors, achieves 90-100% seizure reduction in 25-33% of patients with focal DRE, a response not observed with other ASMs. Fenfluramine, a serotonin-acting drug, dramatically reduces the frequency of convulsive seizures in Dravet syndrome, a devastating developmental epileptic encephalopathy with severe DRE. Both drugs reduce mortality. In addition, the possibility of DRE prevention was recently raised in patients with tuberous sclerosis complex, a relatively common genetic form of epilepsy. A paradigm shift is emerging in the treatment of epilepsy. Seizure freedom has become attainable in a significant proportion of patients with focal DRE, and dramatic seizure reduction has been achieved in a developmental encephalopathy. Coupled with a rich pipeline of new compounds under clinical development, the long sought-after breakthrough in the treatment of epilepsy may finally be in sight.","Pavel Klein, Daniel Friedman, Patrick Kwan",2024
Identification of a novel TSC1 variant in a family with developmental and epileptic encephalopathies: A case report and literature review.,"Tuberous sclerosis (TSC) is an autosomal dominant neurocutaneous syndrome resulting from mutations in the tumor suppressor genes TSC1 and TSC2. Unfortunately, the absence of accurate diagnosis has significantly impacted the well-being of both patients and their families. Furthermore, the pathogenicity of numerous variants remains unverified, which could potentially result in misinterpretation of their functional implications.","Chao Wang, Jin-Xia Zhai, Yong-Jun Chen",2024
Cenobamate's Efficacy for Seizure Treatment in Tuberous Sclerosis Complex.,"Epilepsy is prevalent, and seizure control is challenging in patients with tuberous sclerosis complex (TSC). Cenobamate (CBM) has proven efficacy in several studies; however, its benefit in the TSC population is not known.","Gewalin Aungaroon, Alexander Cooke, David Ritter, Darcy Krueger, Paul Horn, David N Franz",2024
Longitudinal multi-omics reveals pathogenic <i>TSC2</i> variants disrupt developmental trajectories of human cortical organoids derived from Tuberous Sclerosis Complex.,"Tuberous Sclerosis Complex (TSC), an autosomal dominant condition, is caused by heterozygous mutations in either the <i>TSC1</i> or <i>TSC2</i> genes, manifesting in systemic growth of benign tumors. In addition to brain lesions, neurologic sequelae represent the greatest morbidity in TSC patients. Investigations utilizing <i>TSC1/2</i> -knockout animal or human stem cell models suggest that TSC deficiency-causing hyper-activation of mTOR signaling might precipitate anomalous neurodevelopmental processes. However, how the pathogenic variants of <i>TSC1/2</i> genes affect the longitudinal trajectory of human brain development remains largely unexplored. Here, we employed 3-dimensional cortical organoids derived from induced pluripotent stem cells (iPSCs) from TSC patients harboring <i>TSC2</i> variants, alongside organoids from age- and sex-matched healthy individuals as controls. Through comprehensively longitudinal molecular and cellular analyses of TSC organoids, we found that <i>TSC2</i> pathogenic variants dysregulate neurogenesis, synaptogenesis, and gliogenesis, particularly for reactive astrogliosis. The altered developmental trajectory of TSC organoids significantly resembles the molecular signatures of neuropsychiatric disorders, including autism spectrum disorders, epilepsy, and intellectual disability. Intriguingly, single cell transcriptomic analyses on TSC organoids revealed that <i>TSC2</i> pathogenic variants disrupt the neuron/reactive astrocyte crosstalk within the NLGN-NRXN signaling network. Furthermore, cellular and electrophysiological assessments of TSC cortical organoids, along with proteomic analyses of synaptosomes, demonstrated that the <i>TSC2</i> variants precipitate perturbations in synaptic transmission, neuronal network activity, mitochondrial translational integrity, and neurofilament formation. Notably, similar perturbations were observed in surgically resected cortical specimens from TSC patients. Collectively, our study illustrates that disease-associated <i>TSC2</i> variants disrupt the neurodevelopmental trajectories through perturbations of gene regulatory networks during early cortical development, leading to mitochondrial dysfunction, aberrant neurofilament formation, impaired synaptic formation and neuronal network activity.","Weibo Niu, Shaojun Yu, Xiangru Li, Zhen Wang, Rui Chen, Christina Michalski, Arman Jahangiri, Youssef Zohdy, Joshua J Chern, Ted J Whitworth, Jianjun Wang, Jie Xu, Ying Zhou, Zhaohui Qin, Bingshan Li, Michael J Gambello, Junmin Peng, Zhexing Wen",2024
Subependymal Giant Cell Astrocytoma: The Molecular Landscape and Treatment Advances.,"Subependymal giant cell astrocytoma (SEGA) is most often found in patients with TSC (Tuberous Sclerosis Complex). Although it has been classified as a benign tumor, it may create a serious medical problem leading to grave consequences, including young patient demise. Surgery and chemotherapy belong to the gold standard of treatment. A broader pharmacological approach involves the ever-growing number of rapalogs and ATP-competitive inhibitors, as well as compounds targeting other kinases, such as dual PI3K/mTOR inhibitors and CK2 kinase inhibitors. Novel approaches may utilize noncoding RNA-based therapeutics and are extensively investigated to this end. The purpose of our review was to characterize SEGA and discuss the latest trends in the diagnosis and therapy of this disease.","Emanuela Pucko, Dorota Sulejczak, Robert P Ostrowski",2024
Cannabinoids and Genetic Epilepsy Models: A Review with Focus on CDKL5 Deficiency Disorder.,"Pediatric genetic epilepsies, such as CDKL5 Deficiency Disorder (CDD), are severely debilitating, with early-onset seizures occurring more than ten times daily in extreme cases. Existing antiseizure drugs frequently prove ineffective, which significantly impacts child development and diminishes the quality of life for patients and caregivers. The relaxation of cannabis legislation has increased research into potential therapeutic properties of phytocannabinoids such as cannabidiol (CBD) and Δ9-tetrahydrocannabinol (THC). CBD's antiseizure properties have shown promise, particularly in treating drug-resistant genetic epilepsies associated with Lennox-Gastaut syndrome (LGS), Dravet syndrome (DS), and Tuberous Sclerosis Complex (TSC). However, specific research on CDD remains limited. Much of the current evidence relies on anecdotal reports of artisanal products lacking accurate data on cannabinoid composition. Utilizing model systems like patient-derived iPSC neurons and brain organoids allows precise dosing and comprehensive exploration of cannabinoids' pharmacodynamics. This review explores the potential of CBD, THC, and other trace cannabinoids in treating CDD and focusing on clinical trials and preclinical models to elucidate the cannabinoid's potential mechanisms of action in disrupted CDD pathways and strengthen the case for further research into their potential as anti-epileptic drugs for CDD. This review offers an updated perspective on cannabinoid's therapeutic potential for CDD.","Sean Massey, Anita Quigley, Simone Rochfort, John Christodoulou, Nicole J Van Bergen",2024
Effectiveness of vigabatrin for infantile epileptic spasm syndrome categorized by etiologies.,We aimed to assess the effectiveness of vigabatrin (VGB) in patients diagnosed with infantile epileptic spasm syndrome (IESS) and categorize these patients based on their etiologies.,"Hirokazu Takeuchi, Kenjiro Kikuchi, Rikako Takeda, Yuko Hirata, Ryuki Matsuura, Reiko Koichihara, Daiju Oba, Hirofumi Ohashi, Shin-Ichiro Hamano",2024
Multisystem diseases in the abdomen and pelvis: imaging manifestations and diagnostic roles of cross-sectional imaging.,"Systemic diseases, such as IgG4-related disease, sarcoidosis, and amyloidosis, usually involve multiple systems or organs simultaneously or sequentially. The gastrointestinal tract, hepatobiliary system, and genitourinary tract are commonly involved in many multisystem diseases and can also be the first sites with disease involvement. Cross-sectional imaging, such as CT and MR, plays an important role in the diagnosis and management of multisystem diseases by aiding in the evaluation of multiorgan involvement. Here, common imaging features of frequently affected organs are reviewed in multisystem diseases that we often encounter in the abdomen and pelvis, and the diagnostic roles of cross-sectional imaging for these diseases are also discussed.","Mi Hye Yu, Young Jun Kim, Sungeun Park, Hee Sun Park, Sung Il Jung",2024
