text,chunk_id,title,publication_date,authors,disease
Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis This case report presents a comprehensive evaluation of the complex balance of therapeutic benefits and potential risks associated with the cystic fibrosis transmembrane conductance regulator (CFTR) modulator elexacaftor/tezacaftor/ivacaftor (ETI) therapy in managing an eight-year-old male with cystic fibrosis (CF) and exocrine,0_0,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
"male with cystic fibrosis (CF) and exocrine pancreatic insufficiency (EPI). While ETI therapy significantly enhanced exocrine pancreatic function, it led to hepatotoxicity, necessitating therapy discontinuation. Attempts to restart ETI at reduced doses were unsuccessful due to persistent hepatic dysfunction. Reduced ETI dosing frequency, implemented due to hepatic dysfunctions, did not result in substantial therapeutic benefits. Clinical markers showed a resurgence of severe EPI and sustained need for",0_1,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
"a resurgence of severe EPI and sustained need for gastrostomy tube feeds, with only modest improvement in hepatic function compared to the period following ETI cessation or during prior use of CFTR modulator therapy with lumacaftor/ivacaftor. This case underscores the importance of personalized therapeutic approaches, biomarker-guided monitoring, and multidisciplinary insights to optimize CF management while also highlighting the ongoing need for research to mitigate hepatotoxicity risks and ensure",0_2,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
"to mitigate hepatotoxicity risks and ensure long-term therapeutic efficacy. Cystic fibrosis (CF) is a prevalent autosomal-recessive disorder caused by mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene, affecting more than 30,000 individuals in the United States and over 160,000 globally, based on estimates (<xref rid=""B1"" ref-type=""bibr"">1</xref>). CF has multi-organ implications, particularly impacting the respiratory, digestive, and hepatic systems due to absent or",0_3,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
"digestive, and hepatic systems due to absent or defective CFTR protein function (<xref rid=""B2"" ref-type=""bibr"">2</xref>). Approximately 85% of people with CF develop exocrine pancreatic insufficiency (EPI) at an early age, accounting for significant morbidity (<xref rid=""B3"" ref-type=""bibr"">3</xref>). Poorly controlled EPI leads to malnutrition with poor weight gain, impacting pulmonary function and overall health outcomes (<xref rid=""B4"" ref-type=""bibr"">4</xref>). Fecal pancreatic elastase-1 (FE-1)",0_4,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
"Fecal pancreatic elastase-1 (FE-1) measurement is the most widely used indirect test to assess EPI, with values less than 200 µg/g of stool consistent with EPI (<xref rid=""B5"" ref-type=""bibr"">5</xref>). Recent advances in CF care have dramatically transformed both the diagnosis and treatment of the disease. Newborn screening has been crucial in revolutionizing CF diagnosis, allowing for pre-symptomatic early detection and alleviating the distressing diagnostic journeys that many patients and families",0_5,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
"journeys that many patients and families previously experienced (<xref rid=""B6"" ref-type=""bibr"">6</xref>). Early diagnosis enables timely interventions that can mitigate disease progression from infancy, leading to improved clinical outcomes (<xref rid=""B6"" ref-type=""bibr"">6</xref>). On the treatment side, significant advancements have been the development of CFTR modulator therapies that directly target defective CFTR (<xref rid=""B7"" ref-type=""bibr"">7</xref>). These CFTR therapies enhance chloride ion",0_6,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
"These CFTR therapies enhance chloride ion transport across epithelial surfaces, including in the pancreatic ducts, which may ameliorate EPI signs and symptoms (<xref rid=""B8"" ref-type=""bibr"">8</xref>). CFTR modulator therapy has made it possible for some people with CF to experience improvement in FE-1, suggesting an improvement in their exocrine pancreatic function. Recent studies have shown that the CFTR modulator elexacaftor/tezacaftor/ivacaftor (ETI) can enhance and restore exocrine pancreatic function",0_7,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
"enhance and restore exocrine pancreatic function in children with CF, as evidenced by changes in FE-1 levels (<xref rid=""B9"" ref-type=""bibr"">9</xref>–<xref rid=""B12"" ref-type=""bibr"">12</xref>). While these modulators, such as ETI, show promise in restoring pancreatic function, they also carry risks of hepatotoxicity (<xref rid=""B13"" ref-type=""bibr"">13</xref>). This case report examines the complexities of ETI therapy in managing a pediatric patient with CF, focusing on the balance between improved",0_8,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
"with CF, focusing on the balance between improved pancreatic function and hepatotoxicity. The findings highlight the need for patient-specific treatment strategies and provide insights into the complexities of CFTR modulators, emphasizing the careful balance between therapeutic benefits and potential risks. Our patient is an eight-year-old male with CF. At birth, the newborn screen revealed elevated immunoreactive trypsinogen and genetic testing confirmed two pathogenic CF mutations in the CFTR gene",0_9,Case Report: A delicate equilibrium of exocrine pancreatic recovery and hepatotoxicity with elexacaftor/tezacaftor/ivacaftor therapy in a pediatric patient with cystic fibrosis,23 10 2024,,Cystic_Fibrosis
