text,chunk_id,title,publication_date,authors,disease
"Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience Duchenne muscular dystrophy (DMD) is a severe, progressive disorder affecting skeletal and cardiac muscle, presenting in 2-3 years old boys with waddling gait, frequent falls, or difficulties in climbing stairs. Delayed motor milestones, speech delay, muscle weakness, hypertrophic calves and Gowers sign should raise the suspicion of DMD. Although not all",0_0,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
"raise the suspicion of DMD. Although not all patients with DMD are the same, its evolution over time is predictable, and consists in a stepwise functional loss in the motor, cardiac and respiratory domains. By 10-12 years of age, many patients lose their ability to walk; at around 20 years of age, they become ventilation-dependent, and between 20 and 40 years, death occurs because of respiratory and/or cardiac failure<sup><xref rid=""ref1"" ref-type=""bibr"">1</xref></sup>. DMD is a genetic disorder with",0_1,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
"DMD is a genetic disorder with X-linked inheritance. The <italic toggle=""yes"">DMD</italic> gene encodes dystrophin, which is essential for maitaining myofibres strength, stability, and function and in protecting muscle from contraction-induced injury. The presence of pathogenic <italic toggle=""yes"">DMD</italic> genetic variants resulting in the disruption of the reading frame progressively causes muscle degeneration and necrosis<sup><xref rid=""ref1"" ref-type=""bibr"">1</xref>,<xref rid=""ref2""",0_2,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
"ref-type=""bibr"">1</xref>,<xref rid=""ref2"" ref-type=""bibr"">2</xref></sup>. Many pathogenic mechanisms are involved, including damage to the sarcolemma, inflammation, ischemia, increased oxidative stress, calcium overload, but also impairment of regenerative mechanisms, resulting in the deposition of fatty and fibrotic tissues in later disease stages<sup><xref rid=""ref1"" ref-type=""bibr"">1</xref></sup>. Identifying the specific <italic toggle=""yes"">DMD</italic> pathogenic variant is mandatory, because it",0_3,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
"pathogenic variant is mandatory, because it enables diagnostic confirmation, initiation of multidisciplinary care, to perform carrier analysis in the mother and genetic counselling, and to establish whether the patient is eligible for mutation-specific therapies<sup><xref rid=""ref1"" ref-type=""bibr"">1</xref>,<xref rid=""ref2"" ref-type=""bibr"">2</xref></sup>. The care of DMD patients require a multidisciplinary team of medical and non-medical professionals<sup><xref rid=""ref2"" ref-type=""bibr"">2</xref>,<xref",0_4,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
"rid=""ref2"" ref-type=""bibr"">2</xref>,<xref rid=""ref3"" ref-type=""bibr"">3</xref>,<xref rid=""ref4"" ref-type=""bibr"">4</xref></sup>, and the administration of drug therapies, which are divided into two groups: the so called “secondary” treatments, targeting the consequences of dystrophin deficiency, and the pathophysiologic approach, with the target of dystrophin restoration<sup><xref rid=""ref2"" ref-type=""bibr"">2</xref></sup>. The involved multidisciplinary team needs to address: cardiac, respiratory,",0_5,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
"team needs to address: cardiac, respiratory, orthopedic, endocrinological and nutritional care, rehabilitation targets, gastrointestinal and urological management, neurodevelopmental, cognitive and psychological issues<sup><xref rid=""ref1"" ref-type=""bibr"">1</xref>,<xref rid=""ref3"" ref-type=""bibr"">3</xref>,<xref rid=""ref4"" ref-type=""bibr"">4</xref></sup>, with a dynamic and inclusive approach. With their anti-inflammatory action, glucocorticosteroids belong to the first group of drug therapies<sup><xref",0_6,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
"to the first group of drug therapies<sup><xref rid=""ref1"" ref-type=""bibr"">1</xref>,<xref rid=""ref2"" ref-type=""bibr"">2</xref></sup>. They need to be started at the beginning of (before significant) motor decline and maintained long-term<sup><xref rid=""ref1"" ref-type=""bibr"">1</xref></sup>. The second approach includes small molecules targeting nonsense mutations (ataluren<sup><xref rid=""ref5"" ref-type=""bibr"">5</xref>,<xref rid=""ref6"" ref-type=""bibr"">6</xref>,<xref rid=""ref7"" ref-type=""bibr"">7</xref></sup>)",0_7,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
"rid=""ref7"" ref-type=""bibr"">7</xref></sup>) and antisense oligonucleotides for out-of-frame deletions (eteplirsen skipping exon 51)<sup><xref rid=""ref8"" ref-type=""bibr"">8</xref>,<xref rid=""ref9"" ref-type=""bibr"">9</xref></sup>, and golodirsen<sup><xref rid=""ref10"" ref-type=""bibr"">10</xref></sup> and viltolarsen<sup><xref rid=""ref11"" ref-type=""bibr"">11</xref></sup> (skipping exon 53). Ataluren is a drug designed to promote the readthrough of premature stop codons, secondary to nonsense mutations, in order to",0_8,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
"secondary to nonsense mutations, in order to obtain full-length dystrophin<sup><xref rid=""ref12"" ref-type=""bibr"">12</xref></sup>. It is an orally administered drug which is currently indicated for ambulatory patients with nmDMD, aged ≥ 2 years<sup><xref rid=""ref13"" ref-type=""bibr"">13</xref></sup>.  In this paper, we wished to report narratively on the real-life experience and expert opinion of a group of Italian researchers taking care of patients with DMD. Moving from current evidence and guidance, some",0_9,Transition and management of patients with Duchenne Muscular Dystrophy: a narrative review based on Italian experts’ opinion and real-world experience,30 9 2024,,Duchenne_Muscular_Dystrophy
