text,chunk_id,title,publication_date,authors,disease
"Skeletal Muscle Involvement in Friedreich Ataxia Friedreich Ataxia (FRDA) is an inherited neuromuscular disorder triggered by a deficit of the mitochondrial protein frataxin. At a cellular level, frataxin deficiency results in insufficient iron–sulfur cluster biosynthesis and impaired mitochondrial function and adenosine triphosphate production. The main clinical manifestation is a progressive balance and coordination disorder which depends on the involvement of peripheral and central sensory pathways as",0_0,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"of peripheral and central sensory pathways as well as of the cerebellum. Besides the neurological involvement, FRDA affects also the striated muscles. The most prominent manifestation is a hypertrophic cardiomyopathy, which also represents the major determinant of premature mortality. Moreover, FRDA displays skeletal muscle involvement, which contributes to the weakness and marked fatigue evident throughout the course of the disease. Herein, we review skeletal muscle findings in FRDA generated by",0_1,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"skeletal muscle findings in FRDA generated by functional imaging, histology, as well as multiomics techniques in both disease models and in patients. Altogether, these findings corroborate a disease phenotype in skeletal muscle and support the notion of progressive mitochondrial damage as a driver of disease progression in FRDA. Furthermore, we highlight the relevance of skeletal muscle investigations in the development of biomarkers for early-phase trials and future therapeutic strategies in FRDA.",0_2,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"trials and future therapeutic strategies in FRDA. Friedreich Ataxia (FRDA) is an autosomal recessive neuromuscular disorder caused by a deficiency of the mitochondrial protein frataxin [<xref rid=""B1-ijms-25-09915"" ref-type=""bibr"">1</xref>]. In the majority of cases, the associated molecular defect is a biallelic GAA-repeat expansion in the first intron of the frataxin gene (<italic toggle=""yes"">FXN</italic>) [<xref rid=""B1-ijms-25-09915"" ref-type=""bibr"">1</xref>]. Approximately 4% of patients are compound",0_3,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"Approximately 4% of patients are compound heterozygote for an intronic GAA-expansion and one canonical <italic toggle=""yes"">FXN</italic> variant (point mutation, deletion) [<xref rid=""B1-ijms-25-09915"" ref-type=""bibr"">1</xref>]. Pathologically expanded GAA-stretches hinder <italic toggle=""yes"">FXN</italic> transcription by interfering with mRNA elongation and, most of all, via induction of repressive chromatin changes [<xref rid=""B2-ijms-25-09915"" ref-type=""bibr"">2</xref>,<xref rid=""B3-ijms-25-09915""",0_4,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"rid=""B3-ijms-25-09915"" ref-type=""bibr"">3</xref>,<xref rid=""B4-ijms-25-09915"" ref-type=""bibr"">4</xref>,<xref rid=""B5-ijms-25-09915"" ref-type=""bibr"">5</xref>]. Cumulative evidence underpins a role for frataxin as an accelerator of a key enzymatic step in the synthesis of iron–sulfur clusters (ISCs) [<xref rid=""B6-ijms-25-09915"" ref-type=""bibr"">6</xref>], the prosthetic groups of several respiratory chain enzymes and aconitase. A plethora of biochemical and functional studies clearly linked frataxin",0_5,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"and functional studies clearly linked frataxin deficiency with impaired ISC synthesis [<xref rid=""B5-ijms-25-09915"" ref-type=""bibr"">5</xref>,<xref rid=""B6-ijms-25-09915"" ref-type=""bibr"">6</xref>,<xref rid=""B7-ijms-25-09915"" ref-type=""bibr"">7</xref>,<xref rid=""B8-ijms-25-09915"" ref-type=""bibr"">8</xref>,<xref rid=""B9-ijms-25-09915"" ref-type=""bibr"">9</xref>] and reduced mitochondrial function and adenosine triphosphate (ATP) production [<xref rid=""B10-ijms-25-09915"" ref-type=""bibr"">10</xref>,<xref",0_6,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"ref-type=""bibr"">10</xref>,<xref rid=""B11-ijms-25-09915"" ref-type=""bibr"">11</xref>,<xref rid=""B12-ijms-25-09915"" ref-type=""bibr"">12</xref>,<xref rid=""B13-ijms-25-09915"" ref-type=""bibr"">13</xref>,<xref rid=""B14-ijms-25-09915"" ref-type=""bibr"">14</xref>,<xref rid=""B15-ijms-25-09915"" ref-type=""bibr"">15</xref>]. FRDA is the most common early-onset inherited ataxia in the Caucasian population [<xref rid=""B16-ijms-25-09915"" ref-type=""bibr"">16</xref>]. The most prominent symptom is a progressive balance and",0_7,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"prominent symptom is a progressive balance and coordination disorder resulting from an affection of dorsal root ganglia, dorsal column of the spinal cord, peripheral sensory nerves, and, to a lesser extent, cerebellar involvement [<xref rid=""B17-ijms-25-09915"" ref-type=""bibr"">17</xref>]. The length of expanded GAA repeats, and especially of the shorter one (GAA1), shows a strong inverse correlation with the age of onset of ataxia and the severity of the phenotype [<xref rid=""B18-ijms-25-09915""",0_8,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"of the phenotype [<xref rid=""B18-ijms-25-09915"" ref-type=""bibr"">18</xref>,<xref rid=""B19-ijms-25-09915"" ref-type=""bibr"">19</xref>,<xref rid=""B20-ijms-25-09915"" ref-type=""bibr"">20</xref>,<xref rid=""B21-ijms-25-09915"" ref-type=""bibr"">21</xref>]. Longer expansions are thus associated with early-onset disease and faster disease progression [<xref rid=""B20-ijms-25-09915"" ref-type=""bibr"">20</xref>,<xref rid=""B22-ijms-25-09915"" ref-type=""bibr"">22</xref>]. Beyond the neurological syndrome, FRDA also displays a",0_9,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"the neurological syndrome, FRDA also displays a muscle phenotype, affecting both the heart and the skeletal muscle. Typical FRDA cardiomyopathy presents with an usually mild hypertrophy of the left ventricle with preserved ejection function and no obstruction [<xref rid=""B23-ijms-25-09915"" ref-type=""bibr"">23</xref>]. Its occurrence is related to the underlying genetic severity [<xref rid=""B24-ijms-25-09915"" ref-type=""bibr"">24</xref>]. Up to 75% of individuals with early-onset disease (<25 years of age)",0_10,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"with early-onset disease (<25 years of age) display signs of cardiomyopathy [<xref rid=""B25-ijms-25-09915"" ref-type=""bibr"">25</xref>], while heart involvement is far less frequent when the disease manifests later. Supraventricular arrhythmias and left ventricle remodeling with ejection fraction decline may develop during the disease course [<xref rid=""B26-ijms-25-09915"" ref-type=""bibr"">26</xref>,<xref rid=""B27-ijms-25-09915"" ref-type=""bibr"">27</xref>]. Although ataxia causes the highest disease burden,",0_11,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"ataxia causes the highest disease burden, cardiomyopathy is the main determinant of reduced survival [<xref rid=""B27-ijms-25-09915"" ref-type=""bibr"">27</xref>,<xref rid=""B28-ijms-25-09915"" ref-type=""bibr"">28</xref>,<xref rid=""B29-ijms-25-09915"" ref-type=""bibr"">29</xref>]. While, for obvious reasons, most of the attention in FRDA has been paid to the involvement of cardiac muscle, frataxin deficiency does not spare the skeletal muscle. Skeletal muscle accounts for up to 50% of the total body mass [<xref",0_12,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"for up to 50% of the total body mass [<xref rid=""B30-ijms-25-09915"" ref-type=""bibr"">30</xref>,<xref rid=""B31-ijms-25-09915"" ref-type=""bibr"">31</xref>]. <italic toggle=""yes"">FXN</italic> mRNA and protein expression in skeletal and heart muscle is comparable and among the highest in the human body [<xref rid=""B32-ijms-25-09915"" ref-type=""bibr"">32</xref>,<xref rid=""B33-ijms-25-09915"" ref-type=""bibr"">33</xref>]. Functional imaging, histology and multi-omics techniques in both disease models and patients",0_13,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"techniques in both disease models and patients revealed a skeletal muscle disease phenotype in FRDA [<xref rid=""B10-ijms-25-09915"" ref-type=""bibr"">10</xref>,<xref rid=""B11-ijms-25-09915"" ref-type=""bibr"">11</xref>,<xref rid=""B34-ijms-25-09915"" ref-type=""bibr"">34</xref>,<xref rid=""B35-ijms-25-09915"" ref-type=""bibr"">35</xref>,<xref rid=""B36-ijms-25-09915"" ref-type=""bibr"">36</xref>]. Clinically, evidence of skeletal muscle involvement can be highly variable and appears to be more pronounced in the setting of",0_14,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"appears to be more pronounced in the setting of more severe phenotypes (longer GAA repeats, compound heterozygous with null <italic toggle=""yes"">FXN</italic> variants) [<xref rid=""B33-ijms-25-09915"" ref-type=""bibr"">33</xref>,<xref rid=""B37-ijms-25-09915"" ref-type=""bibr"">37</xref>,<xref rid=""B38-ijms-25-09915"" ref-type=""bibr"">38</xref>,<xref rid=""B39-ijms-25-09915"" ref-type=""bibr"">39</xref>]. In a study of children with FRDA, muscle weakness was more pronounced in the proximal leg and correlated with",0_15,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"in the proximal leg and correlated with increased ultrasound muscle density in the absence of leg atrophy, a constellation of findings suggestive of myopathic involvement [<xref rid=""B38-ijms-25-09915"" ref-type=""bibr"">38</xref>]. Skeletal muscle involvement contributes to the marked fatigue and reduced exercise capacity that outlasts the degree of neurological impairment or the expected effect of secondary deconditioning due to reduced mobility [<xref rid=""B39-ijms-25-09915"" ref-type=""bibr"">39</xref>].",0_16,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
"ref-type=""bibr"">39</xref>]. Muscle weakness also contributes to the restrictive impairment of respiratory function [<xref rid=""B40-ijms-25-09915"" ref-type=""bibr"">40</xref>], which is associated with higher surgical morbidity in FRDA patients [<xref rid=""B41-ijms-25-09915"" ref-type=""bibr"">41</xref>]. In this review, we provide a novel overview on the existing knowledge on skeletal muscle in FRDA. We emphasize the importance of skeletal muscle research in translational studies, particularly in developing",0_17,Skeletal Muscle Involvement in Friedreich Ataxia,13 9 2024,,Friedreich_Ataxia
