text,chunk_id,title,publication_date,authors,disease
"Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII  <list list-type=""simple"" id=""ulist0010""><list-item id=""u0010""><label>•</label><p id=""p0010"">Age-related thrombotic events requiring anticoagulation increase in persons with hemophilia A.</p></list-item><list-item id=""u0015""><label>•</label><p id=""p0015"">The hemostatic balance with emicizumab, direct oral anticoagulant, and factor (F)VIII is not",0_0,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
"oral anticoagulant, and factor (F)VIII is not known.</p></list-item><list-item id=""u0020""><label>•</label><p id=""p0020"">FVIII can counter direct oral anticoagulant concentration up to 100 ng/mL in the presence of emicizumab.</p></list-item><list-item id=""u0025""><label>•</label><p id=""p0025"">The combined effect of the hemostatic capacity can guide clinicians to manage urgent events.</p></list-item></list> Hemophilia A (HA) is an inherited bleeding disorder characterized by a quantitative or qualitative",0_1,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
"characterized by a quantitative or qualitative coagulation factor (F)VIII defect. For several decades, HA management has been based on intravenous FVIII infusions that have significantly improved life expectancy [<xref rid=""bib1"" ref-type=""bibr"">[1]</xref>, <xref rid=""bib2"" ref-type=""bibr"">[2]</xref>, <xref rid=""bib3"" ref-type=""bibr"">[3]</xref>]. The prophylaxis regimen (2-3 intravenous infusions of FVIII per week) reduces bleeding events, but is burdensome for patients, thus causing treatment adherence",0_2,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
"for patients, thus causing treatment adherence issues [<xref rid=""bib4"" ref-type=""bibr"">4</xref>,<xref rid=""bib5"" ref-type=""bibr"">5</xref>]. Recently, non–factor replacement strategies have emerged, such as the antibody emicizumab that mimics FVIII activity, the small interfering RNA fitusiran that targets antithrombin, and the antibody concizumab against tissue factor (TF) pathway inhibitor [<xref rid=""bib6"" ref-type=""bibr"">[6]</xref>, <xref rid=""bib7"" ref-type=""bibr"">[7]</xref>, <xref rid=""bib8""",0_3,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
"ref-type=""bibr"">[7]</xref>, <xref rid=""bib8"" ref-type=""bibr"">[8]</xref>]. Emicizumab is a bispecific monoclonal antibody that ensures the spatial interaction of FIXa with FX, thus mimicking FVIIIa procoagulant activity [<xref rid=""bib9"" ref-type=""bibr"">9</xref>]. The HAVEN studies demonstrated that emicizumab reduces the annual bleeding rate in persons with HA (with or without inhibitors), compared to FVIII products [<xref rid=""bib10"" ref-type=""bibr"">[10]</xref>, <xref rid=""bib11""",0_4,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
"ref-type=""bibr"">[10]</xref>, <xref rid=""bib11"" ref-type=""bibr"">[11]</xref>, <xref rid=""bib12"" ref-type=""bibr"">[12]</xref>, <xref rid=""bib13"" ref-type=""bibr"">[13]</xref>]. The significant improvement in HA management has led to an increase in quality of life and life expectancy. Consequently, age-related diseases, such as cardiovascular diseases (CVDs), are now observed in persons with HA. It has been shown that persons with HA have a similar or higher risk of hypertension, atherosclerosis, atrial",0_5,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
"risk of hypertension, atherosclerosis, atrial fibrillation, and myocardial infarction compared with the general population [<xref rid=""bib14"" ref-type=""bibr"">[14]</xref>, <xref rid=""bib15"" ref-type=""bibr"">[15]</xref>, <xref rid=""bib16"" ref-type=""bibr"">[16]</xref>, <xref rid=""bib17"" ref-type=""bibr"">[17]</xref>]. Several risk factors of CVD are particularly frequent in persons with HA, for instance, physical inactivity, chronic inflammation, and smoking [<xref rid=""bib18"" ref-type=""bibr"">18</xref>]. CVD",0_6,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
"rid=""bib18"" ref-type=""bibr"">18</xref>]. CVD management in persons with HA requires fine-tuning of the hemostatic balance to avoid both thrombotic and bleeding events. Indeed, direct oral anticoagulants (DOACs) can be used in persons with HA and CVD, but their effect will counteract that of the prophylaxis treatment [<xref rid=""bib19"" ref-type=""bibr"">19</xref>,<xref rid=""bib20"" ref-type=""bibr"">20</xref>]. Recent international guidelines on the management of CVD in persons with HA recommend antithrombotic",0_7,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
"CVD in persons with HA recommend antithrombotic treatment for patients with FVIII >20% [<xref rid=""bib21"" ref-type=""bibr"">21</xref>]. Conversely, data on patients on emicizumab prophylaxis are scarce. Yet, the concomitant use of emicizumab and a DOAC in persons with HA leads to new hemostatic challenges. Emicizumab concentration can be assessed using a modified 1-stage assay and an emicizumab calibrator. However, caution is needed to interpret these results because the test is influenced by endogenous",0_8,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
"because the test is influenced by endogenous FVIII [<xref rid=""bib22"" ref-type=""bibr"">22</xref>]. Emicizumab can interfere with several laboratory tests, such as activated partial thromboplastin time (aPTT) and FVIII dosage, that rely on FVIII and FIX activity. Therefore, they cannot be used to monitor hemostasis in patients on emicizumab-based prophylaxis [<xref rid=""bib23"" ref-type=""bibr"">23</xref>]. Alternative assays, such as chromogenic assays, thrombin generation assays (TGA), and",0_9,Thrombin generation to evaluate the complex hemostatic balance of hemophilia A plasma containing direct oral anticoagulant and supplemented by factor VIII,23 9 2024,,Hemophilia
