text,chunk_id,title,publication_date,authors,disease
"Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches Hereditary angioedema (HAE) is a rare genetic disease characterized by transient and recurrent attacks of edema in the subcutaneous tissue, mucosa, and submucosa, which are not accompanied by itching or swelling and are caused by a temporary and localized increase in endothelial permeability [<xref rid=""R1"" ref-type=""bibr"">1</xref>]. HAE is most frequently caused by mutations in the <italic toggle=""yes"">SERPING1</italic>",0_0,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
"in the <italic toggle=""yes"">SERPING1</italic> gene, which are usually transmitted as an autosomal dominant trait, and in 25% of the cases, the disease is caused by a de novo mutation that results in congenital deficiency of complement inhibitor 1 (C1-INH). HAE caused by C1-INH deficiency (C1-INH-HAE) is classified as type 1 (reduced antigenic plasma levels) or type 2 (dysfunctional C1-INH at normal or high levels) [<xref rid=""R2"" ref-type=""bibr"">2</xref>,<xref rid=""R3"" ref-type=""bibr"">3</xref>]. C1-INH",0_1,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
"rid=""R3"" ref-type=""bibr"">3</xref>]. C1-INH regulates the activation of the contact system by inhibiting the activation of factor XII (FXII) and kallikrein that generate bradykinin (BK), which binds to its specific receptor B2 at the endothelial level to enhance vaso-permeability and vasodilation and cause the formation of angioedema (Fig. <xref rid=""F1"" ref-type=""fig"">1</xref>) [<xref rid=""R4"" ref-type=""bibr"">4</xref>].  The clinical onset of HAE generally occurs during childhood or adolescence [<xref",0_2,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
"occurs during childhood or adolescence [<xref rid=""R5"" ref-type=""bibr"">5</xref>] and can potentially affect all districts, but mostly affects the skin, gastrointestinal tract, and upper airways [<xref rid=""R5"" ref-type=""bibr"">5</xref>]. Some angioedema attacks are preceded by prodromic symptoms and signs such as fatigue, a tingling sensation, or a skin rash without itching that may be mistaken for an allergy, called erythema marginatum [<xref rid=""R6"" ref-type=""bibr"">6</xref>,<xref rid=""R7""",0_3,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
"rid=""R6"" ref-type=""bibr"">6</xref>,<xref rid=""R7"" ref-type=""bibr"">7</xref>]. The attacks may be very painful, disfiguring, and associated with functional impairment (e.g., attacks on the extremities), leading to a strong impact on the patients’ quality of life (QoL) [<xref rid=""R8"" ref-type=""bibr"">8<sup>▪</sup></xref>]. Without specific treatment, the attack can last 2–5 days and may be associated with mortality (e.g., life-threatening episodes of laryngeal edema) [<xref rid=""R9"" ref-type=""bibr"">9</xref>].",0_4,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
"edema) [<xref rid=""R9"" ref-type=""bibr"">9</xref>]. HAE should be suspected in patients with a history of recurrent angioedema without urticaria, positive family history, episodes of laryngeal edema, and recurrent abdominal pain that does not respond to antihistamine therapy, adrenaline, and/or glucocorticoids. Considering these clinical factors, diagnosis should be confirmed by laboratory tests assessing the levels of C4 and quantitative and functional C1-INH [<xref rid=""R10"" ref-type=""bibr"">10</xref>].",0_5,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
"[<xref rid=""R10"" ref-type=""bibr"">10</xref>]. Patients with HAE type 1 show a reduction in the levels of C4 and quantitative and functional C1-INH, while those with HAE type 2 show normal or increased, but functionally reduced (<60%), levels of C1-INH. In HAE with normal C1-INH levels, the levels of antigenic and functional C1-INH and antigenic C4 are normal. Genetic tests for mutations responsible for HAE with normal C1-INH levels should be performed in suggestive clinical settings [<xref rid=""R11""",0_6,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
"in suggestive clinical settings [<xref rid=""R11"" ref-type=""bibr"">11</xref>]. For several years, the options for HAE treatment have been limited to drugs with substantial adverse effects, insufficient efficacy, and difficult administration routes. The implementation of newer therapies has facilitated the application of individualized action plans with the goal of minimizing the number of attacks and addressing the complex needs of patients. Moreover, switching from one treatment to another due to",0_7,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
"switching from one treatment to another due to insufficient efficacy and/or adverse events has become easier. Over the next few years, disease control up to attack-free remission may become possible.",0_8,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
"<italic toggle=""yes"">None.</italic>",0_9,Hereditary angioedema due to C1-inhibitor deficiency: current therapeutic approaches,12 2024,,Hereditary_Angioedema
