text,chunk_id,title,publication_date,authors,disease
"Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments Huntington disease (HD) is a rare, inherited, neurodegenerative disorder characterized by progressive motor symptoms including involuntary choreatic movements as well as cognitive, behavioral, and psychiatric changes.<sup><xref rid=""R1"" ref-type=""bibr"">1</xref>,<xref rid=""R2"" ref-type=""bibr"">2</xref></sup> The disease is caused by an increase in the number of CAG repeats in the DNA sequence of exon 1 of the",0_0,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"CAG repeats in the DNA sequence of exon 1 of the <italic toggle=""yes"">HTT</italic> gene.<sup><xref rid=""R3"" ref-type=""bibr"">3</xref></sup> The overall prevalence of HD is increasing,<sup><xref rid=""R4"" ref-type=""bibr"">4</xref></sup> and the economic and humanistic burden associated with the condition is substantial.<sup><xref rid=""R5"" ref-type=""bibr"">5</xref>,<xref rid=""R6"" ref-type=""bibr"">6</xref></sup> Recent research estimates that annual costs associated with HD in the United States ranges from $6,600",0_1,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"with HD in the United States ranges from $6,600 to $30,300 per year depending on the stage of progression.<sup><xref rid=""R5"" ref-type=""bibr"">5</xref></sup> Furthermore, there is limited evidence available providing a comprehensive assessment of the clinical, economic, and humanistic burden of HD by disease stage and on a large scale. Currently, there is no cure for HD, and available treatments do not alter the course of disease progression. Medications such as tetrabenazine (Xenazine) and deutetrabenazine",0_2,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"as tetrabenazine (Xenazine) and deutetrabenazine (Austedo) may lessen movement disorder (chorea) symptoms<sup><xref rid=""R7"" ref-type=""bibr"">7</xref></sup> while antidepressants and antipsychotic drugs can be used in tandem but may also have an effect on chorea.<sup><xref rid=""R8"" ref-type=""bibr"">8</xref></sup> Treatments typically evolve over the course of the disease, depending on individual individuals' overall treatment goals. Potential disease-modifying treatments (DMTs) such as gene therapy (GTx),",0_3,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"treatments (DMTs) such as gene therapy (GTx), antisense oligonucleotides (ASOs), and small molecule–based therapeutic approaches aim to provide long-term health benefits for people with HD by slowing down, arresting, or even reverting disease progression.<sup><xref rid=""R9"" ref-type=""bibr"">9</xref></sup> Once clinical trial evidence becomes available, health economic research will be necessary to quantify the long-term costs and health outcomes for health care decision makers. In anticipation of future",0_4,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"care decision makers. In anticipation of future DMTs for HD, we aimed to estimate the long-term natural history of HD progression and explore the efficacy and potential value of hypothetical DMTs to treat HD using a decision-analytic modeling framework.   We developed a decision model to track the natural history of HD progression and associated costs, survival, and quality of life of 3 40-year-old HD populations over their remaining lifetime. Our results support previous HD burden-of-illness study",0_5,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"support previous HD burden-of-illness study findings that people with HD incur substantial cost and quality-of-life burdens that increase as HD progresses. It is important to note that our model can be used to explore these relationships and to target stages of disease where the health impacts of future DMTs are most likely to be cost effective. In time, the model can be adapted to incorporate clinical trial findings for future DMTs. Our natural history results for the 3 modeled HD populations expectedly",0_6,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"for the 3 modeled HD populations expectedly showed that people with HD who are at earlier stages of disease have a longer life expectancy and greater quality of life but lower lifetime cost compared with later stages of disease, although all modeled individuals who do not die from other causes (background mortality) would eventually progress through each expensive stage of HD before death. This finding was due to the annualized 3% discount applied to direct and indirect costs and health outcomes over time,",0_7,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"and indirect costs and health outcomes over time, a standard health economics method that applies greater weight to values nearesr to the present than to the future.<sup><xref rid=""R11"" ref-type=""bibr"">11</xref></sup> In essence, each population's quality of life was greatest at the outset of the model when it was time-weighted the most and declined as time progressed but was time-weighted progressively less. The opposite is true for cost in that it is time-weighted the most at its lowest values and",0_8,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"time-weighted the most at its lowest values and time-weighted the least at its highest values. To address potential confusion, we presented both discounted and undiscounted natural history results, with the latter showing greater cost and QALY parity among the modeled patient populations, given later-stage outcomes were not time-weighted and thus equivalent. Our exploratory analysis of hypothetical HD treatments that slow and/or arrest HD progression demonstrates that cost savings and QALY gains may be",0_9,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"that cost savings and QALY gains may be procured from increased survival time in less progressed health states, but that prolonging survival within expensive, low quality-of-life stages of late disease may lead to overall increases in cost. A previous HD-modeling analysis by Albin and Burke reached similar conclusions compared with our study.<sup><xref rid=""R31"" ref-type=""bibr"">31</xref></sup> They used a Markov chain Monte Carlo approach to simulate the effects of potential therapies with effects on time",0_10,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"of potential therapies with effects on time to onset of HD and survival with HD and found that a delay in symptom onset (0.7–8.1 years depending on patient age and CGG repeat length) was associated with a 5.2-5.3-year increase in life years spent with HD. Our model indicated that the hypothetical treatment effect with the greatest potential to derail potential cost savings was the rate ratio parameter applied to the constant rate of progression once onset began, which did result in overall QALY gains for",0_11,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
"began, which did result in overall QALY gains for all 3 patient populations but became more costly in populations initiating treatment when at lower TFC scores. The combination of these results seems to indicate that treating people with HD with active functional decline likely achieves good value up to a point followed by diminishing returns, a finding that may affect treatment discontinuation decisions and the eventual shift from DMT to supportive and palliative care. Of note, the hypothetical DMT",0_12,Long-Term Health Outcomes of Huntington Disease and the Impact of Future Disease-Modifying Treatments,10 2024,,Huntington_Disease
