text,chunk_id,title,publication_date,authors,disease
"Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series Tuberous Sclerosis complex (TSC) is a multisystemic neurocutaneous genetic condition characterized most commonly by cutaneous, renal, cardiac, neurological and ophthalmological abnormalities. TSC is an autosomal dominant condition with variable expression although neurological and renal complications are the main cause of morbidity and mortality associated with the condition [<xref",0_0,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
"mortality associated with the condition [<xref ref-type=""bibr"" rid=""CR1"">1</xref>]. The main neurological manifestation of TSC is epilepsy which is found in 70–90% of patients. Seizures which usually begin in the first three years of life are commonly the inciting event that leads patients to seek medical attention [<xref ref-type=""bibr"" rid=""CR2"">2</xref>]. Approximately two-thirds of patients develop epilepsy refractory to antiepileptic drugs [<xref ref-type=""bibr"" rid=""CR3"">3</xref>]. Neuroimaging at",0_1,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
"rid=""CR3"">3</xref>]. Neuroimaging at the time of diagnosis may also detect cortical and subcortical tubers as well as subependymal nodules. Subependymal giant cell astrocytoma (SEGA) are observed in 5 to 15% of TSC patients and result in a large burden of morbidity and mortality as these may cause ventriculomegaly and hydrocephalus [<xref ref-type=""bibr"" rid=""CR2"">2</xref>]. Renal angiomyolipomas are common benign tumors in TSC patients and are observed in 80% of cases. Within the first few years of life,",0_2,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
"80% of cases. Within the first few years of life, these tend to progressively enlarge [<xref ref-type=""bibr"" rid=""CR2"">2</xref>]. Besides angiomyolipomas, about 50% TSC patients have renal cysts ranging from microscopic glomerulocystic disease to polycystic renal disease. Despite both renal angiomyolipomas and cysts being benign manifestations, they are responsible for marked morbidity and mortality as patients develop loss of kidney function, hematuria, and risk of hemorrhage from larger lesions. In 2018,",0_3,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
"risk of hemorrhage from larger lesions. In 2018, the Food and Drug Administration (FDA) approved everolimus for treatment of adult and pediatric patients above the age of 2 years old with tuberous sclerosis complex (TSC)-associated partial-onset seizures, subependymal giant cell astrocytoma (SEGA), and TSC-associated renal angiomyolipoma [<xref ref-type=""bibr"" rid=""CR4"">4</xref>]. Everolimus is an inhibitor for mTORC1 and is believed to reduce abnormal brain cell growth, abnormal neuron spatial",0_4,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
"brain cell growth, abnormal neuron spatial organization, and excess inflammatory mediators in the cerebral cortex [<xref ref-type=""bibr"" rid=""CR3"">3</xref>]. It has been shown to reduce seizures burden in TSC patients and rapidly reduce SEGA volume [<xref ref-type=""bibr"" rid=""CR5"">5</xref>]. A systemic review conducted on a total of 263 patients compared the effectiveness of everolimus and other rapalogs in patients with TSC to determine their ability to decrease other manifestations of the disease. In",0_5,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
"decrease other manifestations of the disease. In this review, everolimus was shown to be effective against several manifestations of the disease such as decreasing skin lesion size, however its effect on renal cysts and the pediatric population is not mentioned [<xref ref-type=""bibr"" rid=""CR6"">6</xref>]. As such, the role of everolimus in the kidneys is less understood; however, estimated glomerular filtration rate (eGFR) remains stable with its use in adult patients therefore suggesting renal function",0_6,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
"patients therefore suggesting renal function preservation [<xref ref-type=""bibr"" rid=""CR7"">7</xref>]. In this case series, we discuss three pediatric patients who were placed on everolimus for seizure and SEGA control that were consequently seen to have renal cyst size reduction and renal function preservation therefore exhibiting this drug’s utility in treating renal manifestations in pediatric populations, specifically cystic kidney disease. The first patient is a six-year-old male who was diagnosed at 6",0_7,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
"is a six-year-old male who was diagnosed at 6 months of age. Two years after his diagnosis, brain magnetic resonance imaging (MRI) showed non enhancing superficial cortical lesions in the bilateral frontal and right parietal lobes and few enhancing subependymal nodules, most likely representing cortical tubers and subependymal tubers. It also showed a minimally enhancing 2 to 3 mm tuber in the right frontal horn near the Foramen of Monroe suspicious for a SEGA. He started everolimus 2 mg twice a day at",0_8,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
"a SEGA. He started everolimus 2 mg twice a day at this time. Six months later, repeat brain MRI showed stable subependymal hamartomas and subcortical tubers, however the suspected SEGA was no longer visible. At the time of this patient’s first brain MRI, an abdominal MRI showed multiple small bilateral renal cysts, however after everolimus was started and at the same time as this patient’s second brain MRI, a repeat abdominal MRI also showed no evidence of intra-abdominal lesions, and the renal cysts were",0_9,Everolimus on cystic kidney disease burden reduction in pediatric tuberous sclerosis complex patients: a case series,24 10 2024,,Tuberous_Sclerosis
