text,chunk_id,title,publication_date,authors,disease
"A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease von Hippel-Lindau (VHL) is an autosomal-dominant hereditary tumour susceptibility disease associated with pathogenic germline variants in the <italic toggle=""yes"">VHL</italic> tumour suppressor gene. VHL patients are at increased risk of developing multiple benign and malignant tumours. Current CLIA-based genetic tests demonstrate a very high detection rate of germline <italic toggle=""yes"">VHL</italic> variants in patients with",0_0,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
"variants in patients with clinical manifestations of VHL. In this report, we describe a large family with canonical VHL manifestations, for which no germline alteration had been detected by conventional germline testing. We identified a novel 291 kb chromosomal inversion involving chromosome 3p in affected family members. This inversion disrupts the <italic toggle=""yes"">VHL</italic> gene between exon 2 and exon 3 and is thereby responsible for the disease observed in this family.  von Hippel-Lindau (VHL)",0_1,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
"observed in this family.  von Hippel-Lindau (VHL) is an autosomal-dominant hereditary tumour susceptibility disorder associated with pathogenic germline variants in the <italic toggle=""yes"">VHL</italic> tumour suppressor gene.<xref rid=""R1"" ref-type=""bibr""><sup>1</sup></xref> VHL patients are at increased risk of developing multiple benign and malignant tumours within various organs, including retinal and central nervous system (CNS) haemangioblastomas, clear cell renal cell carcinomas (ccRCCs),",0_2,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
"clear cell renal cell carcinomas (ccRCCs), pheochromocytoma/paragangliomas, pancreatic neuroendocrine tumours, endolymphatic sac tumours (ELSTs), pancreatic cystadenomas, renal and pancreatic cysts, and epididymal and broad ligament cystadenomas.<xref rid=""R2"" ref-type=""bibr""><sup>2 3</sup></xref> Current CLIA-based genetic tests demonstrate a very high detection rate of pathogenic germline <italic toggle=""yes"">VHL</italic> variants in VHL patients,<xref rid=""R4"" ref-type=""bibr""><sup>4 5</sup></xref>",0_3,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
"rid=""R4"" ref-type=""bibr""><sup>4 5</sup></xref> including single nucleotide missense and nonsense variants, small insertions and/or deletions, splice site alterations and large deletions encompassing entire exons or the whole gene (UMD-VHL mutations database<ext-link http://www.w3.org/1999/xlink href=""http://www.umd.be/VHL/"" ext-link-type=""uri"">—http://www.umd.be/VHL/</ext-link>).<xref rid=""R6"" ref-type=""bibr"">6</xref><xref rid=""R10"" ref-type=""bibr"">10</xref> Recently, we identified a balanced",0_4,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
"Recently, we identified a balanced constitutional translocation between chromosomes 1 and 3 in a patient with clinical manifestations of VHL who lacked an identifiable <italic toggle=""yes"">VHL</italic> germline alteration.<xref rid=""R11"" ref-type=""bibr""><sup>11</sup></xref> This translocation was shown to involve a breakpoint within intron 2 of the <italic toggle=""yes"">VHL</italic> gene, resulting in a germline loss of one copy of <italic toggle=""yes"">VHL</italic>.<xref rid=""R11""",0_5,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
"<italic toggle=""yes"">VHL</italic>.<xref rid=""R11"" ref-type=""bibr""><sup>11</sup></xref> This highlighted the potential for rare pathogenic structural variants that are not routinely assessed by standard germline testing. In the current report, we describe a family in which multiple members showed numerous pathognomonic VHL manifestations, tested germline negative for pathogenic <italic toggle=""yes"">VHL</italic> variants and for which karyotype analyses of three affected family members were all normal. We",0_6,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
"three affected family members were all normal. We identified a novel germline 291 kb inversion within chromosome 3p25.3 that disrupts the <italic toggle=""yes"">VHL</italic> gene between exon 2 and exon 3, thus accounting for the family’s clinical diagnosis of VHL.  A large family with a multi-generational history of clinical manifestations of VHL presented at the UOB of the National Cancer Institute for clinical management. In the first generation, patient I:2 was reported to have had unspecified cancer",0_7,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
"I:2 was reported to have had unspecified cancer (<xref rid=""F1"" ref-type=""fig"">figure 1A</xref>). Seven of the twelve siblings in the second generation and at least fourteen of the thirty-seven members of the third generation demonstrated VHL clinical manifestations (<xref rid=""F1"" ref-type=""fig"">figure 1A</xref>,<xref rid=""SP1"" ref-type=""supplementary-material"">online supplemental table S2</xref>). Many of the family members had not had screening or routine surveillance. We have enrolled fifteen family",0_8,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
"surveillance. We have enrolled fifteen family members, nine of whom have manifestations including CNS haemangioblastomas, ccRCCs and renal cysts, pancreatic neuroendocrine tumours and/or pancreatic cysts, and less frequently, retinal haemangioblastomas, pheochromocytomas and ELSTs (<xref rid=""F1"" ref-type=""fig"">figure 1A</xref> and <xref rid=""SP1"" ref-type=""supplementary-material"">online supplemental table S2</xref>). Patients II:2 and II:11 had historically undergone standardised CLIA germline testing for",0_9,A novel pathogenic germline chromosome 3 inversion in von Hippel-Lindau disease,9 2024,,Von_Hippel-Lindau_Disease
