text,chunk_id,title,publication_date,authors,disease
"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics X-linked adrenoleukodystrophy (X-ALD) is a progressive neurodegenerative disorder caused by a loss-of-function (LOF) mutation in the <italic toggle=""yes"">ATP-binding cassette subfamily D member 1</italic> (<italic toggle=""yes"">ABCD1)</italic> gene, leading to the accumulation of very long-chain fatty acids (VLCFAs). This disorder",0_0,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"long-chain fatty acids (VLCFAs). This disorder exhibits striking heterogeneity; some male patients develop an early childhood neuroinflammatory demyelination disorder, while other patients, including adult males and most affected female carriers, experience a chronic progressive myelopathy. Adrenocortical failure is observed in almost all male patients, with age of onset varying sometimes being the first diagnostic finding. The gene underlying this spectrum of disease encodes an ATP-binding cassette (ABC)",0_1,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"of disease encodes an ATP-binding cassette (ABC) transporter that localizes to peroxisomes and facilitates VLCFA transport. X-ALD is considered a single peroxisomal component defect and does not play a direct role in peroxisome assembly. <italic toggle=""yes"">Drosophila</italic> models of other peroxisomal genes have provided mechanistic insight into some of the neurodegenerative mechanisms with reduced lifespan, retinal degeneration, and VLCFA accumulation. Here, we perform a genetic analysis of the fly",0_2,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"Here, we perform a genetic analysis of the fly ABCD1 ortholog <italic toggle=""yes"">Abcd1</italic> (CG2316). Knockdown or deficiency of <italic toggle=""yes"">Abcd1</italic> leads to VLCFA accumulation, salivary gland defects, locomotor impairment and retinal lipid abnormalities. Interestingly, there is also evidence of reduced peroxisomal numbers. Flies overexpressing the human cDNA for <italic toggle=""yes"">ABCD1</italic> display a wing crumpling phenotype characteristic of the <italic",0_3,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"crumpling phenotype characteristic of the <italic toggle=""yes"">pex2</italic> loss-of-function. Surprisingly, overexpression of human <italic toggle=""yes"">ABCD1</italic> appears to inhibit or overwhelm peroxisomal biogenesis to levels similar to null mutations in fly <italic toggle=""yes"">pex2</italic>, <italic toggle=""yes"">pex16</italic> and <italic toggle=""yes"">pex3</italic>. <italic toggle=""yes"">Drosophila Abcd1</italic> is therefore implicated in peroxisomal number, and overexpression of the human",0_4,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"number, and overexpression of the human <italic toggle=""yes"">ABCD1</italic> gene acts a potent inhibitor of peroxisomal biogenesis in flies. X-linked adrenoleukodystrophy (X-ALD) is a peroxisomal disorder resulting in the defective breakdown of very long chain fatty acids (VLCFA, C ≥ 22), affecting myelin and axons in the central nervous system (CNS) and the adrenal gland, culminating in a progressive neurometabolic disorder. X-ALD occurs due to mutations in the X-linked <italic toggle=""yes"">ABCD1</italic>",0_5,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"the X-linked <italic toggle=""yes"">ABCD1</italic> gene, which encodes a peroxisomal transmembrane protein responsible for the transport of CoA-esters of VLCFA (CoA-VLCFA) into the peroxisome. X-ALD exhibits an estimated birth incidence of 1 in 17,000, rendering it the most common hereditary peroxisomal disorder.<sup><xref rid=""R1"" ref-type=""bibr"">1</xref>,<xref rid=""R2"" ref-type=""bibr"">2</xref></sup> A defining feature of X-ALD is the systemic accumulation of saturated VLCFA, notably hexacosanoic acid",0_6,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"of saturated VLCFA, notably hexacosanoic acid (C26:0). A sensitive, fast, high-throughput assay for C26:0 LPC facilitated the addition of X-ALD to the RUSP newborn screening panel.<sup><xref rid=""R2"" ref-type=""bibr"">2</xref></sup> X-ALD presents pronounced phenotypic heterogeneity, underscored by an absolute absence of genotype-phenotype correlation. The default phenotype of X-ALD is a slowly progressive spinal cord axonopathy, called adrenomyeloneuropathy (AMN). AMN is observed in at least of 40% males",0_7,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"(AMN). AMN is observed in at least of 40% males and upwards of 80% of females. Yet, 35–40% of affected males develop childhood cerebral ALD (ccALD), an early onset, rapidly progressing inflammatory cerebral demyelination, representing a more severe phenotype. Additionally, 20% of males will “transition” from an AMN phenotype to a later-onset cerebral X-ALD. Adrenal insufficiency is almost uniformly presented in male patients, either in conjunction with ccALD or AMN or, less frequently, as a distinct",0_8,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"ccALD or AMN or, less frequently, as a distinct phenotype of ‘adrenal insufficiency only’.<sup><xref rid=""R3"" ref-type=""bibr"">3</xref>–<xref rid=""R5"" ref-type=""bibr"">5</xref></sup> The pathology differentiating cerebral ALD (childhood or later onset) from AMN is starkly distinct: ccALD is characterized by demyelination, oligodendrocyte loss in the CNS, with activated microglia, astrocytes, and macrophage infiltration, whereas AMN typically exhibits minimal to no CNS reactive astrocytosis or lymphocytosis,",0_9,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"to no CNS reactive astrocytosis or lymphocytosis, but significant symmetric spinal cord atrophy, particularly in the lateral corticospinal, gracile, and spinocerebellar tracts, alongside distal axonopathy and myelin loss.<sup><xref rid=""R5"" ref-type=""bibr"">5</xref></sup> The disparate phenotypes and hence management approaches for ccALD, AMN, and adrenal insufficiency only have spurred intense interest in identifying early neuroinflammation biomarkers for ccALD. Yet, the ability to determine a specific",0_10,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"ccALD. Yet, the ability to determine a specific X-ALD phenotype by existing biomarkers or genetic variants remains unpredictable. The gene <italic toggle=""yes"">ABCD1</italic> is located on Xq28, spanning 19.9 kbp and comprises 10 exons. It encodes for an ATP binding cassette subfamily D member 1 (ALDP, or ABCD1). ABCD1 dimer binds CoA-VLCFA to its transmembrane domain (TM, exons 1–2), and ATP to its cytosolic nucleotide binding domain (NBD, exons 6–9). The import is biphasic, initially involving the",0_11,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"The import is biphasic, initially involving the attachment of VLCFA-CoA to a thioesterase domain followed by an ATP-dependent substrate hydrolysis along with a conformational change inducing the opening of the TM towards the peroxisomal lumen.<sup><xref rid=""R6"" ref-type=""bibr"">6</xref>,<xref rid=""R7"" ref-type=""bibr"">7</xref></sup> Currently, the X-ALD variant database (ALD info, <ext-link http://www.w3.org/1999/xlink href=""https://adrenoleukodystrophy.info/""",0_12,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"href=""https://adrenoleukodystrophy.info/"" ext-link-type=""uri"">https://adrenoleukodystrophy.info</ext-link>) lists 4163 variants, of which 90% pathogenic or likely pathogenic. These variants predominantly localize to the TM domain (46%) or the NBD (35%). The most frequent variant, p.Gln472Argfs*83, appears in no more than 5% of patients.<sup><xref rid=""R7"" ref-type=""bibr"">7</xref></sup> It is estimated that 80–95% of cases are inherited, whereas the remainder result from <italic toggle=""yes"">de",0_13,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"the remainder result from <italic toggle=""yes"">de novo</italic> mutations.<sup><xref rid=""R8"" ref-type=""bibr"">8</xref></sup> Data on approximately 10% of these variants indicate that at least 65% of missense variants lead to loss of function (LOF).<sup><xref rid=""R9"" ref-type=""bibr"">9</xref></sup> Alongside roughly 18% frameshift or exon deletions, disease-causing mutations in <italic toggle=""yes"">ABCD1</italic> are classified as LOF variants, with no indications of disease-related gain-of-function (GOF)",0_14,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"of disease-related gain-of-function (GOF) mutations. ABCD1 is ubiquitously present in hepatocytes, kidney cells, skeletal muscle cells, endocrine systems, fibroblasts, macrophages, and endothelial cells. However, within the CNS, ABCD1 expression is confined to microglia, astrocytes, epithelial cells, certain oligodendrocyte subsets, and exclusively in neurons within the hypothalamus, basal nucleus of Meynert, periaqueductal gray matter, locus coeruleus, and dorsal root ganglia.<sup><xref rid=""R5""",0_15,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"and dorsal root ganglia.<sup><xref rid=""R5"" ref-type=""bibr"">5</xref>,<xref rid=""R10"" ref-type=""bibr"">10</xref>,<xref rid=""R11"" ref-type=""bibr"">11</xref></sup> Models for demyelination center on VLCFA-induced cytotoxicity amplified by the activity of VLCFA-specific elongase <italic toggle=""yes"">ELOVL1</italic> (converting C22:0 to C26:0),<sup><xref rid=""R1"" ref-type=""bibr"">1</xref>,<xref rid=""R12"" ref-type=""bibr"">12</xref></sup> VLCFA’s role in proinflammatory macrophage activation,<sup><xref rid=""R13""",0_16,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
"macrophage activation,<sup><xref rid=""R13"" ref-type=""bibr"">13</xref></sup> disturbance in calcium homeostasis triggered by VLCFA, and disrupted cholesterol homeostasis marked by increased cholesterol esters of saturated VLCFA and mono/polyunsaturated very- and long-chain fatty acids.<sup><xref rid=""R14"" ref-type=""bibr"">14</xref></sup> For AMN axonopathy, models highlight oxidative stress and mitochondrial dysfunction,<sup><xref rid=""R15"" ref-type=""bibr"">15</xref></sup> exacerbated by VLCFA",0_17,"Genetic analysis of the X-linked Adrenoleukodystrophy <italic toggle=""yes"">ABCD1 gene</italic> in <italic toggle=""yes"">Drosophila</italic> uncovers a role in Peroxisomal dynamics",25 9 2024,,X-linked_Adrenoleukodystrophy
