text,chunk_id,title,publication_date,authors,disease
Development of a Digital Health Intervention for the Secondary Prevention of Cardiovascular Disease (INTERCEPT): Co-Design and Usability Testing Study.,0_0,Development of a Digital Health Intervention for the Secondary Prevention of Cardiovascular Disease (INTERCEPT): Co-Design and Usability Testing Study.,,,expanded_disease_list_with_references.csv
Two-faced OsNAS3 influences disease resistance via nicotianamine and ethylene.,1_0,Two-faced OsNAS3 influences disease resistance via nicotianamine and ethylene.,,,expanded_disease_list_with_references.csv
Inhibiting mtDNA transcript translation alters Alzheimer's disease-associated biology.,2_0,Inhibiting mtDNA transcript translation alters Alzheimer's disease-associated biology.,,,expanded_disease_list_with_references.csv
"Identification and Characterization of <i>Bipolaris secalis</i> and <i>B. setariae</i> Associated with Brown Stripe Disease on <i>Saccharum officinarum</i> in Yunnan, China.",3_0,"Identification and Characterization of <i>Bipolaris secalis</i> and <i>B. setariae</i> Associated with Brown Stripe Disease on <i>Saccharum officinarum</i> in Yunnan, China.",,,expanded_disease_list_with_references.csv
Clinical associations with thyroid disease in ANCA-associated vasculitis.,4_0,Clinical associations with thyroid disease in ANCA-associated vasculitis.,,,expanded_disease_list_with_references.csv
Correction of Disorders in Psychoneurological Status and Functioning of Progenitor Cells of the Nervous Tissue with NF-κB Inhibitor under Conditions of Alzheimer's Disease Modeling.,5_0,Correction of Disorders in Psychoneurological Status and Functioning of Progenitor Cells of the Nervous Tissue with NF-κB Inhibitor under Conditions of Alzheimer's Disease Modeling.,,,expanded_disease_list_with_references.csv
"Juvenile-related tolerance to papaya sticky disease (PSD): proteomic, ultrastructural, and physiological events.",6_0,"Juvenile-related tolerance to papaya sticky disease (PSD): proteomic, ultrastructural, and physiological events.",,,expanded_disease_list_with_references.csv
Visualization of cortical neoangiogenesis after combined revascularization surgery in moyamoya disease using silent MRA.,7_0,Visualization of cortical neoangiogenesis after combined revascularization surgery in moyamoya disease using silent MRA.,,,expanded_disease_list_with_references.csv
Mediation analysis of brain magnetic resonance imaging variables with all-cause and cardiovascular disease-specific mortalities in persons with type 2 diabetes.,8_0,Mediation analysis of brain magnetic resonance imaging variables with all-cause and cardiovascular disease-specific mortalities in persons with type 2 diabetes.,,,expanded_disease_list_with_references.csv
Ferulic acid ameliorates bisphenol A (BPA)-induced Alzheimer's disease-like pathology through Akt-ERK crosstalk pathway in male rats.,9_0,Ferulic acid ameliorates bisphenol A (BPA)-induced Alzheimer's disease-like pathology through Akt-ERK crosstalk pathway in male rats.,,,expanded_disease_list_with_references.csv
"Impact of body mass index on mortality, limb amputation, and bleeding in patients with lower extremity artery disease undergoing endovascular therapy.",10_0,"Impact of body mass index on mortality, limb amputation, and bleeding in patients with lower extremity artery disease undergoing endovascular therapy.",,,expanded_disease_list_with_references.csv
Viral- and fungal-mediated behavioral manipulation of hosts: summit disease.,11_0,Viral- and fungal-mediated behavioral manipulation of hosts: summit disease.,,,expanded_disease_list_with_references.csv
Endothelial Activation and Stress Index (EASIX) in coronary artery disease: promising biomarker or oversimplified measure?,12_0,Endothelial Activation and Stress Index (EASIX) in coronary artery disease: promising biomarker or oversimplified measure?,,,expanded_disease_list_with_references.csv
Significance of Residual Nodal Disease in Clinically Node-Negative Breast Cancer After Neoadjuvant Chemotherapy.,13_0,Significance of Residual Nodal Disease in Clinically Node-Negative Breast Cancer After Neoadjuvant Chemotherapy.,,,expanded_disease_list_with_references.csv
THE EFFECTS OF HYDROCORTISONE ON SYNAPTIC PROCESSES IN PARKINSON'S DISEASE UNDERLYING THE POTENTIAL THERAPEUTIC STRATEGIES.,14_0,THE EFFECTS OF HYDROCORTISONE ON SYNAPTIC PROCESSES IN PARKINSON'S DISEASE UNDERLYING THE POTENTIAL THERAPEUTIC STRATEGIES.,,,expanded_disease_list_with_references.csv
"CLINICAL, IMMUNOLOGICAL AND THESIOGRAPHIC CHARACTERISTICS RHEUMATOID ARTHRITIS AND CHRONIC RHEUMATIC HEART DISEASE.",15_0,"CLINICAL, IMMUNOLOGICAL AND THESIOGRAPHIC CHARACTERISTICS RHEUMATOID ARTHRITIS AND CHRONIC RHEUMATIC HEART DISEASE.",,,expanded_disease_list_with_references.csv
