Disease,Title,Journal,Year,PMID
Development of a Digital Health Intervention for the Secondary Prevention of Cardiovascular Disease,Development of a Digital Health Intervention for the Secondary Prevention of Cardiovascular Disease (INTERCEPT): Co-Design and Usability Testing Study.,JMIR human factors,2024,39441626
influences disease,Two-faced OsNAS3 influences disease resistance via nicotianamine and ethylene.,Journal of integrative plant biology,2024,39441565
s disease,Inhibiting mtDNA transcript translation alters Alzheimer's disease-associated biology.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024,39441557
Associated with Brown Stripe Disease,"Identification and Characterization of <i>Bipolaris secalis</i> and <i>B. setariae</i> Associated with Brown Stripe Disease on <i>Saccharum officinarum</i> in Yunnan, China.",Plant disease,2024,39441533
Clinical associations with thyroid disease,Clinical associations with thyroid disease in ANCA-associated vasculitis.,Clinical rheumatology,2024,39441466
s Disease,Correction of Disorders in Psychoneurological Status and Functioning of Progenitor Cells of the Nervous Tissue with NF-κB Inhibitor under Conditions of Alzheimer's Disease Modeling.,Bulletin of experimental biology and medicine,2024,39441440
related tolerance to papaya sticky disease,"Juvenile-related tolerance to papaya sticky disease (PSD): proteomic, ultrastructural, and physiological events.",Plant cell reports,2024,39441432
Visualization of cortical neoangiogenesis after combined revascularization surgery in moyamoya disease,Visualization of cortical neoangiogenesis after combined revascularization surgery in moyamoya disease using silent MRA.,Neuroradiology,2024,39441413
cause and cardiovascular disease,Mediation analysis of brain magnetic resonance imaging variables with all-cause and cardiovascular disease-specific mortalities in persons with type 2 diabetes.,Acta diabetologica,2024,39441402
s disease,Ferulic acid ameliorates bisphenol A (BPA)-induced Alzheimer's disease-like pathology through Akt-ERK crosstalk pathway in male rats.,Psychopharmacology,2024,39441400
and bleeding in patients with lower extremity artery disease,"Impact of body mass index on mortality, limb amputation, and bleeding in patients with lower extremity artery disease undergoing endovascular therapy.",Cardiovascular intervention and therapeutics,2024,39441392
summit disease,Viral- and fungal-mediated behavioral manipulation of hosts: summit disease.,Applied microbiology and biotechnology,2024,39441364
in coronary artery disease,Endothelial Activation and Stress Index (EASIX) in coronary artery disease: promising biomarker or oversimplified measure?,Clinical research in cardiology : official journal of the German Cardiac Society,2024,39441347
Significance of Residual Nodal Disease,Significance of Residual Nodal Disease in Clinically Node-Negative Breast Cancer After Neoadjuvant Chemotherapy.,Annals of surgical oncology,2024,39441324
S DISEASE,THE EFFECTS OF HYDROCORTISONE ON SYNAPTIC PROCESSES IN PARKINSON'S DISEASE UNDERLYING THE POTENTIAL THERAPEUTIC STRATEGIES.,Georgian medical news,2024,39441309
IMMUNOLOGICAL AND THESIOGRAPHIC CHARACTERISTICS RHEUMATOID ARTHRITIS AND CHRONIC RHEUMATIC HEART DISEASE,"CLINICAL, IMMUNOLOGICAL AND THESIOGRAPHIC CHARACTERISTICS RHEUMATOID ARTHRITIS AND CHRONIC RHEUMATIC HEART DISEASE.",Georgian medical news,2024,39441304
RELATED FATTY LIVER DISEASE,A COMPARATIVE STUDY ON THE VARIABLE EFFECTS OF ALCOHOL AND NON-ALCOHOL-RELATED FATTY LIVER DISEASE ON METABOLIC AND INFLAMMATORY BIOMARKERS.,Georgian medical news,2024,39441292
