text,chunk_id,title,publication_date,authors,disease
"Gene therapy for spinal muscular atrophy: timing is key LS has given consultancy/lectures for Biogen, Novartis, Roche, BioHaven, Scholar Rock, Zentech and Sysnav. He is part of the Data Safety Monitoring Board of NMB biopharma.",0_0,Gene therapy for spinal muscular atrophy: timing is key,21 10 2024,,Spinal_Muscular_Atrophy
"Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy Proximal femoral geometry varies in children due to factors such as age, genetics, and medical conditions.<sup>
<xref rid=""bibr1-18632521241277023"" ref-type=""bibr"">1</xref>",1_0,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"</sup> One particular aspect of proximal femoral geometry is coxa valga, which refers to an increased angle between the neck and femoral shaft (neck–shaft angle (NSA)) and the head and femoral shaft (head–shaft angle (HAS)) and is often associated with hip dislocation in children with cerebral palsy (CP).<sup>
<xref rid=""bibr1-18632521241277023"" ref-type=""bibr"">1</xref>",1_1,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"</sup> In typically developing children, HSA starts high and decreases over time, consistent with the acquisition of weight-bearing and ambulation.<sup>
<xref rid=""bibr2-18632521241277023"" ref-type=""bibr"">2</xref>",1_2,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"</sup> By contrast, in children with CP and spinal muscular atrophy (SMA), HSA starts high and remains high, associated with increased coxa valga, increased hip migration percentage, and secondary acetabular dysplasia.<sup><xref rid=""bibr2-18632521241277023"" ref-type=""bibr"">2</xref>,<xref rid=""bibr3-18632521241277023"" ref-type=""bibr"">3</xref></sup> Abnormal joint forces are theorized to cause changes in proximal femoral growth and geometry.<sup>
<xref rid=""bibr2-18632521241277023"" ref-type=""bibr"">2</xref>",1_3,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"</sup> The optimal treatment of early hip dysplasia in children with CP has not been determined.<sup>
<xref rid=""bibr4-18632521241277023"" ref-type=""bibr"">4</xref>
</sup> In young children, force balancing and muscle lengthening procedures as well as bony hip reconstruction have been widely used. To avoid reconstructive bone surgery, there has been increased interest in using guided growth in the proximal femur to correct the coxa valga.<sup>
<xref rid=""bibr5-18632521241277023"" ref-type=""bibr"">5</xref>",1_4,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"</sup> If abnormal growth is the primary driver, interventions that modulate proximal femoral growth by reversing coxa valga seem to be the better option. In addition, proximal femoral-guided growth has the potential to provide dynamic correction of proximal femoral deformity during growth,<sup><xref rid=""bibr6-18632521241277023"" ref-type=""bibr"">6</xref>,<xref rid=""bibr7-18632521241277023"" ref-type=""bibr"">7</xref></sup> with a low complication rate.<sup>",1_5,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"<xref rid=""bibr7-18632521241277023"" ref-type=""bibr"">7</xref>",1_6,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"</sup> This research aimed to assess NSA and HSA at ages as close to birth as possible and up to skeletal maturity, comparing children with low-tone conditions with children with high-tone conditions and children with typical development (TD). The goal was to determine whether there was a difference between low tone and high tone in the evolution of childhood coxa valga. The role of spasticity in the development of coxa valga is a topic of ongoing research and controversy.<sup>",1_7,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"<xref rid=""bibr5-18632521241277023"" ref-type=""bibr"">5</xref>",1_8,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"</sup> Institutional review board approval (approval number 1936699) was obtained for this study. A review of standard anteroposterior pelvic radiographs and medical records from 2006 to 2022 was performed to assess the proximal femoral geometry in children. The study included children between the ages of 3 months and 12 years. This age range was chosen because it corresponds with the time when the proximal femoral epiphysis is detectable on radiographs and the time when it begins to fuse, respectively.",1_9,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"the time when it begins to fuse, respectively. The study participants were diagnosed with either CP or SMA types 1 and 2 or were typically developing. In this study, children with TD were defined as those who did not have any orthopedic medical diagnosis, gait abnormality, or delay in walking age. Children with CP were identified by the International Classification of Diseases 10th Revision Clinical Modification (ICD-10-CM) code G80, while children with SMA types 1 and 2 were identified by the ICD-10-CM",1_10,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"types 1 and 2 were identified by the ICD-10-CM code G12. All children diagnosed with SMA had their diagnosis confirmed by a genetic test. For children with TD, radiographs taken at intervals of at least 12 months were included. For children with CP and SMA, radiographs taken at intervals of at least 12 months were included up to the last preoperative radiograph in children undergoing hip surgery. Exclusion criteria consisted of previous spine or hip surgery; other concomitant neuromuscular diagnoses;",1_11,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"other concomitant neuromuscular diagnoses; children with CP classified as athetoid, hypotonic, or mixed movement disorder; and an absence of complete medical records. Demographic data obtained from the medical records included sex and age. For children with TD, the reason for the radiograph to be ordered was verified. To be included, children with CP had to be classified as spastic. Motor function was classified by the Gross Motor Function Classification System (GMFCS), and the distribution was classified",1_12,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"(GMFCS), and the distribution was classified as hemiplegic (unilateral on the right or left side) or diplegic and quadriplegic (bilateral). From the anteroposterior pelvic radiographs, angular measurements were obtained. The standard instruction at the clinic for making the anteroposterior pelvis radiograph was to have the patella pointed straight up in the supine position. The HSA is a line drawn connecting the epiphyseal growth plate of the proximal femur and measuring the angle it creates to the femoral",1_13,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
and measuring the angle it creates to the femoral shaft. The longitudinal femoral shaft was identified by a straight line connecting two different points located centrally at two different levels in the diaphysis of the femur<sup>,1_14,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"<xref rid=""bibr8-18632521241277023"" ref-type=""bibr"">8</xref>
</sup> (<xref rid=""fig1-18632521241277023"" ref-type=""fig"">Figure 1</xref>). To measure the NSA, the axis of the femoral neck was defined by a line bisecting the femoral neck through the center of the femoral head. Again, the longitudinal femoral shaft was identified by a straight line connecting two different points located centrally at two different levels in the diaphysis of the femur<sup>",1_15,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"<xref rid=""bibr9-18632521241277023"" ref-type=""bibr"">9</xref>",1_16,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"</sup> (<xref rid=""fig2-18632521241277023"" ref-type=""fig"">Figure 2</xref>). Radiographs where hip position did not show the greater trochanter in profile were excluded and not measured. Frequency distribution was used to summarize categorical variables, while mean, standard deviation, and range were used to summarize continuous variables. For this analysis, the children were categorized into five groups: CP at GMFCS levels I and II, CP at GMFCS level III, CP at GMFCS levels IV and V, SMA types 1 and 2, and",1_17,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"at GMFCS levels IV and V, SMA types 1 and 2, and TD. We employed the linear mixed model with Tukey’s honestly significant difference test to analyze developmental patterns of the NSA and HSA across these groups, accounting for age effects by including age as a variable in the model. We avoided dividing the sample by age to prevent potential sampling bias. The NSA and HSA data were assessed for normality using the Kolmogorov–Smirnov test. A <italic toggle=""yes"">p</italic>-value <0.05 was considered",1_18,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"<0.05 was considered statistically significant. Data analysis was performed using IBM SPSS Statistics, version 29 for Windows (IBM Corp., Armonk, NY, USA) and the R studio software, version 2023.06.2.<sup>",1_19,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"<xref rid=""bibr10-18632521241277023"" ref-type=""bibr"">10</xref>",1_20,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"</sup> This study included 196 consecutive children from 2006 to 2022. Sixty children were diagnosed with spastic CP GMFCS levels I–V (300 hip radiographs were measured), 32 children with SMA types 1 and 2 (83 hip radiographs were measured), and 104 were children with TD (222 hip radiographs were measured). A summary of each group of children’s hip radiographs measured is shown in <xref rid=""table1-18632521241277023"" ref-type=""table"">Table 1</xref>. Although the study criteria included infants as young as",1_21,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"the study criteria included infants as young as 3 months old, our study only included infants 4 months or older. The mean age of all children was 4.8 ± 4.5 years (range, 0.4–12.78 years). In all, 104 children were females, and 92 were males. The Kolmogorov–Smirnov test demonstrated normality for all measurements. In the CP diagnosis group, seven (12%) children were classified as GMFCS level I (three diplegics, three hemiplegics right-sided, and one hemiplegic left-sided), 15 (25%) as GMFCS level II (10",1_22,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"left-sided), 15 (25%) as GMFCS level II (10 diplegics, four hemiplegics right-sided, one hemiplegic left-sided), eight (13%) as GMFCS level III (eight diplegics), 13 (22%) as GMFCS level IV (two diplegics and 11 quadriplegics), and 17 (28%) as GMFCS level V (17 quadriplegics). The children with TD had multiple indications for taking the radiographs (<xref rid=""table2-18632521241277023"" ref-type=""table"">Table 2</xref>). In the SMA type 1 and 2 group, 14 (44%) children were classified as type 1 and 18 (56%)",1_23,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"children were classified as type 1 and 18 (56%) as type 2. The mean HSA was 160.0° ± 7.1° for the GMFCS levels I and II group; 63.4° ± 4.2° for the GMFCS level III group; 167.9° ± 6.8° for the GMFCS level IV and V group; 173.4° ± 7.4° for the SMA types 1 and 2 group; and 156.4° ± 5.9° for the TD group. There was a negative correlation pattern for GMFCS levels I and II and TD groups (<italic toggle=""yes"">p</italic> < 0.001) as well as considering all groups at the same time (<italic",1_24,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"considering all groups at the same time (<italic toggle=""yes"">p</italic> < 0.001). There was a positive correlation pattern for SMA types 1 and 2 and GMFCS levels IV and V (<italic toggle=""yes"">p</italic> < 0.001) and GMFCS level III groups (<italic toggle=""yes"">p</italic> < 0.001) (<xref rid=""fig3-18632521241277023"" ref-type=""fig"">Figures 3</xref> and <xref rid=""fig4-18632521241277023"" ref-type=""fig"">4</xref>). The mean NSA was 143.7° ± 7.4° for the GMFCS levels I and II group; 153.1° ± 4.3° for the GMFCS",1_25,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"I and II group; 153.1° ± 4.3° for the GMFCS level III group; 156.4° ± 5.6° for the GMFCS levels IV and V group; 161.9° ± 9.7° for the SMA types 1 and 2 group; and 138.6° ± 7.0° for the TD group. There was a negative correlation pattern for GMFCS levels I and II and TD groups (<italic toggle=""yes"">p</italic> < 0.001), as well as considering all groups at the same time (<italic toggle=""yes"">p</italic> < 0.001). There was a positive correlation pattern for SMA types 1 and 2 and GMFCS levels IV and V groups",1_26,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"types 1 and 2 and GMFCS levels IV and V groups (<italic toggle=""yes"">p</italic> < 0.001) as well as the GMFCS level III group (<italic toggle=""yes"">p</italic> < 0.001) (<xref rid=""fig5-18632521241277023"" ref-type=""fig"">Figures 5</xref> and <xref rid=""fig6-18632521241277023"" ref-type=""fig"">6</xref>). The linear mixed model used for the HSA revealed that the strongest coefficient of correlation was observed for the SMA types 1 and 2 group (<italic toggle=""yes"">r</italic> = 0.65, <italic",1_27,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
"(<italic toggle=""yes"">r</italic> = 0.65, <italic toggle=""yes"">p</italic> < 0.001), indicating the highest coefficient of determination (<italic toggle=""yes"">R</italic><sup>2</sup> = 0.42, <italic toggle=""yes"">p</italic> < 0.001). When all groups were examined together, the <italic toggle=""yes"">R</italic><sup>2</sup> value was small, and the pattern was negative (<italic toggle=""yes"">r</italic> = −0.24, <italic toggle=""yes"">p</italic> = 0.020), which confirms the suitability of the linear mixed model for",1_28,Femoral neck–shaft angle changes based on the severity of neurologic impairment in children with cerebral palsy and spinal muscular atrophy,10 9 2024,,Spinal_Muscular_Atrophy
