text,chunk_id,title,publication_date,authors,disease
"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome Short-chain enoyl-CoA hydratase, encoded by <italic toggle=""yes"">ECHS1,</italic> plays a major role in the valine catabolic pathway and mitochondrial fatty acid β-oxidation. Deficiency of this enzyme causes Leigh syndrome. Herein, we report a case of <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome with a prominent ketone body spectrum",0_0,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"syndrome with a prominent ketone body spectrum on magnetic resonance spectroscopy during acute exacerbation. A 6-month-old boy with mild motor developmental delay presented with disturbances of consciousness and hypercapnia without prior infection or feeding failure. Upon admission, investigations revealed prominent ketosis and elevated 2,3-dihydroxy-2-methylbutyric acid excretion. Brain magnetic resonance imaging revealed symmetrical T2 prolongation with restricted diffusion in the basal ganglia. Magnetic",0_1,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"diffusion in the basal ganglia. Magnetic resonance spectroscopy showed a prominent ketone body spectrum in the cerebral white matter, and prominent ketone bodies, elevated lactate and markedly decreased N-acetylaspartate levels in the basal ganglia. Genetic analysis identified compound heterozygous variants of <italic toggle=""yes"">ECHS1</italic>. Short-chain enoyl-CoA hydratase deficiency is a disease for which a valine-restricted diet is reported to be beneficial, and early diagnosis is desirable. Severe",0_2,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"and early diagnosis is desirable. Severe ketosis and the ketone body magnetic resonance spectroscopy spectrum during acute exacerbation may aid in the diagnosis of this disease. Short-chain enoyl-CoA hydratase (SCEH), encoded by <italic toggle=""yes"">ECHS1</italic> (MIM*602292), plays a major role in valine catabolism and mitochondrial fatty acid β-oxidation. SCEH deficiency caused by <italic toggle=""yes"">ECHS1</italic> variants leads to Leigh syndrome with acute episodes of encephalopathy, neurological",0_3,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"acute episodes of encephalopathy, neurological deterioration, severe developmental delay, movement disorders, and epilepsy <xref rid=""bib0001"" ref-type=""bibr"">[1</xref>,<xref rid=""bib0002"" ref-type=""bibr"">2]</xref>. Leigh syndrome is typically associated with defective oxidative phosphorylation due to mitochondrial or nuclear gene mutations, and its clinical manifestations differ from those of other fatty acid β-oxidation disorders <xref rid=""bib0003"" ref-type=""bibr"">[3</xref>,<xref rid=""bib0004""",0_4,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"ref-type=""bibr"">[3</xref>,<xref rid=""bib0004"" ref-type=""bibr"">4]</xref>. Although hyperintensities on T2-weighted images in the bilateral basal ganglia and elevated lactate levels on magnetic resonance spectroscopy (MRS) are common in SCEH deficiency, as in Leigh syndrome <xref rid=""bib0001"" ref-type=""bibr"">[1]</xref>, specific radiologic findings have not been reported. In SCEH deficiency, as accumulation of toxic intermediates from valine catabolism induces neurodegeneration, some patients benefit from a",0_5,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"neurodegeneration, some patients benefit from a valine-restricted diet, and prompt diagnosis is desirable to initiate effective early treatment <xref rid=""bib0005"" ref-type=""bibr"">[5</xref>,<xref rid=""bib0006"" ref-type=""bibr"">6]</xref>. Herein, we report a case of SCEH deficiency with acute episodes of encephalopathy and neurological deterioration, in which MRS revealed a prominent ketone body spectrum that may be key for diagnosis. A 6-month-old boy, born to healthy, nonconsanguineous parents with no",0_6,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"to healthy, nonconsanguineous parents with no reported perinatal problems, was hospitalized with disturbed consciousness and hypercapnia without prior infection or feeding failure. This patient was intubated and required ventilatory management for 5 days after admission. The patient's weight (6.8 kg, -1.4SD), height (65 cm, -1.2SD), and head circumference (44 cm, +0.5SD) at 6 months were within the normal range. Mild motor developmental delays had been observed during infancy. The patient had held his head",0_7,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"during infancy. The patient had held his head up at 4 months while not yet rolling over and sitting up independently. Biochemical analyses upon admission indicated prominent ketosis (blood pH 6.9, total ketone bodies, 15,200 µmol/L) and slightly elevated serum lactate levels (24 mg/dL) without hypoglycemia (blood glucose, 77 mg/dL). Urinary organic acid profiling revealed elevated excretion of 2,3-dihydroxy-2-methylbutyric acid. Although the newborn hearing test results were normal, the auditory brainstem",0_8,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"test results were normal, the auditory brainstem response after disease onset showed severe bilateral sensorineural hearing loss. No hepatomegaly, cardiomyopathy, or ocular abnormalities, such as optic atrophy or corneal clouding, were observed. Brain magnetic resonance imaging (MRI) on the third day of admission revealed symmetrical T2 prolongation with restricted diffusion in the caudate nucleus, putamen, globus pallidus, medial thalamus, and substantia nigra (<xref rid=""fig0001"" ref-type=""fig"">Figs.",0_9,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"nigra (<xref rid=""fig0001"" ref-type=""fig"">Figs. 1</xref>A-C). MRS (point resolved spectroscopy, repetition time/echo time/number of excitations = 5,000/30/32, volume of interest = 15 × 15 × 20 mm<sup>3</sup>) spectra from the white matter were quantitatively analyzed with LCModel. MRS spectra from the basal ganglia were semi-quantitatively analyzed as ratios with creatine (Cr) to prevent underestimation of the metabolite concentration shown on LCModel due to high proton and prolonged T2 values. Values",0_10,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"to high proton and prolonged T2 values. Values deviating from mean ± 2SD for age-matched controls were considered abnormal. Brain MRS on the same day revealed a peak at 2.2 ppm in the cerebral white matter (1.37 mM; nil in controls) (<xref rid=""fig0002"" ref-type=""fig"">Fig. 2</xref>A) and in the basal ganglia (ketone bodies/Cr 1.25; nil in controls) (<xref rid=""fig0002"" ref-type=""fig"">Fig. 2</xref>B), indicating the presence of ketone bodies. By this time, serum pH and ketone bodies (200 µmol/L) had",0_11,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"time, serum pH and ketone bodies (200 µmol/L) had normalized. Elevation of glutamine (5.53 mM; age-matched control, 2.10 ± 0.28 mM) and mild reduction of N-acetylaspartate (NAA) (4.12 mM; age-matched control, 6.60 ± 0.50 mM) levels in the white matter (<xref rid=""fig0002"" ref-type=""fig"">Fig. 2</xref>A), and marked elevation of lactate/Cr (2.26; nil in controls) and a decrease in NAA/Cr (0.33; age-matched control, 1.06 ± 0.07) levels in the basal ganglia (<xref rid=""fig0002"" ref-type=""fig"">Fig. 2</xref>B)",0_12,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"rid=""fig0002"" ref-type=""fig"">Fig. 2</xref>B) were also observed. Follow-up brain MRI and MRS on the 11th day of admission showed the disappearance of diffusion restriction and the ketone body peak in the white matter and basal ganglia (<xref rid=""fig0002"" ref-type=""fig"">Figs. 2</xref>C and <xref rid=""fig0002"" ref-type=""fig"">D</xref>). MRI on the 26th day showed progression of cystic degeneration of the basal ganglia and cerebral atrophy (<xref rid=""fig0001"" ref-type=""fig"">Figs. 1</xref>D and F). The",0_13,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"ref-type=""fig"">Figs. 1</xref>D and F). The findings at 1 year and 9 months after the onset did not change significantly (<xref rid=""fig0001"" ref-type=""fig"">Figs. 1</xref>G and I).<fig id=""fig0001""><label>Fig. 1</label><caption><p>Brain MRI findings of the patient. (A-C) Brain MRI at 6 months of age on the third day of admission (A, B: T2-weighted image, C: ADC) reveals symmetrical T2 signal prolongation with restricted diffusion in the caudate nucleus, putamen, globus pallidus, medial thalamus, and",0_14,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
"putamen, globus pallidus, medial thalamus, and substantia nigra (white arrow). (D-F) Brain MRI on the 26th day of admission (D, E: T2-weighted image, F: ADC) shows progression of liquid degeneration of the basal ganglia and cerebral atrophy. (G-I) Brain MRI at 1 year and 9 months after onset (G, H: T2-weighted image, I: ADC) shows severe liquid degeneration of the basal ganglia and cerebral atrophy.</p><p>MRI, magnetic resonance imaging; ADC, apparent diffusion coefficient.</p></caption><alt-text",0_15,"Increased ketone levels as a key magnetic resonance spectroscopic findings during acute exacerbation in <italic toggle=""yes"">ECHS1</italic>-related Leigh syndrome",24 9 2024,,Leigh_Syndrome
